command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	5923786	File	/home/p4ultr4n/workplace/ReVeal/raw_code/nbd_handle_reply_err_1.c								
ANR	5923787	Function	nbd_handle_reply_err	1:0:0:2861							
ANR	5923788	FunctionDef	"nbd_handle_reply_err (QIOChannel * ioc , nbd_opt_reply * reply , Error * * errp)"		5923787	0					
ANR	5923789	CompoundStatement		5:0:119:2861	5923787	0					
ANR	5923790	IdentifierDeclStatement	char * msg = NULL ;	7:4:126:142	5923787	0	True				
ANR	5923791	IdentifierDecl	* msg = NULL		5923787	0					
ANR	5923792	IdentifierDeclType	char *		5923787	0					
ANR	5923793	Identifier	msg		5923787	1					
ANR	5923794	AssignmentExpression	* msg = NULL		5923787	2		=			
ANR	5923795	Identifier	NULL		5923787	0					
ANR	5923796	Identifier	NULL		5923787	1					
ANR	5923797	IdentifierDeclStatement	int result = - 1 ;	9:4:149:164	5923787	1	True				
ANR	5923798	IdentifierDecl	result = - 1		5923787	0					
ANR	5923799	IdentifierDeclType	int		5923787	0					
ANR	5923800	Identifier	result		5923787	1					
ANR	5923801	AssignmentExpression	result = - 1		5923787	2		=			
ANR	5923802	Identifier	result		5923787	0					
ANR	5923803	UnaryOperationExpression	- 1		5923787	1					
ANR	5923804	UnaryOperator	-		5923787	0					
ANR	5923805	PrimaryExpression	1		5923787	1					
ANR	5923806	IfStatement	if ( ! ( reply -> type & ( 1 << 31 ) ) )		5923787	2					
ANR	5923807	Condition	! ( reply -> type & ( 1 << 31 ) )	13:8:177:202	5923787	0	True				
ANR	5923808	UnaryOperationExpression	! ( reply -> type & ( 1 << 31 ) )		5923787	0					
ANR	5923809	UnaryOperator	!		5923787	0					
ANR	5923810	BitAndExpression	reply -> type & ( 1 << 31 )		5923787	1		&			
ANR	5923811	PtrMemberAccess	reply -> type		5923787	0					
ANR	5923812	Identifier	reply		5923787	0					
ANR	5923813	Identifier	type		5923787	1					
ANR	5923814	ShiftExpression	1 << 31		5923787	1		<<			
ANR	5923815	PrimaryExpression	1		5923787	0					
ANR	5923816	PrimaryExpression	31		5923787	1					
ANR	5923817	CompoundStatement		9:36:85:85	5923787	1					
ANR	5923818	ReturnStatement	return 1 ;	15:8:216:224	5923787	0	True				
ANR	5923819	PrimaryExpression	1		5923787	0					
ANR	5923820	IfStatement	if ( reply -> length )		5923787	3					
ANR	5923821	Condition	reply -> length	21:8:244:256	5923787	0	True				
ANR	5923822	PtrMemberAccess	reply -> length		5923787	0					
ANR	5923823	Identifier	reply		5923787	0					
ANR	5923824	Identifier	length		5923787	1					
ANR	5923825	CompoundStatement		17:23:139:139	5923787	1					
ANR	5923826	IfStatement	if ( reply -> length > NBD_MAX_BUFFER_SIZE )		5923787	0					
ANR	5923827	Condition	reply -> length > NBD_MAX_BUFFER_SIZE	23:12:274:308	5923787	0	True				
ANR	5923828	RelationalExpression	reply -> length > NBD_MAX_BUFFER_SIZE		5923787	0		>			
ANR	5923829	PtrMemberAccess	reply -> length		5923787	0					
ANR	5923830	Identifier	reply		5923787	0					
ANR	5923831	Identifier	length		5923787	1					
ANR	5923832	Identifier	NBD_MAX_BUFFER_SIZE		5923787	1					
ANR	5923833	CompoundStatement		19:49:191:191	5923787	1					
ANR	5923834	Statement	error_setg	25:12:326:335	5923787	0	True				
ANR	5923835	Statement	(	25:22:336:336	5923787	1	True				
ANR	5923836	Statement	errp	25:23:337:340	5923787	2	True				
ANR	5923837	Statement	","	25:27:341:341	5923787	3	True				
ANR	5923838	Statement	"""server error 0x%"""	25:29:343:360	5923787	4	True				
ANR	5923839	Statement	PRIx32	25:48:362:367	5923787	5	True				
ANR	5923840	Statement	""" (%s) message is too long"""	27:23:393:419	5923787	6	True				
ANR	5923841	Statement	","	27:50:420:420	5923787	7	True				
ANR	5923842	Statement	reply	29:23:446:450	5923787	8	True				
ANR	5923843	Statement	->	29:28:451:452	5923787	9	True				
ANR	5923844	Statement	type	29:30:453:456	5923787	10	True				
ANR	5923845	Statement	","	29:34:457:457	5923787	11	True				
ANR	5923846	Statement	nbd_rep_lookup	29:36:459:472	5923787	12	True				
ANR	5923847	Statement	(	29:50:473:473	5923787	13	True				
ANR	5923848	Statement	reply	29:51:474:478	5923787	14	True				
ANR	5923849	Statement	->	29:56:479:480	5923787	15	True				
ANR	5923850	Statement	type	29:58:481:484	5923787	16	True				
ANR	5923851	Statement	)	29:62:485:485	5923787	17	True				
ANR	5923852	Statement	)	29:63:486:486	5923787	18	True				
ANR	5923853	ExpressionStatement		29:64:487:487	5923787	19	True				
ANR	5923854	GotoStatement	goto cleanup ;	31:12:502:514	5923787	20	True				
ANR	5923855	Identifier	cleanup		5923787	0					
ANR	5923856	ExpressionStatement	msg = g_malloc ( reply -> length + 1 )	35:8:536:569	5923787	1	True				
ANR	5923857	AssignmentExpression	msg = g_malloc ( reply -> length + 1 )		5923787	0		=			
ANR	5923858	Identifier	msg		5923787	0					
ANR	5923859	CallExpression	g_malloc ( reply -> length + 1 )		5923787	1					
ANR	5923860	Callee	g_malloc		5923787	0					
ANR	5923861	Identifier	g_malloc		5923787	0					
ANR	5923862	ArgumentList	reply -> length + 1		5923787	1					
ANR	5923863	Argument	reply -> length + 1		5923787	0					
ANR	5923864	AdditiveExpression	reply -> length + 1		5923787	0		+			
ANR	5923865	PtrMemberAccess	reply -> length		5923787	0					
ANR	5923866	Identifier	reply		5923787	0					
ANR	5923867	Identifier	length		5923787	1					
ANR	5923868	PrimaryExpression	1		5923787	1					
ANR	5923869	IfStatement	"if ( nbd_read ( ioc , msg , reply -> length , errp ) < 0 )"		5923787	2					
ANR	5923870	Condition	"nbd_read ( ioc , msg , reply -> length , errp ) < 0"	37:12:584:626	5923787	0	True				
ANR	5923871	RelationalExpression	"nbd_read ( ioc , msg , reply -> length , errp ) < 0"		5923787	0		<			
ANR	5923872	CallExpression	"nbd_read ( ioc , msg , reply -> length , errp )"		5923787	0					
ANR	5923873	Callee	nbd_read		5923787	0					
ANR	5923874	Identifier	nbd_read		5923787	0					
ANR	5923875	ArgumentList	ioc		5923787	1					
ANR	5923876	Argument	ioc		5923787	0					
ANR	5923877	Identifier	ioc		5923787	0					
ANR	5923878	Argument	msg		5923787	1					
ANR	5923879	Identifier	msg		5923787	0					
ANR	5923880	Argument	reply -> length		5923787	2					
ANR	5923881	PtrMemberAccess	reply -> length		5923787	0					
ANR	5923882	Identifier	reply		5923787	0					
ANR	5923883	Identifier	length		5923787	1					
ANR	5923884	Argument	errp		5923787	3					
ANR	5923885	Identifier	errp		5923787	0					
ANR	5923886	PrimaryExpression	0		5923787	1					
ANR	5923887	CompoundStatement		33:57:509:509	5923787	1					
ANR	5923888	Statement	error_prepend	39:12:644:656	5923787	0	True				
ANR	5923889	Statement	(	39:25:657:657	5923787	1	True				
ANR	5923890	Statement	errp	39:26:658:661	5923787	2	True				
ANR	5923891	Statement	","	39:30:662:662	5923787	3	True				
ANR	5923892	Statement	"""failed to read option error 0x%"""	39:32:664:696	5923787	4	True				
ANR	5923893	Statement	PRIx32	39:66:698:703	5923787	5	True				
ANR	5923894	Statement	""" (%s) message"""	41:26:732:746	5923787	6	True				
ANR	5923895	Statement	","	41:41:747:747	5923787	7	True				
