command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	6251963	File	/home/p4ultr4n/workplace/ReVeal/raw_code/opts_check_list_1.c								
ANR	6251964	Function	opts_check_list	1:0:0:203							
ANR	6251965	FunctionDef	"opts_check_list (Visitor * v , Error * * errp)"		6251964	0					
ANR	6251966	CompoundStatement		3:0:43:203	6251964	0					
ANR	6251967	Identifier	opts_check_list		6251964	1					
ANR	6251968	ParameterList	"Visitor * v , Error * * errp"		6251964	2					
ANR	6251969	Parameter	Visitor * v	1:16:16:25	6251964	0	True				
ANR	6251970	ParameterType	Visitor *		6251964	0					
ANR	6251971	Identifier	v		6251964	1					
ANR	6251972	Parameter	Error * * errp	1:28:28:39	6251964	1	True				
ANR	6251973	ParameterType	Error * *		6251964	0					
ANR	6251974	Identifier	errp		6251964	1					
ANR	6251975	CFGEntryNode	ENTRY		6251964		True				
ANR	6251976	CFGExitNode	EXIT		6251964		True				
ANR	6251977	Symbol	errp		6251964						
ANR	6251978	Symbol	v		6251964						
