start	end	type	var
6298005	6298006	IS_AST_PARENT	
6298004	6298005	IS_AST_PARENT	
6298008	6298009	IS_AST_PARENT	
6298007	6298008	IS_AST_PARENT	
6298010	6298011	IS_AST_PARENT	
6298007	6298010	IS_AST_PARENT	
6298004	6298007	IS_AST_PARENT	
6298003	6298004	IS_AST_PARENT	
6298002	6298003	IS_AST_PARENT	
6298016	6298017	IS_AST_PARENT	
6298016	6298018	IS_AST_PARENT	
6298015	6298016	IS_AST_PARENT	
6298015	6298019	IS_AST_PARENT	
6298014	6298015	IS_AST_PARENT	
6298014	6298020	IS_AST_PARENT	
6298013	6298014	IS_AST_PARENT	
6298012	6298013	IS_AST_PARENT	
6298002	6298012	IS_AST_PARENT	
6298025	6298026	IS_AST_PARENT	
6298024	6298025	IS_AST_PARENT	
6298028	6298029	IS_AST_PARENT	
6298027	6298028	IS_AST_PARENT	
6298030	6298031	IS_AST_PARENT	
6298027	6298030	IS_AST_PARENT	
6298024	6298027	IS_AST_PARENT	
6298023	6298024	IS_AST_PARENT	
6298022	6298023	IS_AST_PARENT	
6298036	6298037	IS_AST_PARENT	
6298036	6298038	IS_AST_PARENT	
6298035	6298036	IS_AST_PARENT	
6298035	6298039	IS_AST_PARENT	
6298034	6298035	IS_AST_PARENT	
6298040	6298041	IS_AST_PARENT	
6298040	6298042	IS_AST_PARENT	
6298034	6298040	IS_AST_PARENT	
6298033	6298034	IS_AST_PARENT	
6298032	6298033	IS_AST_PARENT	
6298022	6298032	IS_AST_PARENT	
6298048	6298049	IS_AST_PARENT	
6298048	6298050	IS_AST_PARENT	
6298047	6298048	IS_AST_PARENT	
6298047	6298051	IS_AST_PARENT	
6298046	6298047	IS_AST_PARENT	
6298052	6298053	IS_AST_PARENT	
6298052	6298054	IS_AST_PARENT	
6298046	6298052	IS_AST_PARENT	
6298045	6298046	IS_AST_PARENT	
6298044	6298045	IS_AST_PARENT	
6298043	6298044	IS_AST_PARENT	
6298022	6298043	IS_AST_PARENT	
6298021	6298022	IS_AST_PARENT	
6298002	6298021	IS_AST_PARENT	
6298001	6298002	IS_AST_PARENT	
6298000	6298001	IS_AST_PARENT	
6298000	6298055	IS_AST_PARENT	
6298000	6298056	IS_AST_PARENT	
6298058	6298059	IS_AST_PARENT	
6298058	6298060	IS_AST_PARENT	
6298057	6298058	IS_AST_PARENT	
6298061	6298062	IS_AST_PARENT	
6298061	6298063	IS_AST_PARENT	
6298057	6298061	IS_AST_PARENT	
6298064	6298065	IS_AST_PARENT	
6298064	6298066	IS_AST_PARENT	
6298057	6298064	IS_AST_PARENT	
6298000	6298057	IS_AST_PARENT	
6298067	6298058	FLOWS_TO	
6298058	6298061	FLOWS_TO	
6298061	6298064	FLOWS_TO	
6298064	6298003	FLOWS_TO	
6298003	6298013	FLOWS_TO	
6298003	6298023	FLOWS_TO	
6298013	6298068	FLOWS_TO	
6298023	6298033	FLOWS_TO	
6298023	6298045	FLOWS_TO	
6298033	6298068	FLOWS_TO	
6298045	6298068	FLOWS_TO	
6298003	6298069	USE	
6298023	6298069	USE	
6298003	6298070	USE	
6298010	6298070	USE	
6298061	6298071	DEF	
6298013	6298072	USE	
6298015	6298072	USE	
6298013	6298072	DEF	
6298014	6298072	DEF	
6298033	6298072	USE	
6298035	6298072	USE	
6298033	6298072	DEF	
6298034	6298072	DEF	
6298045	6298072	USE	
6298047	6298072	USE	
6298045	6298072	DEF	
6298046	6298072	DEF	
6298023	6298073	USE	
6298030	6298073	USE	
6298058	6298074	DEF	
6298003	6298074	USE	
6298008	6298074	USE	
6298013	6298074	USE	
6298016	6298074	USE	
6298023	6298074	USE	
6298028	6298074	USE	
6298033	6298074	USE	
6298036	6298074	USE	
6298045	6298074	USE	
