start	end	type	var
6353089	6353090	IS_AST_PARENT	
6353089	6353091	IS_AST_PARENT	
6353088	6353089	IS_AST_PARENT	
6353087	6353088	IS_AST_PARENT	
6353094	6353095	IS_AST_PARENT	
6353094	6353096	IS_AST_PARENT	
6353093	6353094	IS_AST_PARENT	
6353092	6353093	IS_AST_PARENT	
6353098	6353099	IS_AST_PARENT	
6353098	6353100	IS_AST_PARENT	
6353097	6353098	IS_AST_PARENT	
6353092	6353097	IS_AST_PARENT	
6353101	6353102	IS_AST_PARENT	
6353101	6353103	IS_AST_PARENT	
6353092	6353101	IS_AST_PARENT	
6353106	6353107	IS_AST_PARENT	
6353106	6353108	IS_AST_PARENT	
6353105	6353106	IS_AST_PARENT	
6353109	6353110	IS_AST_PARENT	
6353109	6353111	IS_AST_PARENT	
6353105	6353109	IS_AST_PARENT	
6353112	6353113	IS_AST_PARENT	
6353112	6353114	IS_AST_PARENT	
6353105	6353112	IS_AST_PARENT	
6353104	6353105	IS_AST_PARENT	
6353116	6353117	IS_AST_PARENT	
6353116	6353118	IS_AST_PARENT	
6353119	6353120	IS_AST_PARENT	
6353122	6353123	IS_AST_PARENT	
6353121	6353122	IS_AST_PARENT	
6353125	6353126	IS_AST_PARENT	
6353124	6353125	IS_AST_PARENT	
6353121	6353124	IS_AST_PARENT	
6353119	6353121	IS_AST_PARENT	
6353116	6353119	IS_AST_PARENT	
6353115	6353116	IS_AST_PARENT	
6353104	6353115	IS_AST_PARENT	
6353129	6353130	IS_AST_PARENT	
6353129	6353131	IS_AST_PARENT	
6353128	6353129	IS_AST_PARENT	
6353127	6353128	IS_AST_PARENT	
6353135	6353136	IS_AST_PARENT	
6353134	6353135	IS_AST_PARENT	
6353138	6353139	IS_AST_PARENT	
6353137	6353138	IS_AST_PARENT	
6353140	6353141	IS_AST_PARENT	
6353137	6353140	IS_AST_PARENT	
6353142	6353143	IS_AST_PARENT	
6353137	6353142	IS_AST_PARENT	
6353144	6353145	IS_AST_PARENT	
6353137	6353144	IS_AST_PARENT	
6353134	6353137	IS_AST_PARENT	
6353133	6353134	IS_AST_PARENT	
6353132	6353133	IS_AST_PARENT	
6353148	6353149	IS_AST_PARENT	
6353147	6353148	IS_AST_PARENT	
6353151	6353152	IS_AST_PARENT	
6353150	6353151	IS_AST_PARENT	
6353153	6353154	IS_AST_PARENT	
6353150	6353153	IS_AST_PARENT	
6353147	6353150	IS_AST_PARENT	
6353146	6353147	IS_AST_PARENT	
6353132	6353146	IS_AST_PARENT	
6353132	6353155	IS_AST_PARENT	
6353127	6353132	IS_AST_PARENT	
6353104	6353127	IS_AST_PARENT	
6353157	6353158	IS_AST_PARENT	
6353160	6353161	IS_AST_PARENT	
6353159	6353160	IS_AST_PARENT	
6353163	6353164	IS_AST_PARENT	
6353162	6353163	IS_AST_PARENT	
6353159	6353162	IS_AST_PARENT	
6353157	6353159	IS_AST_PARENT	
6353156	6353157	IS_AST_PARENT	
6353104	6353156	IS_AST_PARENT	
