command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	6370234	File	/home/p4ultr4n/workplace/ReVeal/raw_code/parse_tag_0.c								
ANR	6370235	Function	parse_tag	1:0:0:704							
ANR	6370236	FunctionDef	"parse_tag (AVFormatContext * s , const uint8_t * buf)"		6370235	0					
ANR	6370237	CompoundStatement		3:0:62:704	6370235	0					
ANR	6370238	IdentifierDeclStatement	int genre ;	5:4:69:78	6370235	0	True				
ANR	6370239	IdentifierDecl	genre		6370235	0					
ANR	6370240	IdentifierDeclType	int		6370235	0					
ANR	6370241	Identifier	genre		6370235	1					
ANR	6370242	IfStatement	if ( ! ( buf [ 0 ] == 'T' && buf [ 1 ] == 'A' && buf [ 2 ] == 'G' ) )		6370235	1					
ANR	6370243	Condition	! ( buf [ 0 ] == 'T' && buf [ 1 ] == 'A' && buf [ 2 ] == 'G' )	9:8:91:162	6370235	0	True				
ANR	6370244	UnaryOperationExpression	! ( buf [ 0 ] == 'T' && buf [ 1 ] == 'A' && buf [ 2 ] == 'G' )		6370235	0					
ANR	6370245	UnaryOperator	!		6370235	0					
ANR	6370246	AndExpression	buf [ 0 ] == 'T' && buf [ 1 ] == 'A' && buf [ 2 ] == 'G'		6370235	1		&&			
ANR	6370247	EqualityExpression	buf [ 0 ] == 'T'		6370235	0		==			
ANR	6370248	ArrayIndexing	buf [ 0 ]		6370235	0					
ANR	6370249	Identifier	buf		6370235	0					
ANR	6370250	PrimaryExpression	0		6370235	1					
ANR	6370251	PrimaryExpression	'T'		6370235	1					
ANR	6370252	AndExpression	buf [ 1 ] == 'A' && buf [ 2 ] == 'G'		6370235	1		&&			
ANR	6370253	EqualityExpression	buf [ 1 ] == 'A'		6370235	0		==			
ANR	6370254	ArrayIndexing	buf [ 1 ]		6370235	0					
ANR	6370255	Identifier	buf		6370235	0					
ANR	6370256	PrimaryExpression	1		6370235	1					
ANR	6370257	PrimaryExpression	'A'		6370235	1					
ANR	6370258	EqualityExpression	buf [ 2 ] == 'G'		6370235	1		==			
ANR	6370259	ArrayIndexing	buf [ 2 ]		6370235	0					
ANR	6370260	Identifier	buf		6370235	0					
ANR	6370261	PrimaryExpression	2		6370235	1					
ANR	6370262	PrimaryExpression	'G'		6370235	1					
ANR	6370263	ReturnStatement	return - 1 ;	15:8:174:183	6370235	1	True				
ANR	6370264	UnaryOperationExpression	- 1		6370235	0					
ANR	6370265	UnaryOperator	-		6370235	0					
ANR	6370266	PrimaryExpression	1		6370235	1					
ANR	6370267	ExpressionStatement	"get_string ( s , ""title"" , buf + 3 , 30 )"	17:4:190:228	6370235	2	True				
ANR	6370268	CallExpression	"get_string ( s , ""title"" , buf + 3 , 30 )"		6370235	0					
ANR	6370269	Callee	get_string		6370235	0					
ANR	6370270	Identifier	get_string		6370235	0					
ANR	6370271	ArgumentList	s		6370235	1					
ANR	6370272	Argument	s		6370235	0					
ANR	6370273	Identifier	s		6370235	0					
ANR	6370274	Argument	"""title"""		6370235	1					
ANR	6370275	PrimaryExpression	"""title"""		6370235	0					
ANR	6370276	Argument	buf + 3		6370235	2					
ANR	6370277	AdditiveExpression	buf + 3		6370235	0		+			
ANR	6370278	Identifier	buf		6370235	0					
ANR	6370279	PrimaryExpression	3		6370235	1					
ANR	6370280	Argument	30		6370235	3					
ANR	6370281	PrimaryExpression	30		6370235	0					
ANR	6370282	ExpressionStatement	"get_string ( s , ""artist"" , buf + 33 , 30 )"	19:4:235:273	6370235	3	True				
ANR	6370283	CallExpression	"get_string ( s , ""artist"" , buf + 33 , 30 )"		6370235	0					
ANR	6370284	Callee	get_string		6370235	0					
ANR	6370285	Identifier	get_string		6370235	0					
ANR	6370286	ArgumentList	s		6370235	1					
ANR	6370287	Argument	s		6370235	0					
ANR	6370288	Identifier	s		6370235	0					
ANR	6370289	Argument	"""artist"""		6370235	1					
ANR	6370290	PrimaryExpression	"""artist"""		6370235	0					
ANR	6370291	Argument	buf + 33		6370235	2					
ANR	6370292	AdditiveExpression	buf + 33		6370235	0		+			
ANR	6370293	Identifier	buf		6370235	0					
ANR	6370294	PrimaryExpression	33		6370235	1					
ANR	6370295	Argument	30		6370235	3					
ANR	6370296	PrimaryExpression	30		6370235	0					
ANR	6370297	ExpressionStatement	"get_string ( s , ""album"" , buf + 63 , 30 )"	21:4:280:318	6370235	4	True				
ANR	6370298	CallExpression	"get_string ( s , ""album"" , buf + 63 , 30 )"		6370235	0					
ANR	6370299	Callee	get_string		6370235	0					
ANR	6370300	Identifier	get_string		6370235	0					
ANR	6370301	ArgumentList	s		6370235	1					
ANR	6370302	Argument	s		6370235	0					
ANR	6370303	Identifier	s		6370235	0					
ANR	6370304	Argument	"""album"""		6370235	1					
ANR	6370305	PrimaryExpression	"""album"""		6370235	0					
ANR	6370306	Argument	buf + 63		6370235	2					
ANR	6370307	AdditiveExpression	buf + 63		6370235	0		+			
ANR	6370308	Identifier	buf		6370235	0					
ANR	6370309	PrimaryExpression	63		6370235	1					
ANR	6370310	Argument	30		6370235	3					
ANR	6370311	PrimaryExpression	30		6370235	0					
ANR	6370312	ExpressionStatement	"get_string ( s , ""date"" , buf + 93 , 4 )"	23:4:325:363	6370235	5	True				
ANR	6370313	CallExpression	"get_string ( s , ""date"" , buf + 93 , 4 )"		6370235	0					
ANR	6370314	Callee	get_string		6370235	0					
ANR	6370315	Identifier	get_string		6370235	0					
ANR	6370316	ArgumentList	s		6370235	1					
ANR	6370317	Argument	s		6370235	0					
ANR	6370318	Identifier	s		6370235	0					
ANR	6370319	Argument	"""date"""		6370235	1					
ANR	6370320	PrimaryExpression	"""date"""		6370235	0					
ANR	6370321	Argument	buf + 93		6370235	2					
ANR	6370322	AdditiveExpression	buf + 93		6370235	0		+			
ANR	6370323	Identifier	buf		6370235	0					
ANR	6370324	PrimaryExpression	93		6370235	1					
ANR	6370325	Argument	4		6370235	3					
ANR	6370326	PrimaryExpression	4		6370235	0					
ANR	6370327	ExpressionStatement	"get_string ( s , ""comment"" , buf + 97 , 30 )"	25:4:370:408	6370235	6	True				
ANR	6370328	CallExpression	"get_string ( s , ""comment"" , buf + 97 , 30 )"		6370235	0					
ANR	6370329	Callee	get_string		6370235	0					
ANR	6370330	Identifier	get_string		6370235	0					
ANR	6370331	ArgumentList	s		6370235	1					
ANR	6370332	Argument	s		6370235	0					
ANR	6370333	Identifier	s		6370235	0					
ANR	6370334	Argument	"""comment"""		6370235	1					
ANR	6370335	PrimaryExpression	"""comment"""		6370235	0					
ANR	6370336	Argument	buf + 97		6370235	2					
ANR	6370337	AdditiveExpression	buf + 97		6370235	0		+			
ANR	6370338	Identifier	buf		6370235	0					
ANR	6370339	PrimaryExpression	97		6370235	1					
ANR	6370340	Argument	30		6370235	3					
ANR	6370341	PrimaryExpression	30		6370235	0					
ANR	6370342	IfStatement	if ( buf [ 125 ] == 0 && buf [ 126 ] != 0 )		6370235	7					
ANR	6370343	Condition	buf [ 125 ] == 0 && buf [ 126 ] != 0	27:8:419:448	6370235	0	True				
ANR	6370344	AndExpression	buf [ 125 ] == 0 && buf [ 126 ] != 0		6370235	0		&&			
ANR	6370345	EqualityExpression	buf [ 125 ] == 0		6370235	0		==			
ANR	6370346	ArrayIndexing	buf [ 125 ]		6370235	0					
ANR	6370347	Identifier	buf		6370235	0					
ANR	6370348	PrimaryExpression	125		6370235	1					
ANR	6370349	PrimaryExpression	0		6370235	1					
ANR	6370350	EqualityExpression	buf [ 126 ] != 0		6370235	1		!=			
ANR	6370351	ArrayIndexing	buf [ 126 ]		6370235	0					
ANR	6370352	Identifier	buf		6370235	0					
ANR	6370353	PrimaryExpression	126		6370235	1					
ANR	6370354	PrimaryExpression	0		6370235	1					
ANR	6370355	ExpressionStatement	"av_metadata_set2 ( & s -> metadata , ""track"" , av_d2str ( buf [ 126 ] ) , AV_METADATA_DONT_STRDUP_VAL )"	29:8:460:548	6370235	1	True				
ANR	6370356	CallExpression	"av_metadata_set2 ( & s -> metadata , ""track"" , av_d2str ( buf [ 126 ] ) , AV_METADATA_DONT_STRDUP_VAL )"		6370235	0					
ANR	6370357	Callee	av_metadata_set2		6370235	0					
ANR	6370358	Identifier	av_metadata_set2		6370235	0					
ANR	6370359	ArgumentList	& s -> metadata		6370235	1					
ANR	6370360	Argument	& s -> metadata		6370235	0					
ANR	6370361	UnaryOperationExpression	& s -> metadata		6370235	0					
ANR	6370362	UnaryOperator	&		6370235	0					
ANR	6370363	PtrMemberAccess	s -> metadata		6370235	1					
ANR	6370364	Identifier	s		6370235	0					
ANR	6370365	Identifier	metadata		6370235	1					
ANR	6370366	Argument	"""track"""		6370235	1					
ANR	6370367	PrimaryExpression	"""track"""		6370235	0					
ANR	6370368	Argument	av_d2str ( buf [ 126 ] )		6370235	2					
ANR	6370369	CallExpression	av_d2str ( buf [ 126 ] )		6370235	0					
ANR	6370370	Callee	av_d2str		6370235	0					
ANR	6370371	Identifier	av_d2str		6370235	0					
ANR	6370372	ArgumentList	buf [ 126 ]		6370235	1					
ANR	6370373	Argument	buf [ 126 ]		6370235	0					
ANR	6370374	ArrayIndexing	buf [ 126 ]		6370235	0					
ANR	6370375	Identifier	buf		6370235	0					
ANR	6370376	PrimaryExpression	126		6370235	1					
ANR	6370377	Argument	AV_METADATA_DONT_STRDUP_VAL		6370235	3					
ANR	6370378	Identifier	AV_METADATA_DONT_STRDUP_VAL		6370235	0					
ANR	6370379	ExpressionStatement	genre = buf [ 127 ]	31:4:555:571	6370235	8	True				
ANR	6370380	AssignmentExpression	genre = buf [ 127 ]		6370235	0		=			
ANR	6370381	Identifier	genre		6370235	0					
ANR	6370382	ArrayIndexing	buf [ 127 ]		6370235	1					
ANR	6370383	Identifier	buf		6370235	0					
ANR	6370384	PrimaryExpression	127		6370235	1					
ANR	6370385	IfStatement	if ( genre <= ID3v1_GENRE_MAX )		6370235	9					
ANR	6370386	Condition	genre <= ID3v1_GENRE_MAX	33:8:582:605	6370235	0	True				
ANR	6370387	RelationalExpression	genre <= ID3v1_GENRE_MAX		6370235	0		<=			
ANR	6370388	Identifier	genre		6370235	0					
ANR	6370389	Identifier	ID3v1_GENRE_MAX		6370235	1					
ANR	6370390	ExpressionStatement	"av_metadata_set2 ( & s -> metadata , ""genre"" , ff_id3v1_genre_str [ genre ] , 0 )"	35:8:617:686	6370235	1	True				
ANR	6370391	CallExpression	"av_metadata_set2 ( & s -> metadata , ""genre"" , ff_id3v1_genre_str [ genre ] , 0 )"		6370235	0					
ANR	6370392	Callee	av_metadata_set2		6370235	0					
ANR	6370393	Identifier	av_metadata_set2		6370235	0					
ANR	6370394	ArgumentList	& s -> metadata		6370235	1					
ANR	6370395	Argument	& s -> metadata		6370235	0					
