start	end	type	var
6447643	6447644	IS_AST_PARENT	
6447643	6447645	IS_AST_PARENT	
6447642	6447643	IS_AST_PARENT	
6447641	6447642	IS_AST_PARENT	
6447647	6447648	IS_AST_PARENT	
6447647	6447649	IS_AST_PARENT	
6447650	6447651	IS_AST_PARENT	
6447653	6447654	IS_AST_PARENT	
6447652	6447653	IS_AST_PARENT	
6447656	6447657	IS_AST_PARENT	
6447655	6447656	IS_AST_PARENT	
6447652	6447655	IS_AST_PARENT	
6447650	6447652	IS_AST_PARENT	
6447647	6447650	IS_AST_PARENT	
6447646	6447647	IS_AST_PARENT	
6447641	6447646	IS_AST_PARENT	
6447661	6447662	IS_AST_PARENT	
6447661	6447663	IS_AST_PARENT	
6447660	6447661	IS_AST_PARENT	
6447660	6447664	IS_AST_PARENT	
6447659	6447660	IS_AST_PARENT	
6447659	6447665	IS_AST_PARENT	
6447658	6447659	IS_AST_PARENT	
6447641	6447658	IS_AST_PARENT	
6447669	6447670	IS_AST_PARENT	
6447669	6447671	IS_AST_PARENT	
6447668	6447669	IS_AST_PARENT	
6447668	6447672	IS_AST_PARENT	
6447667	6447668	IS_AST_PARENT	
6447667	6447673	IS_AST_PARENT	
6447666	6447667	IS_AST_PARENT	
6447641	6447666	IS_AST_PARENT	
6447676	6447677	IS_AST_PARENT	
6447675	6447676	IS_AST_PARENT	
6447681	6447682	IS_AST_PARENT	
6447681	6447683	IS_AST_PARENT	
6447680	6447681	IS_AST_PARENT	
6447680	6447684	IS_AST_PARENT	
6447679	6447680	IS_AST_PARENT	
6447678	6447679	IS_AST_PARENT	
6447686	6447687	IS_AST_PARENT	
6447688	6447689	IS_AST_PARENT	
6447688	6447690	IS_AST_PARENT	
6447686	6447688	IS_AST_PARENT	
6447685	6447686	IS_AST_PARENT	
6447678	6447685	IS_AST_PARENT	
6447675	6447678	IS_AST_PARENT	
6447674	6447675	IS_AST_PARENT	
6447641	6447674	IS_AST_PARENT	
6447693	6447694	IS_AST_PARENT	
6447693	6447695	IS_AST_PARENT	
6447692	6447693	IS_AST_PARENT	
6447691	6447692	IS_AST_PARENT	
6447697	6447698	IS_AST_PARENT	
6447697	6447699	IS_AST_PARENT	
6447696	6447697	IS_AST_PARENT	
6447691	6447696	IS_AST_PARENT	
6447700	6447701	IS_AST_PARENT	
6447700	6447702	IS_AST_PARENT	
6447691	6447700	IS_AST_PARENT	
6447706	6447707	IS_AST_PARENT	
6447706	6447708	IS_AST_PARENT	
6447705	6447706	IS_AST_PARENT	
6447705	6447709	IS_AST_PARENT	
6447704	6447705	IS_AST_PARENT	
6447704	6447710	IS_AST_PARENT	
6447703	6447704	IS_AST_PARENT	
6447691	6447703	IS_AST_PARENT	
6447641	6447691	IS_AST_PARENT	
6447640	6447641	IS_AST_PARENT	
6447640	6447711	IS_AST_PARENT	
6447640	6447712	IS_AST_PARENT	
6447714	6447715	IS_AST_PARENT	
6447714	6447716	IS_AST_PARENT	
6447713	6447714	IS_AST_PARENT	
6447640	6447713	IS_AST_PARENT	
6447717	6447714	FLOWS_TO	
6447714	6447642	FLOWS_TO	
6447642	6447646	FLOWS_TO	
6447646	6447658	FLOWS_TO	
6447658	6447666	FLOWS_TO	
6447666	6447674	FLOWS_TO	
6447674	6447692	FLOWS_TO	
6447696	6447703	FLOWS_TO	
6447696	6447718	FLOWS_TO	
6447692	6447696	FLOWS_TO	
6447700	6447696	FLOWS_TO	
6447703	6447700	FLOWS_TO	
6447658	6447719	USE	
6447660	6447719	USE	
6447666	6447719	USE	
6447668	6447719	USE	
6447674	6447719	USE	
6447679	6447719	USE	
6447703	6447719	USE	
6447705	6447719	USE	
6447674	6447720	USE	
