command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	6458719	File	/home/p4ultr4n/workplace/ReVeal/raw_code/pci_register_bar_0.c								
ANR	6458720	Function	pci_register_bar	1:0:0:1454							
ANR	6458721	FunctionDef	"pci_register_bar (PCIDevice * pci_dev , int region_num , uint8_t type , MemoryRegion * memory)"		6458720	0					
ANR	6458722	CompoundStatement		5:0:118:1454	6458720	0					
ANR	6458723	IdentifierDeclStatement	PCIIORegion * r ;	7:4:125:139	6458720	0	True				
ANR	6458724	IdentifierDecl	* r		6458720	0					
ANR	6458725	IdentifierDeclType	PCIIORegion *		6458720	0					
ANR	6458726	Identifier	r		6458720	1					
ANR	6458727	IdentifierDeclStatement	uint32_t addr ;	9:4:146:159	6458720	1	True				
ANR	6458728	IdentifierDecl	addr		6458720	0					
ANR	6458729	IdentifierDeclType	uint32_t		6458720	0					
ANR	6458730	Identifier	addr		6458720	1					
ANR	6458731	IdentifierDeclStatement	uint64_t wmask ;	11:4:199:213	6458720	2	True				
ANR	6458732	IdentifierDecl	wmask		6458720	0					
ANR	6458733	IdentifierDeclType	uint64_t		6458720	0					
ANR	6458734	Identifier	wmask		6458720	1					
ANR	6458735	IdentifierDeclStatement	pcibus_t size = memory_region_size ( memory ) ;	13:4:220:262	6458720	3	True				
ANR	6458736	IdentifierDecl	size = memory_region_size ( memory )		6458720	0					
ANR	6458737	IdentifierDeclType	pcibus_t		6458720	0					
ANR	6458738	Identifier	size		6458720	1					
ANR	6458739	AssignmentExpression	size = memory_region_size ( memory )		6458720	2		=			
ANR	6458740	Identifier	size		6458720	0					
ANR	6458741	CallExpression	memory_region_size ( memory )		6458720	1					
ANR	6458742	Callee	memory_region_size		6458720	0					
ANR	6458743	Identifier	memory_region_size		6458720	0					
ANR	6458744	ArgumentList	memory		6458720	1					
ANR	6458745	Argument	memory		6458720	0					
ANR	6458746	Identifier	memory		6458720	0					
ANR	6458747	ExpressionStatement	assert ( region_num >= 0 )	17:4:271:294	6458720	4	True				
ANR	6458748	CallExpression	assert ( region_num >= 0 )		6458720	0					
ANR	6458749	Callee	assert		6458720	0					
ANR	6458750	Identifier	assert		6458720	0					
ANR	6458751	ArgumentList	region_num >= 0		6458720	1					
ANR	6458752	Argument	region_num >= 0		6458720	0					
ANR	6458753	RelationalExpression	region_num >= 0		6458720	0		>=			
ANR	6458754	Identifier	region_num		6458720	0					
ANR	6458755	PrimaryExpression	0		6458720	1					
ANR	6458756	ExpressionStatement	assert ( region_num < PCI_NUM_REGIONS )	19:4:301:337	6458720	5	True				
ANR	6458757	CallExpression	assert ( region_num < PCI_NUM_REGIONS )		6458720	0					
ANR	6458758	Callee	assert		6458720	0					
ANR	6458759	Identifier	assert		6458720	0					
ANR	6458760	ArgumentList	region_num < PCI_NUM_REGIONS		6458720	1					
ANR	6458761	Argument	region_num < PCI_NUM_REGIONS		6458720	0					
ANR	6458762	RelationalExpression	region_num < PCI_NUM_REGIONS		6458720	0		<			
ANR	6458763	Identifier	region_num		6458720	0					
ANR	6458764	Identifier	PCI_NUM_REGIONS		6458720	1					
ANR	6458765	IfStatement	if ( size & ( size - 1 ) )		6458720	6					
ANR	6458766	Condition	size & ( size - 1 )	21:8:348:362	6458720	0	True				
ANR	6458767	BitAndExpression	size & ( size - 1 )		6458720	0		&			
ANR	6458768	Identifier	size		6458720	0					
ANR	6458769	AdditiveExpression	size - 1		6458720	1		-			
ANR	6458770	Identifier	size		6458720	0					
ANR	6458771	PrimaryExpression	1		6458720	1					
ANR	6458772	CompoundStatement		17:25:246:246	6458720	1					
ANR	6458773	Statement	fprintf	23:8:376:382	6458720	0	True				
ANR	6458774	Statement	(	23:15:383:383	6458720	1	True				
ANR	6458775	Statement	stderr	23:16:384:389	6458720	2	True				
ANR	6458776	Statement	","	23:22:390:390	6458720	3	True				
ANR	6458777	Statement	"""ERROR: PCI region size must be pow2 """	23:24:392:429	6458720	4	True				
ANR	6458778	Statement	"""type=0x%x, size=0x%"""	25:20:452:472	6458720	5	True				
ANR	6458779	Statement	FMT_PCIBUS	25:41:473:482	6458720	6	True				
ANR	6458780	Statement	"""\\n"""	25:51:483:486	6458720	7	True				
ANR	6458781	Statement	","	25:55:487:487	6458720	8	True				
ANR	6458782	Statement	type	25:57:489:492	6458720	9	True				
ANR	6458783	Statement	","	25:61:493:493	6458720	10	True				
ANR	6458784	Statement	size	25:63:495:498	6458720	11	True				
ANR	6458785	Statement	)	25:67:499:499	6458720	12	True				
ANR	6458786	ExpressionStatement		25:68:500:500	6458720	13	True				
ANR	6458787	ExpressionStatement	exit ( 1 )	27:8:511:518	6458720	14	True				
ANR	6458788	CallExpression	exit ( 1 )		6458720	0					
ANR	6458789	Callee	exit		6458720	0					
ANR	6458790	Identifier	exit		6458720	0					
ANR	6458791	ArgumentList	1		6458720	1					
ANR	6458792	Argument	1		6458720	0					
ANR	6458793	PrimaryExpression	1		6458720	0					
ANR	6458794	ExpressionStatement	r = & pci_dev -> io_regions [ region_num ]	33:4:534:570	6458720	7	True				
ANR	6458795	AssignmentExpression	r = & pci_dev -> io_regions [ region_num ]		6458720	0		=			
ANR	6458796	Identifier	r		6458720	0					
ANR	6458797	UnaryOperationExpression	& pci_dev -> io_regions [ region_num ]		6458720	1					
ANR	6458798	UnaryOperator	&		6458720	0					
ANR	6458799	ArrayIndexing	pci_dev -> io_regions [ region_num ]		6458720	1					
ANR	6458800	PtrMemberAccess	pci_dev -> io_regions		6458720	0					
ANR	6458801	Identifier	pci_dev		6458720	0					
ANR	6458802	Identifier	io_regions		6458720	1					
ANR	6458803	Identifier	region_num		6458720	1					
ANR	6458804	ExpressionStatement	r -> addr = PCI_BAR_UNMAPPED	35:4:577:603	6458720	8	True				
ANR	6458805	AssignmentExpression	r -> addr = PCI_BAR_UNMAPPED		6458720	0		=			
ANR	6458806	PtrMemberAccess	r -> addr		6458720	0					
ANR	6458807	Identifier	r		6458720	0					
ANR	6458808	Identifier	addr		6458720	1					
ANR	6458809	Identifier	PCI_BAR_UNMAPPED		6458720	1					
ANR	6458810	ExpressionStatement	r -> size = size	37:4:610:624	6458720	9	True				
ANR	6458811	AssignmentExpression	r -> size = size		6458720	0		=			
ANR	6458812	PtrMemberAccess	r -> size		6458720	0					
ANR	6458813	Identifier	r		6458720	0					
ANR	6458814	Identifier	size		6458720	1					
ANR	6458815	Identifier	size		6458720	1					
ANR	6458816	ExpressionStatement	r -> type = type	39:4:631:645	6458720	10	True				
ANR	6458817	AssignmentExpression	r -> type = type		6458720	0		=			
ANR	6458818	PtrMemberAccess	r -> type		6458720	0					
ANR	6458819	Identifier	r		6458720	0					
ANR	6458820	Identifier	type		6458720	1					
ANR	6458821	Identifier	type		6458720	1					
ANR	6458822	ExpressionStatement	r -> memory = memory	41:4:652:670	6458720	11	True				
ANR	6458823	AssignmentExpression	r -> memory = memory		6458720	0		=			
ANR	6458824	PtrMemberAccess	r -> memory		6458720	0					
ANR	6458825	Identifier	r		6458720	0					
ANR	6458826	Identifier	memory		6458720	1					
ANR	6458827	Identifier	memory		6458720	1					
ANR	6458828	ExpressionStatement	r -> address_space = type & PCI_BASE_ADDRESS_SPACE_IO ? pci_dev -> bus -> address_space_io : pci_dev -> bus -> address_space_mem	43:4:677:845	6458720	12	True				
ANR	6458829	AssignmentExpression	r -> address_space = type & PCI_BASE_ADDRESS_SPACE_IO ? pci_dev -> bus -> address_space_io : pci_dev -> bus -> address_space_mem		6458720	0		=			
ANR	6458830	PtrMemberAccess	r -> address_space		6458720	0					
ANR	6458831	Identifier	r		6458720	0					
ANR	6458832	Identifier	address_space		6458720	1					
ANR	6458833	ConditionalExpression	type & PCI_BASE_ADDRESS_SPACE_IO ? pci_dev -> bus -> address_space_io : pci_dev -> bus -> address_space_mem		6458720	1					
ANR	6458834	Condition	type & PCI_BASE_ADDRESS_SPACE_IO		6458720	0					
ANR	6458835	BitAndExpression	type & PCI_BASE_ADDRESS_SPACE_IO		6458720	0		&			
ANR	6458836	Identifier	type		6458720	0					
ANR	6458837	Identifier	PCI_BASE_ADDRESS_SPACE_IO		6458720	1					
ANR	6458838	PtrMemberAccess	pci_dev -> bus -> address_space_io		6458720	1					
ANR	6458839	PtrMemberAccess	pci_dev -> bus		6458720	0					
ANR	6458840	Identifier	pci_dev		6458720	0					
ANR	6458841	Identifier	bus		6458720	1					
ANR	6458842	Identifier	address_space_io		6458720	1					
ANR	6458843	PtrMemberAccess	pci_dev -> bus -> address_space_mem		6458720	2					
ANR	6458844	PtrMemberAccess	pci_dev -> bus		6458720	0					
ANR	6458845	Identifier	pci_dev		6458720	0					
ANR	6458846	Identifier	bus		6458720	1					
ANR	6458847	Identifier	address_space_mem		6458720	1					
ANR	6458848	ExpressionStatement	wmask = ~ ( size - 1 )	51:4:854:873	6458720	13	True				
ANR	6458849	AssignmentExpression	wmask = ~ ( size - 1 )		6458720	0		=			
ANR	6458850	Identifier	wmask		6458720	0					
ANR	6458851	UnaryOperationExpression	~ ( size - 1 )		6458720	1					
ANR	6458852	UnaryOperator	~		6458720	0					
ANR	6458853	AdditiveExpression	size - 1		6458720	1		-			
ANR	6458854	Identifier	size		6458720	0					
ANR	6458855	PrimaryExpression	1		6458720	1					
ANR	6458856	IfStatement	if ( region_num == PCI_ROM_SLOT )		6458720	14					
ANR	6458857	Condition	region_num == PCI_ROM_SLOT	53:8:884:909	6458720	0	True				
ANR	6458858	EqualityExpression	region_num == PCI_ROM_SLOT		6458720	0		==			
ANR	6458859	Identifier	region_num		6458720	0					
ANR	6458860	Identifier	PCI_ROM_SLOT		6458720	1					
ANR	6458861	CompoundStatement		49:36:793:793	6458720	1					
ANR	6458862	ExpressionStatement	wmask |= PCI_ROM_ADDRESS_ENABLE	57:8:965:996	6458720	0	True				
ANR	6458863	AssignmentExpression	wmask |= PCI_ROM_ADDRESS_ENABLE		6458720	0		|=			
ANR	6458864	Identifier	wmask		6458720	0					
ANR	6458865	Identifier	PCI_ROM_ADDRESS_ENABLE		6458720	1					
ANR	6458866	ExpressionStatement	"addr = pci_bar ( pci_dev , region_num )"	63:4:1012:1047	6458720	15	True				
ANR	6458867	AssignmentExpression	"addr = pci_bar ( pci_dev , region_num )"		6458720	0		=			
ANR	6458868	Identifier	addr		6458720	0					
ANR	6458869	CallExpression	"pci_bar ( pci_dev , region_num )"		6458720	1					
ANR	6458870	Callee	pci_bar		6458720	0					
ANR	6458871	Identifier	pci_bar		6458720	0					
ANR	6458872	ArgumentList	pci_dev		6458720	1					
ANR	6458873	Argument	pci_dev		6458720	0					
ANR	6458874	Identifier	pci_dev		6458720	0					
ANR	6458875	Argument	region_num		6458720	1					
ANR	6458876	Identifier	region_num		6458720	0					
ANR	6458877	ExpressionStatement	"pci_set_long ( pci_dev -> config + addr , type )"	65:4:1054:1096	6458720	16	True				
ANR	6458878	CallExpression	"pci_set_long ( pci_dev -> config + addr , type )"		6458720	0					
ANR	6458879	Callee	pci_set_long		6458720	0					
ANR	6458880	Identifier	pci_set_long		6458720	0					
ANR	6458881	ArgumentList	pci_dev -> config + addr		6458720	1					
ANR	6458882	Argument	pci_dev -> config + addr		6458720	0					
ANR	6458883	AdditiveExpression	pci_dev -> config + addr		6458720	0		+			
ANR	6458884	PtrMemberAccess	pci_dev -> config		6458720	0					
ANR	6458885	Identifier	pci_dev		6458720	0					
ANR	6458886	Identifier	config		6458720	1					
ANR	6458887	Identifier	addr		6458720	1					
ANR	6458888	Argument	type		6458720	1					
ANR	6458889	Identifier	type		6458720	0					
ANR	6458890	IfStatement	if ( ! ( r -> type & PCI_BASE_ADDRESS_SPACE_IO ) && r -> type & PCI_BASE_ADDRESS_MEM_TYPE_64 )		6458720	17					
ANR	6458891	Condition	! ( r -> type & PCI_BASE_ADDRESS_SPACE_IO ) && r -> type & PCI_BASE_ADDRESS_MEM_TYPE_64	69:8:1109:1197	6458720	0	True				
ANR	6458892	AndExpression	! ( r -> type & PCI_BASE_ADDRESS_SPACE_IO ) && r -> type & PCI_BASE_ADDRESS_MEM_TYPE_64		6458720	0		&&			
ANR	6458893	UnaryOperationExpression	! ( r -> type & PCI_BASE_ADDRESS_SPACE_IO )		6458720	0					
ANR	6458894	UnaryOperator	!		6458720	0					
ANR	6458895	BitAndExpression	r -> type & PCI_BASE_ADDRESS_SPACE_IO		6458720	1		&			
ANR	6458896	PtrMemberAccess	r -> type		6458720	0					
ANR	6458897	Identifier	r		6458720	0					
ANR	6458898	Identifier	type		6458720	1					
ANR	6458899	Identifier	PCI_BASE_ADDRESS_SPACE_IO		6458720	1					
ANR	6458900	BitAndExpression	r -> type & PCI_BASE_ADDRESS_MEM_TYPE_64		6458720	1		&			
ANR	6458901	PtrMemberAccess	r -> type		6458720	0					
ANR	6458902	Identifier	r		6458720	0					
ANR	6458903	Identifier	type		6458720	1					
ANR	6458904	Identifier	PCI_BASE_ADDRESS_MEM_TYPE_64		6458720	1					
ANR	6458905	CompoundStatement		67:48:1081:1081	6458720	1					
ANR	6458906	ExpressionStatement	"pci_set_quad ( pci_dev -> wmask + addr , wmask )"	73:8:1211:1253	6458720	0	True				
ANR	6458907	CallExpression	"pci_set_quad ( pci_dev -> wmask + addr , wmask )"		6458720	0					
ANR	6458908	Callee	pci_set_quad		6458720	0					
ANR	6458909	Identifier	pci_set_quad		6458720	0					
ANR	6458910	ArgumentList	pci_dev -> wmask + addr		6458720	1					
ANR	6458911	Argument	pci_dev -> wmask + addr		6458720	0					
ANR	6458912	AdditiveExpression	pci_dev -> wmask + addr		6458720	0		+			
ANR	6458913	PtrMemberAccess	pci_dev -> wmask		6458720	0					
ANR	6458914	Identifier	pci_dev		6458720	0					
ANR	6458915	Identifier	wmask		6458720	1					
ANR	6458916	Identifier	addr		6458720	1					
ANR	6458917	Argument	wmask		6458720	1					
ANR	6458918	Identifier	wmask		6458720	0					
ANR	6458919	ExpressionStatement	"pci_set_quad ( pci_dev -> cmask + addr , ~0ULL )"	75:8:1264:1306	6458720	1	True				
ANR	6458920	CallExpression	"pci_set_quad ( pci_dev -> cmask + addr , ~0ULL )"		6458720	0					
ANR	6458921	Callee	pci_set_quad		6458720	0					
ANR	6458922	Identifier	pci_set_quad		6458720	0					
ANR	6458923	ArgumentList	pci_dev -> cmask + addr		6458720	1					
ANR	6458924	Argument	pci_dev -> cmask + addr		6458720	0					
ANR	6458925	AdditiveExpression	pci_dev -> cmask + addr		6458720	0		+			
ANR	6458926	PtrMemberAccess	pci_dev -> cmask		6458720	0					
