start	end	type	var
6646884	6646885	IS_AST_PARENT	
6646884	6646886	IS_AST_PARENT	
6646887	6646888	IS_AST_PARENT	
6646889	6646890	IS_AST_PARENT	
6646889	6646891	IS_AST_PARENT	
6646887	6646889	IS_AST_PARENT	
6646884	6646887	IS_AST_PARENT	
6646883	6646884	IS_AST_PARENT	
6646882	6646883	IS_AST_PARENT	
6646893	6646894	IS_AST_PARENT	
6646893	6646895	IS_AST_PARENT	
6646896	6646897	IS_AST_PARENT	
6646898	6646899	IS_AST_PARENT	
6646898	6646900	IS_AST_PARENT	
6646896	6646898	IS_AST_PARENT	
6646893	6646896	IS_AST_PARENT	
6646892	6646893	IS_AST_PARENT	
6646882	6646892	IS_AST_PARENT	
6646902	6646903	IS_AST_PARENT	
6646902	6646904	IS_AST_PARENT	
6646905	6646906	IS_AST_PARENT	
6646907	6646908	IS_AST_PARENT	
6646907	6646909	IS_AST_PARENT	
6646905	6646907	IS_AST_PARENT	
6646902	6646905	IS_AST_PARENT	
6646901	6646902	IS_AST_PARENT	
6646882	6646901	IS_AST_PARENT	
6646911	6646912	IS_AST_PARENT	
6646911	6646913	IS_AST_PARENT	
6646914	6646915	IS_AST_PARENT	
6646916	6646917	IS_AST_PARENT	
6646916	6646918	IS_AST_PARENT	
6646914	6646916	IS_AST_PARENT	
6646911	6646914	IS_AST_PARENT	
6646910	6646911	IS_AST_PARENT	
6646882	6646910	IS_AST_PARENT	
6646920	6646921	IS_AST_PARENT	
6646920	6646922	IS_AST_PARENT	
6646923	6646924	IS_AST_PARENT	
6646925	6646926	IS_AST_PARENT	
6646925	6646927	IS_AST_PARENT	
6646923	6646925	IS_AST_PARENT	
6646920	6646923	IS_AST_PARENT	
6646919	6646920	IS_AST_PARENT	
6646882	6646919	IS_AST_PARENT	
6646929	6646930	IS_AST_PARENT	
6646929	6646931	IS_AST_PARENT	
6646932	6646933	IS_AST_PARENT	
6646934	6646935	IS_AST_PARENT	
6646934	6646936	IS_AST_PARENT	
6646932	6646934	IS_AST_PARENT	
6646929	6646932	IS_AST_PARENT	
6646928	6646929	IS_AST_PARENT	
6646882	6646928	IS_AST_PARENT	
6646938	6646939	IS_AST_PARENT	
6646938	6646940	IS_AST_PARENT	
6646937	6646938	IS_AST_PARENT	
6646882	6646937	IS_AST_PARENT	
6646942	6646943	IS_AST_PARENT	
6646942	6646944	IS_AST_PARENT	
6646941	6646942	IS_AST_PARENT	
6646882	6646941	IS_AST_PARENT	
6646946	6646947	IS_AST_PARENT	
6646946	6646948	IS_AST_PARENT	
6646945	6646946	IS_AST_PARENT	
6646882	6646945	IS_AST_PARENT	
6646950	6646951	IS_AST_PARENT	
6646950	6646952	IS_AST_PARENT	
6646949	6646950	IS_AST_PARENT	
