start	end	type	var
6711587	6711588	IS_AST_PARENT	
6711587	6711589	IS_AST_PARENT	
6711590	6711591	IS_AST_PARENT	
6711592	6711593	IS_AST_PARENT	
6711592	6711594	IS_AST_PARENT	
6711590	6711592	IS_AST_PARENT	
6711587	6711590	IS_AST_PARENT	
6711586	6711587	IS_AST_PARENT	
6711585	6711586	IS_AST_PARENT	
6711596	6711597	IS_AST_PARENT	
6711596	6711598	IS_AST_PARENT	
6711599	6711600	IS_AST_PARENT	
6711603	6711604	IS_AST_PARENT	
6711603	6711605	IS_AST_PARENT	
6711602	6711603	IS_AST_PARENT	
6711606	6711607	IS_AST_PARENT	
6711606	6711608	IS_AST_PARENT	
6711602	6711606	IS_AST_PARENT	
6711601	6711602	IS_AST_PARENT	
6711601	6711609	IS_AST_PARENT	
6711599	6711601	IS_AST_PARENT	
6711596	6711599	IS_AST_PARENT	
6711595	6711596	IS_AST_PARENT	
6711585	6711595	IS_AST_PARENT	
6711611	6711612	IS_AST_PARENT	
6711611	6711613	IS_AST_PARENT	
6711614	6711615	IS_AST_PARENT	
6711619	6711620	IS_AST_PARENT	
6711619	6711621	IS_AST_PARENT	
6711618	6711619	IS_AST_PARENT	
6711622	6711623	IS_AST_PARENT	
6711622	6711624	IS_AST_PARENT	
6711618	6711622	IS_AST_PARENT	
6711617	6711618	IS_AST_PARENT	
6711617	6711625	IS_AST_PARENT	
6711616	6711617	IS_AST_PARENT	
6711616	6711626	IS_AST_PARENT	
6711614	6711616	IS_AST_PARENT	
6711611	6711614	IS_AST_PARENT	
6711610	6711611	IS_AST_PARENT	
6711585	6711610	IS_AST_PARENT	
6711628	6711629	IS_AST_PARENT	
6711628	6711630	IS_AST_PARENT	
6711627	6711628	IS_AST_PARENT	
6711585	6711627	IS_AST_PARENT	
6711632	6711633	IS_AST_PARENT	
6711632	6711634	IS_AST_PARENT	
6711635	6711636	IS_AST_PARENT	
6711635	6711637	IS_AST_PARENT	
6711632	6711635	IS_AST_PARENT	
6711631	6711632	IS_AST_PARENT	
6711638	6711639	IS_AST_PARENT	
6711638	6711640	IS_AST_PARENT	
6711641	6711642	IS_AST_PARENT	
6711641	6711643	IS_AST_PARENT	
6711638	6711641	IS_AST_PARENT	
6711631	6711638	IS_AST_PARENT	
6711585	6711631	IS_AST_PARENT	
6711646	6711647	IS_AST_PARENT	
6711646	6711648	IS_AST_PARENT	
6711645	6711646	IS_AST_PARENT	
6711644	6711645	IS_AST_PARENT	
6711652	6711653	IS_AST_PARENT	
6711652	6711654	IS_AST_PARENT	
6711651	6711652	IS_AST_PARENT	
6711650	6711651	IS_AST_PARENT	
6711656	6711657	IS_AST_PARENT	
6711655	6711656	IS_AST_PARENT	
6711659	6711660	IS_AST_PARENT	
6711662	6711663	IS_AST_PARENT	
6711661	6711662	IS_AST_PARENT	
6711665	6711666	IS_AST_PARENT	
6711664	6711665	IS_AST_PARENT	
6711667	6711668	IS_AST_PARENT	
6711664	6711667	IS_AST_PARENT	
6711670	6711671	IS_AST_PARENT	
6711670	6711672	IS_AST_PARENT	
6711669	6711670	IS_AST_PARENT	
6711664	6711669	IS_AST_PARENT	
6711673	6711674	IS_AST_PARENT	
6711664	6711673	IS_AST_PARENT	
6711661	6711664	IS_AST_PARENT	
6711659	6711661	IS_AST_PARENT	
6711658	6711659	IS_AST_PARENT	
6711655	6711658	IS_AST_PARENT	
6711655	6711675	IS_AST_PARENT	
6711676	6711677	IS_AST_PARENT	
6711655	6711676	IS_AST_PARENT	
6711679	6711680	IS_AST_PARENT	
6711682	6711683	IS_AST_PARENT	
6711681	6711682	IS_AST_PARENT	
6711685	6711686	IS_AST_PARENT	
6711684	6711685	IS_AST_PARENT	
6711687	6711688	IS_AST_PARENT	
6711684	6711687	IS_AST_PARENT	
6711690	6711691	IS_AST_PARENT	
6711690	6711692	IS_AST_PARENT	
6711689	6711690	IS_AST_PARENT	
6711684	6711689	IS_AST_PARENT	
6711693	6711694	IS_AST_PARENT	
6711684	6711693	IS_AST_PARENT	
6711681	6711684	IS_AST_PARENT	
6711679	6711681	IS_AST_PARENT	
6711678	6711679	IS_AST_PARENT	
6711655	6711678	IS_AST_PARENT	
6711655	6711695	IS_AST_PARENT	
6711696	6711697	IS_AST_PARENT	
6711655	6711696	IS_AST_PARENT	
6711699	6711700	IS_AST_PARENT	
6711702	6711703	IS_AST_PARENT	
6711701	6711702	IS_AST_PARENT	
6711705	6711706	IS_AST_PARENT	
6711704	6711705	IS_AST_PARENT	
6711708	6711709	IS_AST_PARENT	
6711708	6711710	IS_AST_PARENT	
6711707	6711708	IS_AST_PARENT	
6711704	6711707	IS_AST_PARENT	
6711712	6711713	IS_AST_PARENT	
6711712	6711714	IS_AST_PARENT	
6711711	6711712	IS_AST_PARENT	
6711704	6711711	IS_AST_PARENT	
6711715	6711716	IS_AST_PARENT	
6711704	6711715	IS_AST_PARENT	
6711701	6711704	IS_AST_PARENT	
6711699	6711701	IS_AST_PARENT	
6711698	6711699	IS_AST_PARENT	
6711655	6711698	IS_AST_PARENT	
