command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	6746697	File	/home/p4ultr4n/workplace/ReVeal/raw_code/proxy_fsync_0.c								
ANR	6746698	Function	proxy_fsync	1:0:0:347							
ANR	6746699	FunctionDef	"proxy_fsync (FsContext * ctx , int fid_type , V9fsFidOpenState * fs , int datasync)"		6746698	0					
ANR	6746700	CompoundStatement		5:0:114:347	6746698	0					
ANR	6746701	IdentifierDeclStatement	int fd ;	7:4:121:127	6746698	0	True				
ANR	6746702	IdentifierDecl	fd		6746698	0					
ANR	6746703	IdentifierDeclType	int		6746698	0					
ANR	6746704	Identifier	fd		6746698	1					
ANR	6746705	IfStatement	if ( fid_type == P9_FID_DIR )		6746698	1					
ANR	6746706	Condition	fid_type == P9_FID_DIR	11:8:140:161	6746698	0	True				
ANR	6746707	EqualityExpression	fid_type == P9_FID_DIR		6746698	0		==			
ANR	6746708	Identifier	fid_type		6746698	0					
ANR	6746709	Identifier	P9_FID_DIR		6746698	1					
ANR	6746710	CompoundStatement		7:32:49:49	6746698	1					
ANR	6746711	ExpressionStatement	fd = dirfd ( fs -> dir )	13:8:175:194	6746698	0	True				
ANR	6746712	AssignmentExpression	fd = dirfd ( fs -> dir )		6746698	0		=			
ANR	6746713	Identifier	fd		6746698	0					
ANR	6746714	CallExpression	dirfd ( fs -> dir )		6746698	1					
ANR	6746715	Callee	dirfd		6746698	0					
ANR	6746716	Identifier	dirfd		6746698	0					
ANR	6746717	ArgumentList	fs -> dir		6746698	1					
ANR	6746718	Argument	fs -> dir		6746698	0					
ANR	6746719	PtrMemberAccess	fs -> dir		6746698	0					
ANR	6746720	Identifier	fs		6746698	0					
ANR	6746721	Identifier	dir		6746698	1					
ANR	6746722	ElseStatement	else		6746698	0					
ANR	6746723	CompoundStatement		11:11:93:93	6746698	0					
ANR	6746724	ExpressionStatement	fd = fs -> fd	17:8:219:230	6746698	0	True				
ANR	6746725	AssignmentExpression	fd = fs -> fd		6746698	0		=			
ANR	6746726	Identifier	fd		6746698	0					
ANR	6746727	PtrMemberAccess	fs -> fd		6746698	1					
ANR	6746728	Identifier	fs		6746698	0					
ANR	6746729	Identifier	fd		6746698	1					
ANR	6746730	IfStatement	if ( datasync )		6746698	2					
ANR	6746731	Condition	datasync	23:8:250:257	6746698	0	True				
ANR	6746732	Identifier	datasync		6746698	0					
ANR	6746733	CompoundStatement		19:18:145:145	6746698	1					
ANR	6746734	ReturnStatement	return qemu_fdatasync ( fd ) ;	25:8:271:296	6746698	0	True				
ANR	6746735	CallExpression	qemu_fdatasync ( fd )		6746698	0					
ANR	6746736	Callee	qemu_fdatasync		6746698	0					
ANR	6746737	Identifier	qemu_fdatasync		6746698	0					
ANR	6746738	ArgumentList	fd		6746698	1					
ANR	6746739	Argument	fd		6746698	0					
ANR	6746740	Identifier	fd		6746698	0					
ANR	6746741	ElseStatement	else		6746698	0					
ANR	6746742	CompoundStatement		23:11:195:195	6746698	0					
ANR	6746743	ReturnStatement	return fsync ( fd ) ;	29:8:321:337	6746698	0	True				
ANR	6746744	CallExpression	fsync ( fd )		6746698	0					
ANR	6746745	Callee	fsync		6746698	0					
ANR	6746746	Identifier	fsync		6746698	0					
ANR	6746747	ArgumentList	fd		6746698	1					
ANR	6746748	Argument	fd		6746698	0					
ANR	6746749	Identifier	fd		6746698	0					
ANR	6746750	ReturnType	static int		6746698	1					
ANR	6746751	Identifier	proxy_fsync		6746698	2					
ANR	6746752	ParameterList	"FsContext * ctx , int fid_type , V9fsFidOpenState * fs , int datasync"		6746698	3					
ANR	6746753	Parameter	FsContext * ctx	1:23:23:36	6746698	0	True				
ANR	6746754	ParameterType	FsContext *		6746698	0					
ANR	6746755	Identifier	ctx		6746698	1					
ANR	6746756	Parameter	int fid_type	1:39:39:50	6746698	1	True				
ANR	6746757	ParameterType	int		6746698	0					
ANR	6746758	Identifier	fid_type		6746698	1					
ANR	6746759	Parameter	V9fsFidOpenState * fs	3:23:77:96	6746698	2	True				
ANR	6746760	ParameterType	V9fsFidOpenState *		6746698	0					
ANR	6746761	Identifier	fs		6746698	1					
ANR	6746762	Parameter	int datasync	3:45:99:110	6746698	3	True				
ANR	6746763	ParameterType	int		6746698	0					
ANR	6746764	Identifier	datasync		6746698	1					
ANR	6746765	CFGEntryNode	ENTRY		6746698		True				
ANR	6746766	CFGExitNode	EXIT		6746698		True				
ANR	6746767	Symbol	* fs		6746698						
ANR	6746768	Symbol	fsync		6746698						
ANR	6746769	Symbol	fid_type		6746698						
ANR	6746770	Symbol	datasync		6746698						
ANR	6746771	Symbol	ctx		6746698						
ANR	6746772	Symbol	fs -> dir		6746698						
ANR	6746773	Symbol	P9_FID_DIR		6746698						
ANR	6746774	Symbol	dirfd		6746698						
ANR	6746775	Symbol	fs -> fd		6746698						
ANR	6746776	Symbol	fs		6746698						
ANR	6746777	Symbol	fd		6746698						
ANR	6746778	Symbol	qemu_fdatasync		6746698						
