start	end	type	var
6932683	6932684	IS_AST_PARENT	
6932683	6932685	IS_AST_PARENT	
6932686	6932687	IS_AST_PARENT	
6932688	6932689	IS_AST_PARENT	
6932688	6932690	IS_AST_PARENT	
6932686	6932688	IS_AST_PARENT	
6932683	6932686	IS_AST_PARENT	
6932682	6932683	IS_AST_PARENT	
6932681	6932682	IS_AST_PARENT	
6932692	6932693	IS_AST_PARENT	
6932692	6932694	IS_AST_PARENT	
6932691	6932692	IS_AST_PARENT	
6932681	6932691	IS_AST_PARENT	
6932696	6932697	IS_AST_PARENT	
6932696	6932698	IS_AST_PARENT	
6932695	6932696	IS_AST_PARENT	
6932681	6932695	IS_AST_PARENT	
6932700	6932701	IS_AST_PARENT	
6932700	6932702	IS_AST_PARENT	
6932699	6932700	IS_AST_PARENT	
6932703	6932704	IS_AST_PARENT	
6932703	6932705	IS_AST_PARENT	
6932699	6932703	IS_AST_PARENT	
6932706	6932707	IS_AST_PARENT	
6932706	6932708	IS_AST_PARENT	
6932699	6932706	IS_AST_PARENT	
6932681	6932699	IS_AST_PARENT	
6932710	6932711	IS_AST_PARENT	
6932710	6932712	IS_AST_PARENT	
6932709	6932710	IS_AST_PARENT	
6932681	6932709	IS_AST_PARENT	
6932714	6932715	IS_AST_PARENT	
6932714	6932716	IS_AST_PARENT	
6932713	6932714	IS_AST_PARENT	
6932681	6932713	IS_AST_PARENT	
6932720	6932721	IS_AST_PARENT	
6932722	6932723	IS_AST_PARENT	
6932722	6932724	IS_AST_PARENT	
6932720	6932722	IS_AST_PARENT	
6932719	6932720	IS_AST_PARENT	
6932726	6932727	IS_AST_PARENT	
6932726	6932728	IS_AST_PARENT	
6932725	6932726	IS_AST_PARENT	
6932725	6932729	IS_AST_PARENT	
6932719	6932725	IS_AST_PARENT	
6932718	6932719	IS_AST_PARENT	
6932717	6932718	IS_AST_PARENT	
6932733	6932734	IS_AST_PARENT	
6932732	6932733	IS_AST_PARENT	
6932736	6932737	IS_AST_PARENT	
6932735	6932736	IS_AST_PARENT	
6932738	6932739	IS_AST_PARENT	
6932735	6932738	IS_AST_PARENT	
6932740	6932741	IS_AST_PARENT	
6932735	6932740	IS_AST_PARENT	
6932732	6932735	IS_AST_PARENT	
6932731	6932732	IS_AST_PARENT	
6932730	6932731	IS_AST_PARENT	
6932743	6932744	IS_AST_PARENT	
6932743	6932745	IS_AST_PARENT	
6932742	6932743	IS_AST_PARENT	
6932730	6932742	IS_AST_PARENT	
6932717	6932730	IS_AST_PARENT	
6932681	6932717	IS_AST_PARENT	
6932747	6932748	IS_AST_PARENT	
6932749	6932750	IS_AST_PARENT	
6932749	6932751	IS_AST_PARENT	
6932747	6932749	IS_AST_PARENT	
6932746	6932747	IS_AST_PARENT	
6932681	6932746	IS_AST_PARENT	
6932753	6932754	IS_AST_PARENT	
6932755	6932756	IS_AST_PARENT	
6932755	6932757	IS_AST_PARENT	
6932753	6932755	IS_AST_PARENT	
6932752	6932753	IS_AST_PARENT	
6932681	6932752	IS_AST_PARENT	
6932760	6932761	IS_AST_PARENT	
6932760	6932762	IS_AST_PARENT	
6932759	6932760	IS_AST_PARENT	
6932758	6932759	IS_AST_PARENT	
6932766	6932767	IS_AST_PARENT	
6932769	6932770	IS_AST_PARENT	
6932768	6932769	IS_AST_PARENT	
6932772	6932773	IS_AST_PARENT	
6932771	6932772	IS_AST_PARENT	
6932774	6932775	IS_AST_PARENT	
6932771	6932774	IS_AST_PARENT	
6932776	6932777	IS_AST_PARENT	
6932771	6932776	IS_AST_PARENT	
6932768	6932771	IS_AST_PARENT	
6932766	6932768	IS_AST_PARENT	
6932765	6932766	IS_AST_PARENT	
6932764	6932765	IS_AST_PARENT	
6932764	6932778	IS_AST_PARENT	
6932763	6932764	IS_AST_PARENT	
6932780	6932781	IS_AST_PARENT	
6932780	6932782	IS_AST_PARENT	
6932779	6932780	IS_AST_PARENT	
6932763	6932779	IS_AST_PARENT	
6932784	6932785	IS_AST_PARENT	
6932784	6932786	IS_AST_PARENT	
6932783	6932784	IS_AST_PARENT	
6932763	6932783	IS_AST_PARENT	
6932758	6932763	IS_AST_PARENT	
6932681	6932758	IS_AST_PARENT	
6932789	6932790	IS_AST_PARENT	
6932789	6932791	IS_AST_PARENT	
6932788	6932789	IS_AST_PARENT	
6932787	6932788	IS_AST_PARENT	
6932795	6932796	IS_AST_PARENT	
6932794	6932795	IS_AST_PARENT	
6932798	6932799	IS_AST_PARENT	
6932797	6932798	IS_AST_PARENT	
6932800	6932801	IS_AST_PARENT	
6932797	6932800	IS_AST_PARENT	
6932802	6932803	IS_AST_PARENT	
6932797	6932802	IS_AST_PARENT	
6932804	6932805	IS_AST_PARENT	
6932797	6932804	IS_AST_PARENT	
6932794	6932797	IS_AST_PARENT	
6932793	6932794	IS_AST_PARENT	
6932792	6932793	IS_AST_PARENT	
6932807	6932808	IS_AST_PARENT	
6932807	6932809	IS_AST_PARENT	
6932806	6932807	IS_AST_PARENT	
6932792	6932806	IS_AST_PARENT	
6932787	6932792	IS_AST_PARENT	
6932681	6932787	IS_AST_PARENT	
6932813	6932814	IS_AST_PARENT	
6932812	6932813	IS_AST_PARENT	
6932816	6932817	IS_AST_PARENT	
6932815	6932816	IS_AST_PARENT	
6932818	6932819	IS_AST_PARENT	
6932815	6932818	IS_AST_PARENT	
6932820	6932821	IS_AST_PARENT	
6932815	6932820	IS_AST_PARENT	
6932812	6932815	IS_AST_PARENT	
6932811	6932812	IS_AST_PARENT	
6932810	6932811	IS_AST_PARENT	
6932825	6932826	IS_AST_PARENT	
6932824	6932825	IS_AST_PARENT	
6932828	6932829	IS_AST_PARENT	
6932827	6932828	IS_AST_PARENT	
6932830	6932831	IS_AST_PARENT	
6932827	6932830	IS_AST_PARENT	
6932832	6932833	IS_AST_PARENT	
6932827	6932832	IS_AST_PARENT	
6932824	6932827	IS_AST_PARENT	
6932823	6932824	IS_AST_PARENT	
6932822	6932823	IS_AST_PARENT	
6932835	6932836	IS_AST_PARENT	
6932835	6932837	IS_AST_PARENT	
6932834	6932835	IS_AST_PARENT	
6932822	6932834	IS_AST_PARENT	
6932810	6932822	IS_AST_PARENT	
6932681	6932810	IS_AST_PARENT	
6932841	6932842	IS_AST_PARENT	
6932841	6932843	IS_AST_PARENT	
6932840	6932841	IS_AST_PARENT	
6932840	6932844	IS_AST_PARENT	
6932839	6932840	IS_AST_PARENT	
6932838	6932839	IS_AST_PARENT	
6932848	6932849	IS_AST_PARENT	
6932847	6932848	IS_AST_PARENT	
6932851	6932852	IS_AST_PARENT	
6932850	6932851	IS_AST_PARENT	
6932853	6932854	IS_AST_PARENT	
6932850	6932853	IS_AST_PARENT	
6932855	6932856	IS_AST_PARENT	
6932850	6932855	IS_AST_PARENT	
6932847	6932850	IS_AST_PARENT	
6932846	6932847	IS_AST_PARENT	
6932845	6932846	IS_AST_PARENT	
6932858	6932859	IS_AST_PARENT	
6932858	6932860	IS_AST_PARENT	
6932857	6932858	IS_AST_PARENT	
6932845	6932857	IS_AST_PARENT	
6932838	6932845	IS_AST_PARENT	
6932681	6932838	IS_AST_PARENT	
6932862	6932863	IS_AST_PARENT	
6932862	6932864	IS_AST_PARENT	
6932861	6932862	IS_AST_PARENT	
6932681	6932861	IS_AST_PARENT	
6932866	6932867	IS_AST_PARENT	
6932866	6932868	IS_AST_PARENT	
6932865	6932866	IS_AST_PARENT	
6932681	6932865	IS_AST_PARENT	
6932870	6932871	IS_AST_PARENT	
6932873	6932874	IS_AST_PARENT	
6932872	6932873	IS_AST_PARENT	
6932876	6932877	IS_AST_PARENT	
6932875	6932876	IS_AST_PARENT	
6932872	6932875	IS_AST_PARENT	
6932870	6932872	IS_AST_PARENT	
6932869	6932870	IS_AST_PARENT	
6932681	6932869	IS_AST_PARENT	
6932880	6932881	IS_AST_PARENT	
6932880	6932882	IS_AST_PARENT	
6932879	6932880	IS_AST_PARENT	
6932878	6932879	IS_AST_PARENT	
6932886	6932887	IS_AST_PARENT	
6932885	6932886	IS_AST_PARENT	
6932889	6932890	IS_AST_PARENT	
6932888	6932889	IS_AST_PARENT	
6932891	6932892	IS_AST_PARENT	
6932888	6932891	IS_AST_PARENT	
6932893	6932894	IS_AST_PARENT	
6932888	6932893	IS_AST_PARENT	
6932895	6932896	IS_AST_PARENT	
6932888	6932895	IS_AST_PARENT	
6932897	6932898	IS_AST_PARENT	
6932888	6932897	IS_AST_PARENT	
6932885	6932888	IS_AST_PARENT	
6932884	6932885	IS_AST_PARENT	
6932883	6932884	IS_AST_PARENT	
6932900	6932901	IS_AST_PARENT	
6932900	6932902	IS_AST_PARENT	
6932899	6932900	IS_AST_PARENT	
6932883	6932899	IS_AST_PARENT	
6932878	6932883	IS_AST_PARENT	
6932681	6932878	IS_AST_PARENT	
6932904	6932905	IS_AST_PARENT	
6932904	6932906	IS_AST_PARENT	
6932903	6932904	IS_AST_PARENT	
6932681	6932903	IS_AST_PARENT	
6932909	6932910	IS_AST_PARENT	
6932908	6932909	IS_AST_PARENT	
6932912	6932913	IS_AST_PARENT	
6932911	6932912	IS_AST_PARENT	
6932914	6932915	IS_AST_PARENT	
6932911	6932914	IS_AST_PARENT	
6932916	6932917	IS_AST_PARENT	
6932911	6932916	IS_AST_PARENT	
6932918	6932919	IS_AST_PARENT	
6932911	6932918	IS_AST_PARENT	
6932908	6932911	IS_AST_PARENT	
6932907	6932908	IS_AST_PARENT	
