command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	6963551	File	/home/p4ultr4n/workplace/ReVeal/raw_code/qemu_chr_open_win_path_0.c								
ANR	6963552	Function	qemu_chr_open_win_path	1:0:0:479							
ANR	6963553	FunctionDef	qemu_chr_open_win_path (const char * filename)		6963552	0					
ANR	6963554	CompoundStatement		3:0:70:479	6963552	0					
ANR	6963555	IdentifierDeclStatement	CharDriverState * chr ;	5:4:77:97	6963552	0	True				
ANR	6963556	IdentifierDecl	* chr		6963552	0					
ANR	6963557	IdentifierDeclType	CharDriverState *		6963552	0					
ANR	6963558	Identifier	chr		6963552	1					
ANR	6963559	IdentifierDeclStatement	WinCharState * s ;	7:4:104:119	6963552	1	True				
ANR	6963560	IdentifierDecl	* s		6963552	0					
ANR	6963561	IdentifierDeclType	WinCharState *		6963552	0					
ANR	6963562	Identifier	s		6963552	1					
ANR	6963563	ExpressionStatement	chr = g_malloc0 ( sizeof ( CharDriverState ) )	11:4:128:168	6963552	2	True				
ANR	6963564	AssignmentExpression	chr = g_malloc0 ( sizeof ( CharDriverState ) )		6963552	0		=			
ANR	6963565	Identifier	chr		6963552	0					
ANR	6963566	CallExpression	g_malloc0 ( sizeof ( CharDriverState ) )		6963552	1					
ANR	6963567	Callee	g_malloc0		6963552	0					
ANR	6963568	Identifier	g_malloc0		6963552	0					
ANR	6963569	ArgumentList	sizeof ( CharDriverState )		6963552	1					
ANR	6963570	Argument	sizeof ( CharDriverState )		6963552	0					
ANR	6963571	SizeofExpression	sizeof ( CharDriverState )		6963552	0					
ANR	6963572	Sizeof	sizeof		6963552	0					
ANR	6963573	SizeofOperand	CharDriverState		6963552	1					
ANR	6963574	ExpressionStatement	s = g_malloc0 ( sizeof ( WinCharState ) )	13:4:175:210	6963552	3	True				
ANR	6963575	AssignmentExpression	s = g_malloc0 ( sizeof ( WinCharState ) )		6963552	0		=			
ANR	6963576	Identifier	s		6963552	0					
ANR	6963577	CallExpression	g_malloc0 ( sizeof ( WinCharState ) )		6963552	1					
ANR	6963578	Callee	g_malloc0		6963552	0					
ANR	6963579	Identifier	g_malloc0		6963552	0					
ANR	6963580	ArgumentList	sizeof ( WinCharState )		6963552	1					
ANR	6963581	Argument	sizeof ( WinCharState )		6963552	0					
ANR	6963582	SizeofExpression	sizeof ( WinCharState )		6963552	0					
ANR	6963583	Sizeof	sizeof		6963552	0					
ANR	6963584	SizeofOperand	WinCharState		6963552	1					
ANR	6963585	ExpressionStatement	chr -> opaque = s	15:4:217:232	6963552	4	True				
ANR	6963586	AssignmentExpression	chr -> opaque = s		6963552	0		=			
ANR	6963587	PtrMemberAccess	chr -> opaque		6963552	0					
ANR	6963588	Identifier	chr		6963552	0					
ANR	6963589	Identifier	opaque		6963552	1					
ANR	6963590	Identifier	s		6963552	1					
ANR	6963591	ExpressionStatement	chr -> chr_write = win_chr_write	17:4:239:269	6963552	5	True				
ANR	6963592	AssignmentExpression	chr -> chr_write = win_chr_write		6963552	0		=			
ANR	6963593	PtrMemberAccess	chr -> chr_write		6963552	0					
ANR	6963594	Identifier	chr		6963552	0					
ANR	6963595	Identifier	chr_write		6963552	1					
ANR	6963596	Identifier	win_chr_write		6963552	1					
ANR	6963597	ExpressionStatement	chr -> chr_close = win_chr_close	19:4:276:306	6963552	6	True				
ANR	6963598	AssignmentExpression	chr -> chr_close = win_chr_close		6963552	0		=			
ANR	6963599	PtrMemberAccess	chr -> chr_close		6963552	0					
ANR	6963600	Identifier	chr		6963552	0					
ANR	6963601	Identifier	chr_close		6963552	1					
ANR	6963602	Identifier	win_chr_close		6963552	1					
ANR	6963603	IfStatement	"if ( win_chr_init ( chr , filename ) < 0 )"		6963552	7					
ANR	6963604	Condition	"win_chr_init ( chr , filename ) < 0"	23:8:319:349	6963552	0	True				
ANR	6963605	RelationalExpression	"win_chr_init ( chr , filename ) < 0"		6963552	0		<			
ANR	6963606	CallExpression	"win_chr_init ( chr , filename )"		6963552	0					
ANR	6963607	Callee	win_chr_init		6963552	0					
ANR	6963608	Identifier	win_chr_init		6963552	0					
ANR	6963609	ArgumentList	chr		6963552	1					
ANR	6963610	Argument	chr		6963552	0					
ANR	6963611	Identifier	chr		6963552	0					
ANR	6963612	Argument	filename		6963552	1					
ANR	6963613	Identifier	filename		6963552	0					
ANR	6963614	PrimaryExpression	0		6963552	1					
ANR	6963615	CompoundStatement		21:41:281:281	6963552	1					
ANR	6963616	ExpressionStatement	g_free ( s )	25:8:363:372	6963552	0	True				
ANR	6963617	CallExpression	g_free ( s )		6963552	0					
ANR	6963618	Callee	g_free		6963552	0					
ANR	6963619	Identifier	g_free		6963552	0					
ANR	6963620	ArgumentList	s		6963552	1					
ANR	6963621	Argument	s		6963552	0					
ANR	6963622	Identifier	s		6963552	0					
ANR	6963623	ExpressionStatement	g_free ( chr )	27:8:383:394	6963552	1	True				
ANR	6963624	CallExpression	g_free ( chr )		6963552	0					
ANR	6963625	Callee	g_free		6963552	0					
ANR	6963626	Identifier	g_free		6963552	0					
ANR	6963627	ArgumentList	chr		6963552	1					
ANR	6963628	Argument	chr		6963552	0					
ANR	6963629	Identifier	chr		6963552	0					
ANR	6963630	ReturnStatement	return NULL ;	29:8:405:416	6963552	2	True				
ANR	6963631	Identifier	NULL		6963552	0					
ANR	6963632	ExpressionStatement	qemu_chr_be_generic_open ( chr )	33:4:430:459	6963552	8	True				
ANR	6963633	CallExpression	qemu_chr_be_generic_open ( chr )		6963552	0					
ANR	6963634	Callee	qemu_chr_be_generic_open		6963552	0					
ANR	6963635	Identifier	qemu_chr_be_generic_open		6963552	0					
ANR	6963636	ArgumentList	chr		6963552	1					
ANR	6963637	Argument	chr		6963552	0					
ANR	6963638	Identifier	chr		6963552	0					
ANR	6963639	ReturnStatement	return chr ;	35:4:466:476	6963552	9	True				
ANR	6963640	Identifier	chr		6963552	0					
ANR	6963641	ReturnType	static CharDriverState *		6963552	1					
ANR	6963642	Identifier	qemu_chr_open_win_path		6963552	2					
ANR	6963643	ParameterList	const char * filename		6963552	3					
ANR	6963644	Parameter	const char * filename	1:47:47:66	6963552	0	True				
ANR	6963645	ParameterType	const char *		6963552	0					
ANR	6963646	Identifier	filename		6963552	1					
ANR	6963647	CFGEntryNode	ENTRY		6963552		True				
ANR	6963648	CFGExitNode	EXIT		6963552		True				
ANR	6963649	Symbol	win_chr_init		6963552						
ANR	6963650	Symbol	filename		6963552						
ANR	6963651	Symbol	s		6963552						
ANR	6963652	Symbol	chr -> chr_write		6963552						
ANR	6963653	Symbol	NULL		6963552						
ANR	6963654	Symbol	win_chr_close		6963552						
ANR	6963655	Symbol	* chr		6963552						
ANR	6963656	Symbol	g_malloc0		6963552						
ANR	6963657	Symbol	win_chr_write		6963552						
ANR	6963658	Symbol	chr -> opaque		6963552						
ANR	6963659	Symbol	chr		6963552						
ANR	6963660	Symbol	chr -> chr_close		6963552						
