command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	7009229	File	/home/p4ultr4n/workplace/ReVeal/raw_code/qemu_put_qemu_file_1.c								
ANR	7009230	Function	qemu_put_qemu_file	1:0:0:266							
ANR	7009231	FunctionDef	"qemu_put_qemu_file (QEMUFile * f_des , QEMUFile * f_src)"		7009230	0					
ANR	7009232	CompoundStatement		3:0:58:266	7009230	0					
ANR	7009233	IdentifierDeclStatement	int len = 0 ;	5:4:65:76	7009230	0	True				
ANR	7009234	IdentifierDecl	len = 0		7009230	0					
ANR	7009235	IdentifierDeclType	int		7009230	0					
ANR	7009236	Identifier	len		7009230	1					
ANR	7009237	AssignmentExpression	len = 0		7009230	2		=			
ANR	7009238	Identifier	len		7009230	0					
ANR	7009239	PrimaryExpression	0		7009230	1					
ANR	7009240	IfStatement	if ( f_src -> buf_index > 0 )		7009230	1					
ANR	7009241	Condition	f_src -> buf_index > 0	9:8:89:108	7009230	0	True				
ANR	7009242	RelationalExpression	f_src -> buf_index > 0		7009230	0		>			
ANR	7009243	PtrMemberAccess	f_src -> buf_index		7009230	0					
ANR	7009244	Identifier	f_src		7009230	0					
ANR	7009245	Identifier	buf_index		7009230	1					
ANR	7009246	PrimaryExpression	0		7009230	1					
ANR	7009247	CompoundStatement		7:30:52:52	7009230	1					
ANR	7009248	ExpressionStatement	len = f_src -> buf_index	11:8:122:144	7009230	0	True				
ANR	7009249	AssignmentExpression	len = f_src -> buf_index		7009230	0		=			
ANR	7009250	Identifier	len		7009230	0					
ANR	7009251	PtrMemberAccess	f_src -> buf_index		7009230	1					
ANR	7009252	Identifier	f_src		7009230	0					
ANR	7009253	Identifier	buf_index		7009230	1					
ANR	7009254	ExpressionStatement	"qemu_put_buffer ( f_des , f_src -> buf , f_src -> buf_index )"	13:8:155:207	7009230	1	True				
ANR	7009255	CallExpression	"qemu_put_buffer ( f_des , f_src -> buf , f_src -> buf_index )"		7009230	0					
ANR	7009256	Callee	qemu_put_buffer		7009230	0					
ANR	7009257	Identifier	qemu_put_buffer		7009230	0					
ANR	7009258	ArgumentList	f_des		7009230	1					
ANR	7009259	Argument	f_des		7009230	0					
ANR	7009260	Identifier	f_des		7009230	0					
ANR	7009261	Argument	f_src -> buf		7009230	1					
ANR	7009262	PtrMemberAccess	f_src -> buf		7009230	0					
ANR	7009263	Identifier	f_src		7009230	0					
ANR	7009264	Identifier	buf		7009230	1					
ANR	7009265	Argument	f_src -> buf_index		7009230	2					
ANR	7009266	PtrMemberAccess	f_src -> buf_index		7009230	0					
ANR	7009267	Identifier	f_src		7009230	0					
ANR	7009268	Identifier	buf_index		7009230	1					
ANR	7009269	ExpressionStatement	f_src -> buf_index = 0	15:8:218:238	7009230	2	True				
ANR	7009270	AssignmentExpression	f_src -> buf_index = 0		7009230	0		=			
ANR	7009271	PtrMemberAccess	f_src -> buf_index		7009230	0					
ANR	7009272	Identifier	f_src		7009230	0					
ANR	7009273	Identifier	buf_index		7009230	1					
ANR	7009274	PrimaryExpression	0		7009230	1					
ANR	7009275	ReturnStatement	return len ;	20:4:253:263	7009230	2	True				
ANR	7009276	Identifier	len		7009230	0					
ANR	7009277	ReturnType	int		7009230	1					
ANR	7009278	Identifier	qemu_put_qemu_file		7009230	2					
ANR	7009279	ParameterList	"QEMUFile * f_des , QEMUFile * f_src"		7009230	3					
ANR	7009280	Parameter	QEMUFile * f_des	1:23:23:37	7009230	0	True				
ANR	7009281	ParameterType	QEMUFile *		7009230	0					
ANR	7009282	Identifier	f_des		7009230	1					
ANR	7009283	Parameter	QEMUFile * f_src	1:40:40:54	7009230	1	True				
ANR	7009284	ParameterType	QEMUFile *		7009230	0					
ANR	7009285	Identifier	f_src		7009230	1					
ANR	7009286	CFGEntryNode	ENTRY		7009230		True				
ANR	7009287	CFGExitNode	EXIT		7009230		True				
ANR	7009288	Symbol	f_src		7009230						
ANR	7009289	Symbol	f_des		7009230						
ANR	7009290	Symbol	len		7009230						
ANR	7009291	Symbol	f_src -> buf		7009230						
ANR	7009292	Symbol	f_src -> buf_index		7009230						
ANR	7009293	Symbol	* f_src		7009230						
