command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	7011992	File	/home/p4ultr4n/workplace/ReVeal/raw_code/qemu_ram_foreach_block_0.c								
ANR	7011993	Function	qemu_ram_foreach_block	1:0:0:273							
ANR	7011994	FunctionDef	"qemu_ram_foreach_block (RAMBlockIterFunc func , void * opaque)"		7011993	0					
ANR	7011995	CompoundStatement		3:0:66:273	7011993	0					
ANR	7011996	IdentifierDeclStatement	RAMBlock * block ;	5:4:73:88	7011993	0	True				
ANR	7011997	IdentifierDecl	* block		7011993	0					
ANR	7011998	IdentifierDeclType	RAMBlock *		7011993	0					
ANR	7011999	Identifier	block		7011993	1					
ANR	7012000	ExpressionStatement	rcu_read_lock ( )	9:4:97:112	7011993	1	True				
ANR	7012001	CallExpression	rcu_read_lock ( )		7011993	0					
ANR	7012002	Callee	rcu_read_lock		7011993	0					
ANR	7012003	Identifier	rcu_read_lock		7011993	0					
ANR	7012004	ArgumentList			7011993	1					
ANR	7012005	Statement	QLIST_FOREACH_RCU	11:4:119:135	7011993	2	True				
ANR	7012006	Statement	(	11:21:136:136	7011993	3	True				
ANR	7012007	Statement	block	11:22:137:141	7011993	4	True				
ANR	7012008	Statement	","	11:27:142:142	7011993	5	True				
ANR	7012009	Statement	&	11:29:144:144	7011993	6	True				
ANR	7012010	Statement	ram_list	11:30:145:152	7011993	7	True				
ANR	7012011	Statement	.	11:38:153:153	7011993	8	True				
ANR	7012012	Statement	blocks	11:39:154:159	7011993	9	True				
ANR	7012013	Statement	","	11:45:160:160	7011993	10	True				
ANR	7012014	Statement	next	11:47:162:165	7011993	11	True				
ANR	7012015	Statement	)	11:51:166:166	7011993	12	True				
ANR	7012016	CompoundStatement		9:53:101:101	7011993	13					
ANR	7012017	ExpressionStatement	"func ( block -> host , block -> offset , block -> used_length , opaque )"	13:8:179:239	7011993	0	True				
ANR	7012018	CallExpression	"func ( block -> host , block -> offset , block -> used_length , opaque )"		7011993	0					
ANR	7012019	Callee	func		7011993	0					
ANR	7012020	Identifier	func		7011993	0					
ANR	7012021	ArgumentList	block -> host		7011993	1					
ANR	7012022	Argument	block -> host		7011993	0					
ANR	7012023	PtrMemberAccess	block -> host		7011993	0					
ANR	7012024	Identifier	block		7011993	0					
ANR	7012025	Identifier	host		7011993	1					
ANR	7012026	Argument	block -> offset		7011993	1					
ANR	7012027	PtrMemberAccess	block -> offset		7011993	0					
ANR	7012028	Identifier	block		7011993	0					
ANR	7012029	Identifier	offset		7011993	1					
ANR	7012030	Argument	block -> used_length		7011993	2					
ANR	7012031	PtrMemberAccess	block -> used_length		7011993	0					
ANR	7012032	Identifier	block		7011993	0					
ANR	7012033	Identifier	used_length		7011993	1					
ANR	7012034	Argument	opaque		7011993	3					
ANR	7012035	Identifier	opaque		7011993	0					
ANR	7012036	ExpressionStatement	rcu_read_unlock ( )	17:4:253:270	7011993	14	True				
ANR	7012037	CallExpression	rcu_read_unlock ( )		7011993	0					
ANR	7012038	Callee	rcu_read_unlock		7011993	0					
ANR	7012039	Identifier	rcu_read_unlock		7011993	0					
ANR	7012040	ArgumentList			7011993	1					
ANR	7012041	ReturnType	void		7011993	1					
ANR	7012042	Identifier	qemu_ram_foreach_block		7011993	2					
ANR	7012043	ParameterList	"RAMBlockIterFunc func , void * opaque"		7011993	3					
ANR	7012044	Parameter	RAMBlockIterFunc func	1:28:28:48	7011993	0	True				
ANR	7012045	ParameterType	RAMBlockIterFunc		7011993	0					
ANR	7012046	Identifier	func		7011993	1					
ANR	7012047	Parameter	void * opaque	1:51:51:62	7011993	1	True				
ANR	7012048	ParameterType	void *		7011993	0					
ANR	7012049	Identifier	opaque		7011993	1					
ANR	7012050	CFGEntryNode	ENTRY		7011993		True				
ANR	7012051	CFGExitNode	EXIT		7011993		True				
ANR	7012052	Symbol	opaque		7011993						
ANR	7012053	Symbol	block -> used_length		7011993						
ANR	7012054	Symbol	func		7011993						
ANR	7012055	Symbol	block -> host		7011993						
ANR	7012056	Symbol	block -> offset		7011993						
ANR	7012057	Symbol	block		7011993						
ANR	7012058	Symbol	* block		7011993						
