command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	7022007	File	/home/p4ultr4n/workplace/ReVeal/raw_code/qemu_rbd_snap_list_0.c								
ANR	7022008	Function	qemu_rbd_snap_list	1:0:0:1161							
ANR	7022009	FunctionDef	"qemu_rbd_snap_list (BlockDriverState * bs , QEMUSnapshotInfo * * psn_tab)"		7022008	0					
ANR	7022010	CompoundStatement		5:0:112:1161	7022008	0					
ANR	7022011	IdentifierDeclStatement	BDRVRBDState * s = bs -> opaque ;	7:4:119:147	7022008	0	True				
ANR	7022012	IdentifierDecl	* s = bs -> opaque		7022008	0					
ANR	7022013	IdentifierDeclType	BDRVRBDState *		7022008	0					
ANR	7022014	Identifier	s		7022008	1					
ANR	7022015	AssignmentExpression	* s = bs -> opaque		7022008	2		=			
ANR	7022016	Identifier	s		7022008	0					
ANR	7022017	PtrMemberAccess	bs -> opaque		7022008	1					
ANR	7022018	Identifier	bs		7022008	0					
ANR	7022019	Identifier	opaque		7022008	1					
ANR	7022020	IdentifierDeclStatement	"QEMUSnapshotInfo * sn_info , * sn_tab = NULL ;"	9:4:154:195	7022008	1	True				
ANR	7022021	IdentifierDecl	* sn_info		7022008	0					
ANR	7022022	IdentifierDeclType	QEMUSnapshotInfo *		7022008	0					
ANR	7022023	Identifier	sn_info		7022008	1					
ANR	7022024	IdentifierDecl	* sn_tab = NULL		7022008	1					
ANR	7022025	IdentifierDeclType	QEMUSnapshotInfo *		7022008	0					
ANR	7022026	Identifier	sn_tab		7022008	1					
ANR	7022027	AssignmentExpression	* sn_tab = NULL		7022008	2		=			
ANR	7022028	Identifier	NULL		7022008	0					
ANR	7022029	Identifier	NULL		7022008	1					
ANR	7022030	IdentifierDeclStatement	"int i , snap_count ;"	11:4:202:219	7022008	2	True				
ANR	7022031	IdentifierDecl	i		7022008	0					
ANR	7022032	IdentifierDeclType	int		7022008	0					
ANR	7022033	Identifier	i		7022008	1					
ANR	7022034	IdentifierDecl	snap_count		7022008	1					
ANR	7022035	IdentifierDeclType	int		7022008	0					
ANR	7022036	Identifier	snap_count		7022008	1					
ANR	7022037	IdentifierDeclStatement	rbd_snap_info_t * snaps ;	13:4:226:248	7022008	3	True				
ANR	7022038	IdentifierDecl	* snaps		7022008	0					
ANR	7022039	IdentifierDeclType	rbd_snap_info_t *		7022008	0					
ANR	7022040	Identifier	snaps		7022008	1					
ANR	7022041	IdentifierDeclStatement	int max_snaps = RBD_MAX_SNAPS ;	15:4:255:284	7022008	4	True				
ANR	7022042	IdentifierDecl	max_snaps = RBD_MAX_SNAPS		7022008	0					
ANR	7022043	IdentifierDeclType	int		7022008	0					
ANR	7022044	Identifier	max_snaps		7022008	1					
ANR	7022045	AssignmentExpression	max_snaps = RBD_MAX_SNAPS		7022008	2		=			
ANR	7022046	Identifier	RBD_MAX_SNAPS		7022008	0					
ANR	7022047	Identifier	RBD_MAX_SNAPS		7022008	1					
ANR	7022048	DoStatement	do		7022008	5					
ANR	7022049	CompoundStatement		15:7:183:183	7022008	0					
ANR	7022050	ExpressionStatement	snaps = g_malloc ( sizeof ( * snaps ) * max_snaps )	21:8:307:351	7022008	0	True				
ANR	7022051	AssignmentExpression	snaps = g_malloc ( sizeof ( * snaps ) * max_snaps )		7022008	0		=			
ANR	7022052	Identifier	snaps		7022008	0					
ANR	7022053	CallExpression	g_malloc ( sizeof ( * snaps ) * max_snaps )		7022008	1					
ANR	7022054	Callee	g_malloc		7022008	0					
ANR	7022055	Identifier	g_malloc		7022008	0					
ANR	7022056	ArgumentList	sizeof ( * snaps ) * max_snaps		7022008	1					
ANR	7022057	Argument	sizeof ( * snaps ) * max_snaps		7022008	0					
ANR	7022058	MultiplicativeExpression	sizeof ( * snaps ) * max_snaps		7022008	0		*			
ANR	7022059	SizeofExpression	sizeof ( * snaps )		7022008	0					
ANR	7022060	Sizeof	sizeof		7022008	0					
ANR	7022061	UnaryOperationExpression	* snaps		7022008	1					
ANR	7022062	UnaryOperator	*		7022008	0					
ANR	7022063	Identifier	snaps		7022008	1					
ANR	7022064	Identifier	max_snaps		7022008	1					
ANR	7022065	ExpressionStatement	"snap_count = rbd_snap_list ( s -> image , snaps , & max_snaps )"	23:8:362:417	7022008	1	True				
ANR	7022066	AssignmentExpression	"snap_count = rbd_snap_list ( s -> image , snaps , & max_snaps )"		7022008	0		=			
ANR	7022067	Identifier	snap_count		7022008	0					
ANR	7022068	CallExpression	"rbd_snap_list ( s -> image , snaps , & max_snaps )"		7022008	1					
ANR	7022069	Callee	rbd_snap_list		7022008	0					
ANR	7022070	Identifier	rbd_snap_list		7022008	0					
ANR	7022071	ArgumentList	s -> image		7022008	1					
ANR	7022072	Argument	s -> image		7022008	0					
ANR	7022073	PtrMemberAccess	s -> image		7022008	0					
ANR	7022074	Identifier	s		7022008	0					
ANR	7022075	Identifier	image		7022008	1					
ANR	7022076	Argument	snaps		7022008	1					
ANR	7022077	Identifier	snaps		7022008	0					
ANR	7022078	Argument	& max_snaps		7022008	2					
ANR	7022079	UnaryOperationExpression	& max_snaps		7022008	0					
ANR	7022080	UnaryOperator	&		7022008	0					
ANR	7022081	Identifier	max_snaps		7022008	1					
ANR	7022082	IfStatement	if ( snap_count < 0 )		7022008	2					
ANR	7022083	Condition	snap_count < 0	25:12:432:445	7022008	0	True				
ANR	7022084	RelationalExpression	snap_count < 0		7022008	0		<			
ANR	7022085	Identifier	snap_count		7022008	0					
ANR	7022086	PrimaryExpression	0		7022008	1					
ANR	7022087	CompoundStatement		21:28:335:335	7022008	1					
ANR	7022088	ExpressionStatement	g_free ( snaps )	27:12:463:476	7022008	0	True				
ANR	7022089	CallExpression	g_free ( snaps )		7022008	0					
ANR	7022090	Callee	g_free		7022008	0					
ANR	7022091	Identifier	g_free		7022008	0					
