command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	7045952	File	/home/p4ultr4n/workplace/ReVeal/raw_code/qemu_savevm_state_iterate_1.c								
ANR	7045953	Function	qemu_savevm_state_iterate	1:0:0:1195							
ANR	7045954	FunctionDef	qemu_savevm_state_iterate (QEMUFile * f)		7045953	0					
ANR	7045955	CompoundStatement		3:0:44:1195	7045953	0					
ANR	7045956	IdentifierDeclStatement	SaveStateEntry * se ;	5:4:51:69	7045953	0	True				
ANR	7045957	IdentifierDecl	* se		7045953	0					
ANR	7045958	IdentifierDeclType	SaveStateEntry *		7045953	0					
ANR	7045959	Identifier	se		7045953	1					
ANR	7045960	IdentifierDeclStatement	int ret = 1 ;	7:4:76:87	7045953	1	True				
ANR	7045961	IdentifierDecl	ret = 1		7045953	0					
ANR	7045962	IdentifierDeclType	int		7045953	0					
ANR	7045963	Identifier	ret		7045953	1					
ANR	7045964	AssignmentExpression	ret = 1		7045953	2		=			
ANR	7045965	Identifier	ret		7045953	0					
ANR	7045966	PrimaryExpression	1		7045953	1					
ANR	7045967	ExpressionStatement	trace_savevm_state_iterate ( )	11:4:96:124	7045953	2	True				
ANR	7045968	CallExpression	trace_savevm_state_iterate ( )		7045953	0					
ANR	7045969	Callee	trace_savevm_state_iterate		7045953	0					
ANR	7045970	Identifier	trace_savevm_state_iterate		7045953	0					
ANR	7045971	ArgumentList			7045953	1					
ANR	7045972	Statement	QTAILQ_FOREACH	13:4:131:144	7045953	3	True				
ANR	7045973	Statement	(	13:18:145:145	7045953	4	True				
ANR	7045974	Statement	se	13:19:146:147	7045953	5	True				
ANR	7045975	Statement	","	13:21:148:148	7045953	6	True				
ANR	7045976	Statement	&	13:23:150:150	7045953	7	True				
ANR	7045977	Statement	savevm_state	13:24:151:162	7045953	8	True				
ANR	7045978	Statement	.	13:36:163:163	7045953	9	True				
ANR	7045979	Statement	handlers	13:37:164:171	7045953	10	True				
ANR	7045980	Statement	","	13:45:172:172	7045953	11	True				
ANR	7045981	Statement	entry	13:47:174:178	7045953	12	True				
ANR	7045982	Statement	)	13:52:179:179	7045953	13	True				
ANR	7045983	CompoundStatement		11:54:136:136	7045953	14					
ANR	7045984	IfStatement	if ( ! se -> ops || ! se -> ops -> save_live_iterate )		7045953	0					
ANR	7045985	Condition	! se -> ops || ! se -> ops -> save_live_iterate	15:12:196:234	7045953	0	True				
ANR	7045986	OrExpression	! se -> ops || ! se -> ops -> save_live_iterate		7045953	0		||			
ANR	7045987	UnaryOperationExpression	! se -> ops		7045953	0					
ANR	7045988	UnaryOperator	!		7045953	0					
