command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	7055265	File	/home/p4ultr4n/workplace/ReVeal/raw_code/qemu_suspend_requested_0.c								
ANR	7055266	Function	qemu_suspend_requested	1:0:0:119							
ANR	7055267	FunctionDef	qemu_suspend_requested ()		7055266	0					
ANR	7055268	CompoundStatement		3:0:41:119	7055266	0					
ANR	7055269	IdentifierDeclStatement	int r = suspend_requested ;	5:4:48:73	7055266	0	True				
ANR	7055270	IdentifierDecl	r = suspend_requested		7055266	0					
ANR	7055271	IdentifierDeclType	int		7055266	0					
ANR	7055272	Identifier	r		7055266	1					
ANR	7055273	AssignmentExpression	r = suspend_requested		7055266	2		=			
ANR	7055274	Identifier	suspend_requested		7055266	0					
ANR	7055275	Identifier	suspend_requested		7055266	1					
ANR	7055276	ExpressionStatement	suspend_requested = 0	7:4:80:101	7055266	1	True				
ANR	7055277	AssignmentExpression	suspend_requested = 0		7055266	0		=			
ANR	7055278	Identifier	suspend_requested		7055266	0					
ANR	7055279	PrimaryExpression	0		7055266	1					
ANR	7055280	ReturnStatement	return r ;	9:4:108:116	7055266	2	True				
ANR	7055281	Identifier	r		7055266	0					
ANR	7055282	ReturnType	static int		7055266	1					
ANR	7055283	Identifier	qemu_suspend_requested		7055266	2					
ANR	7055284	ParameterList			7055266	3					
ANR	7055285	CFGEntryNode	ENTRY		7055266		True				
ANR	7055286	CFGExitNode	EXIT		7055266		True				
ANR	7055287	Symbol	r		7055266						
ANR	7055288	Symbol	suspend_requested		7055266						
