start	end	type	var
7194734	7194735	IS_AST_PARENT	
7194734	7194736	IS_AST_PARENT	
7194733	7194734	IS_AST_PARENT	
7194732	7194733	IS_AST_PARENT	
7194738	7194739	IS_AST_PARENT	
7194738	7194740	IS_AST_PARENT	
7194737	7194738	IS_AST_PARENT	
7194732	7194737	IS_AST_PARENT	
7194745	7194746	IS_AST_PARENT	
7194745	7194747	IS_AST_PARENT	
7194744	7194745	IS_AST_PARENT	
7194744	7194748	IS_AST_PARENT	
7194743	7194744	IS_AST_PARENT	
7194750	7194751	IS_AST_PARENT	
7194750	7194752	IS_AST_PARENT	
7194749	7194750	IS_AST_PARENT	
7194749	7194753	IS_AST_PARENT	
7194743	7194749	IS_AST_PARENT	
7194742	7194743	IS_AST_PARENT	
7194741	7194742	IS_AST_PARENT	
7194754	7194755	IS_AST_PARENT	
7194741	7194754	IS_AST_PARENT	
7194732	7194741	IS_AST_PARENT	
7194758	7194759	IS_AST_PARENT	
7194757	7194758	IS_AST_PARENT	
7194762	7194763	IS_AST_PARENT	
7194765	7194766	IS_AST_PARENT	
7194765	7194767	IS_AST_PARENT	
7194764	7194765	IS_AST_PARENT	
7194764	7194768	IS_AST_PARENT	
7194762	7194764	IS_AST_PARENT	
7194761	7194762	IS_AST_PARENT	
7194760	7194761	IS_AST_PARENT	
7194771	7194772	IS_AST_PARENT	
7194771	7194773	IS_AST_PARENT	
7194770	7194771	IS_AST_PARENT	
7194770	7194774	IS_AST_PARENT	
7194769	7194770	IS_AST_PARENT	
7194760	7194769	IS_AST_PARENT	
7194777	7194778	IS_AST_PARENT	
7194777	7194779	IS_AST_PARENT	
7194776	7194777	IS_AST_PARENT	
7194776	7194780	IS_AST_PARENT	
7194775	7194776	IS_AST_PARENT	
7194760	7194775	IS_AST_PARENT	
7194757	7194760	IS_AST_PARENT	
7194756	7194757	IS_AST_PARENT	
7194732	7194756	IS_AST_PARENT	
7194782	7194783	IS_AST_PARENT	
7194784	7194785	IS_AST_PARENT	
7194787	7194788	IS_AST_PARENT	
7194786	7194787	IS_AST_PARENT	
7194791	7194792	IS_AST_PARENT	
7194793	7194794	IS_AST_PARENT	
7194793	7194795	IS_AST_PARENT	
7194791	7194793	IS_AST_PARENT	
7194790	7194791	IS_AST_PARENT	
7194789	7194790	IS_AST_PARENT	
7194786	7194789	IS_AST_PARENT	
7194784	7194786	IS_AST_PARENT	
7194782	7194784	IS_AST_PARENT	
7194781	7194782	IS_AST_PARENT	
7194732	7194781	IS_AST_PARENT	
7194798	7194799	IS_AST_PARENT	
7194798	7194800	IS_AST_PARENT	
7194797	7194798	IS_AST_PARENT	
7194796	7194797	IS_AST_PARENT	
7194802	7194803	IS_AST_PARENT	
7194805	7194806	IS_AST_PARENT	
7194805	7194807	IS_AST_PARENT	
7194804	7194805	IS_AST_PARENT	
7194804	7194808	IS_AST_PARENT	
7194802	7194804	IS_AST_PARENT	
7194801	7194802	IS_AST_PARENT	
7194796	7194801	IS_AST_PARENT	
7194809	7194810	IS_AST_PARENT	
7194809	7194811	IS_AST_PARENT	
7194796	7194809	IS_AST_PARENT	
7194814	7194815	IS_AST_PARENT	
7194814	7194816	IS_AST_PARENT	
7194813	7194814	IS_AST_PARENT	
7194812	7194813	IS_AST_PARENT	
7194818	7194819	IS_AST_PARENT	
7194818	7194820	IS_AST_PARENT	
7194817	7194818	IS_AST_PARENT	
7194812	7194817	IS_AST_PARENT	
7194822	7194823	IS_AST_PARENT	
7194822	7194824	IS_AST_PARENT	
7194821	7194822	IS_AST_PARENT	
7194812	7194821	IS_AST_PARENT	
7194830	7194831	IS_AST_PARENT	
7194830	7194832	IS_AST_PARENT	
7194829	7194830	IS_AST_PARENT	
7194829	7194833	IS_AST_PARENT	
7194828	7194829	IS_AST_PARENT	
7194828	7194834	IS_AST_PARENT	
7194827	7194828	IS_AST_PARENT	
7194827	7194835	IS_AST_PARENT	
7194826	7194827	IS_AST_PARENT	
7194825	7194826	IS_AST_PARENT	
7194836	7194837	IS_AST_PARENT	
7194825	7194836	IS_AST_PARENT	
7194812	7194825	IS_AST_PARENT	
7194839	7194840	IS_AST_PARENT	
7194842	7194843	IS_AST_PARENT	
7194841	7194842	IS_AST_PARENT	
7194845	7194846	IS_AST_PARENT	
7194844	7194845	IS_AST_PARENT	
7194850	7194851	IS_AST_PARENT	
7194850	7194852	IS_AST_PARENT	
7194849	7194850	IS_AST_PARENT	
7194849	7194853	IS_AST_PARENT	
7194848	7194849	IS_AST_PARENT	
7194848	7194854	IS_AST_PARENT	
7194847	7194848	IS_AST_PARENT	
7194844	7194847	IS_AST_PARENT	
7194855	7194856	IS_AST_PARENT	
7194844	7194855	IS_AST_PARENT	
7194841	7194844	IS_AST_PARENT	
7194839	7194841	IS_AST_PARENT	
7194838	7194839	IS_AST_PARENT	
7194812	7194838	IS_AST_PARENT	
7194859	7194860	IS_AST_PARENT	
7194858	7194859	IS_AST_PARENT	
7194862	7194863	IS_AST_PARENT	
7194861	7194862	IS_AST_PARENT	
7194858	7194861	IS_AST_PARENT	
7194857	7194858	IS_AST_PARENT	
7194812	7194857	IS_AST_PARENT	
7194866	7194867	IS_AST_PARENT	
7194865	7194866	IS_AST_PARENT	
7194871	7194872	IS_AST_PARENT	
7194871	7194873	IS_AST_PARENT	
7194870	7194871	IS_AST_PARENT	
7194870	7194874	IS_AST_PARENT	
7194869	7194870	IS_AST_PARENT	
7194868	7194869	IS_AST_PARENT	
7194865	7194868	IS_AST_PARENT	
7194864	7194865	IS_AST_PARENT	
7194812	7194864	IS_AST_PARENT	
7194876	7194877	IS_AST_PARENT	
7194878	7194879	IS_AST_PARENT	
7194881	7194882	IS_AST_PARENT	
7194880	7194881	IS_AST_PARENT	
7194884	7194885	IS_AST_PARENT	
7194883	7194884	IS_AST_PARENT	
7194889	7194890	IS_AST_PARENT	
7194889	7194891	IS_AST_PARENT	
7194888	7194889	IS_AST_PARENT	
7194888	7194892	IS_AST_PARENT	
7194887	7194888	IS_AST_PARENT	
7194887	7194893	IS_AST_PARENT	
7194886	7194887	IS_AST_PARENT	
7194883	7194886	IS_AST_PARENT	
7194894	7194895	IS_AST_PARENT	
7194883	7194894	IS_AST_PARENT	
7194880	7194883	IS_AST_PARENT	
7194878	7194880	IS_AST_PARENT	
7194876	7194878	IS_AST_PARENT	
7194875	7194876	IS_AST_PARENT	
