start	end	type	var
152187	152188	IS_AST_PARENT	
152187	152189	IS_AST_PARENT	
152190	152191	IS_AST_PARENT	
152190	152192	IS_AST_PARENT	
152187	152190	IS_AST_PARENT	
152186	152187	IS_AST_PARENT	
152185	152186	IS_AST_PARENT	
152194	152195	IS_AST_PARENT	
152194	152196	IS_AST_PARENT	
152193	152194	IS_AST_PARENT	
152185	152193	IS_AST_PARENT	
152198	152199	IS_AST_PARENT	
152198	152200	IS_AST_PARENT	
152197	152198	IS_AST_PARENT	
152185	152197	IS_AST_PARENT	
152202	152203	IS_AST_PARENT	
152202	152204	IS_AST_PARENT	
152205	152206	IS_AST_PARENT	
152207	152208	IS_AST_PARENT	
152207	152209	IS_AST_PARENT	
152205	152207	IS_AST_PARENT	
152202	152205	IS_AST_PARENT	
152201	152202	IS_AST_PARENT	
152185	152201	IS_AST_PARENT	
152211	152212	IS_AST_PARENT	
152213	152214	IS_AST_PARENT	
152213	152215	IS_AST_PARENT	
152211	152213	IS_AST_PARENT	
152210	152211	IS_AST_PARENT	
152185	152210	IS_AST_PARENT	
152185	152216	IS_AST_PARENT	
152185	152217	IS_AST_PARENT	
152185	152218	IS_AST_PARENT	
152185	152219	IS_AST_PARENT	
152185	152220	IS_AST_PARENT	
152185	152221	IS_AST_PARENT	
152185	152222	IS_AST_PARENT	
152185	152223	IS_AST_PARENT	
152185	152224	IS_AST_PARENT	
152185	152225	IS_AST_PARENT	
152185	152226	IS_AST_PARENT	
152185	152227	IS_AST_PARENT	
152185	152228	IS_AST_PARENT	
152185	152229	IS_AST_PARENT	
152185	152230	IS_AST_PARENT	
152185	152231	IS_AST_PARENT	
152185	152232	IS_AST_PARENT	
152185	152233	IS_AST_PARENT	
152185	152234	IS_AST_PARENT	
152185	152235	IS_AST_PARENT	
152185	152236	IS_AST_PARENT	
152185	152237	IS_AST_PARENT	
152185	152238	IS_AST_PARENT	
152185	152239	IS_AST_PARENT	
152185	152240	IS_AST_PARENT	
152185	152241	IS_AST_PARENT	
152185	152242	IS_AST_PARENT	
152185	152243	IS_AST_PARENT	
152185	152244	IS_AST_PARENT	
152185	152245	IS_AST_PARENT	
152185	152246	IS_AST_PARENT	
152185	152247	IS_AST_PARENT	
152249	152250	IS_AST_PARENT	
152251	152252	IS_AST_PARENT	
152251	152253	IS_AST_PARENT	
152249	152251	IS_AST_PARENT	
152248	152249	IS_AST_PARENT	
152185	152248	IS_AST_PARENT	
152256	152257	IS_AST_PARENT	
152256	152258	IS_AST_PARENT	
152255	152256	IS_AST_PARENT	
152254	152255	IS_AST_PARENT	
152259	152260	IS_AST_PARENT	
152259	152261	IS_AST_PARENT	
152259	152262	IS_AST_PARENT	
152259	152263	IS_AST_PARENT	
152259	152264	IS_AST_PARENT	
152259	152265	IS_AST_PARENT	
152259	152266	IS_AST_PARENT	
152259	152267	IS_AST_PARENT	
152259	152268	IS_AST_PARENT	
152259	152269	IS_AST_PARENT	
152259	152270	IS_AST_PARENT	
152259	152271	IS_AST_PARENT	
152259	152272	IS_AST_PARENT	
152259	152273	IS_AST_PARENT	
152259	152274	IS_AST_PARENT	
152259	152275	IS_AST_PARENT	
152259	152276	IS_AST_PARENT	
152259	152277	IS_AST_PARENT	
152259	152278	IS_AST_PARENT	
152259	152279	IS_AST_PARENT	
152259	152280	IS_AST_PARENT	
152259	152281	IS_AST_PARENT	
152259	152282	IS_AST_PARENT	
152259	152283	IS_AST_PARENT	
152259	152284	IS_AST_PARENT	
152259	152285	IS_AST_PARENT	
152259	152286	IS_AST_PARENT	
152259	152287	IS_AST_PARENT	
152259	152288	IS_AST_PARENT	
152259	152289	IS_AST_PARENT	
152259	152290	IS_AST_PARENT	
152259	152291	IS_AST_PARENT	
152259	152292	IS_AST_PARENT	
152259	152293	IS_AST_PARENT	
152259	152294	IS_AST_PARENT	
152259	152295	IS_AST_PARENT	
152259	152296	IS_AST_PARENT	
152259	152297	IS_AST_PARENT	
152259	152298	IS_AST_PARENT	
152259	152299	IS_AST_PARENT	
152259	152300	IS_AST_PARENT	
152259	152301	IS_AST_PARENT	
152259	152302	IS_AST_PARENT	
152259	152303	IS_AST_PARENT	
152259	152304	IS_AST_PARENT	
152259	152305	IS_AST_PARENT	
152259	152306	IS_AST_PARENT	
152259	152307	IS_AST_PARENT	
152259	152308	IS_AST_PARENT	
