command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	605971	File	/home/p4ultr4n/workplace/ReVeal/raw_code/arm_timer_read_0.c								
ANR	605972	Function	arm_timer_read	1:0:0:671							
ANR	605973	FunctionDef	"arm_timer_read (void * opaque , target_phys_addr_t offset)"		605972	0					
ANR	605974	CompoundStatement		3:0:73:671	605972	0					
ANR	605975	IdentifierDeclStatement	arm_timer_state * s = ( arm_timer_state * ) opaque ;	5:4:80:126	605972	0	True				
ANR	605976	IdentifierDecl	* s = ( arm_timer_state * ) opaque		605972	0					
ANR	605977	IdentifierDeclType	arm_timer_state *		605972	0					
ANR	605978	Identifier	s		605972	1					
ANR	605979	AssignmentExpression	* s = ( arm_timer_state * ) opaque		605972	2		=			
ANR	605980	Identifier	s		605972	0					
ANR	605981	CastExpression	( arm_timer_state * ) opaque		605972	1					
ANR	605982	CastTarget	arm_timer_state *		605972	0					
ANR	605983	Identifier	opaque		605972	1					
ANR	605984	SwitchStatement	switch ( offset >> 2 )		605972	1					
ANR	605985	Condition	offset >> 2	9:12:143:153	605972	0	True				
ANR	605986	ShiftExpression	offset >> 2		605972	0		>>			
ANR	605987	Identifier	offset		605972	0					
ANR	605988	PrimaryExpression	2		605972	1					
ANR	605989	CompoundStatement		7:25:82:82	605972	1					
ANR	605990	Label	case 0 :	11:4:163:169	605972	0	True				
ANR	605991	Label	case 6 :	13:4:192:198	605972	1	True				
ANR	605992	ReturnStatement	return s -> limit ;	15:8:227:242	605972	2	True				
ANR	605993	PtrMemberAccess	s -> limit		605972	0					
ANR	605994	Identifier	s		605972	0					
ANR	605995	Identifier	limit		605972	1					
ANR	605996	Label	case 1 :	17:4:249:255	605972	3	True				
ANR	605997	ReturnStatement	return ptimer_get_count ( s -> timer ) ;	19:8:283:316	605972	4	True				
ANR	605998	CallExpression	ptimer_get_count ( s -> timer )		605972	0					
ANR	605999	Callee	ptimer_get_count		605972	0					
ANR	606000	Identifier	ptimer_get_count		605972	0					
ANR	606001	ArgumentList	s -> timer		605972	1					
ANR	606002	Argument	s -> timer		605972	0					
ANR	606003	PtrMemberAccess	s -> timer		605972	0					
ANR	606004	Identifier	s		605972	0					
ANR	606005	Identifier	timer		605972	1					
ANR	606006	Label	case 2 :	21:4:323:329	605972	5	True				
ANR	606007	ReturnStatement	return s -> control ;	23:8:359:376	605972	6	True				
ANR	606008	PtrMemberAccess	s -> control		605972	0					
ANR	606009	Identifier	s		605972	0					
ANR	606010	Identifier	control		605972	1					
ANR	606011	Label	case 4 :	25:4:383:389	605972	7	True				
ANR	606012	ReturnStatement	return s -> int_level ;	27:8:415:434	605972	8	True				
ANR	606013	PtrMemberAccess	s -> int_level		605972	0					
ANR	606014	Identifier	s		605972	0					
ANR	606015	Identifier	int_level		605972	1					
ANR	606016	Label	case 5 :	29:4:441:447	605972	9	True				
ANR	606017	IfStatement	if ( ( s -> control & TIMER_CTRL_IE ) == 0 )		605972	10					
ANR	606018	Condition	( s -> control & TIMER_CTRL_IE ) == 0	31:12:477:509	605972	0	True				
ANR	606019	EqualityExpression	( s -> control & TIMER_CTRL_IE ) == 0		605972	0		==			
ANR	606020	BitAndExpression	s -> control & TIMER_CTRL_IE		605972	0		&			
ANR	606021	PtrMemberAccess	s -> control		605972	0					
ANR	606022	Identifier	s		605972	0					
ANR	606023	Identifier	control		605972	1					
ANR	606024	Identifier	TIMER_CTRL_IE		605972	1					
ANR	606025	PrimaryExpression	0		605972	1					
ANR	606026	ReturnStatement	return 0 ;	33:12:525:533	605972	1	True				
ANR	606027	PrimaryExpression	0		605972	0					
ANR	606028	ReturnStatement	return s -> int_level ;	35:8:544:563	605972	11	True				
ANR	606029	PtrMemberAccess	s -> int_level		605972	0					
ANR	606030	Identifier	s		605972	0					
ANR	606031	Identifier	int_level		605972	1					
ANR	606032	Label	default :	37:4:570:577	605972	12	True				
ANR	606033	Identifier	default		605972	0					
ANR	606034	ExpressionStatement	"hw_error ( ""%s: Bad offset %x\\n"" , __func__ , ( int ) offset )"	39:8:588:642	605972	13	True				
ANR	606035	CallExpression	"hw_error ( ""%s: Bad offset %x\\n"" , __func__ , ( int ) offset )"		605972	0					
ANR	606036	Callee	hw_error		605972	0					
ANR	606037	Identifier	hw_error		605972	0					
ANR	606038	ArgumentList	"""%s: Bad offset %x\\n"""		605972	1					
ANR	606039	Argument	"""%s: Bad offset %x\\n"""		605972	0					
ANR	606040	PrimaryExpression	"""%s: Bad offset %x\\n"""		605972	0					
ANR	606041	Argument	__func__		605972	1					
ANR	606042	Identifier	__func__		605972	0					
ANR	606043	Argument	( int ) offset		605972	2					
ANR	606044	CastExpression	( int ) offset		605972	0					
ANR	606045	CastTarget	int		605972	0					
ANR	606046	Identifier	offset		605972	1					
ANR	606047	ReturnStatement	return 0 ;	41:8:653:661	605972	14	True				
ANR	606048	PrimaryExpression	0		605972	0					
ANR	606049	ReturnType	static uint32_t		605972	1					
ANR	606050	Identifier	arm_timer_read		605972	2					
ANR	606051	ParameterList	"void * opaque , target_phys_addr_t offset"		605972	3					
ANR	606052	Parameter	void * opaque	1:31:31:42	605972	0	True				
ANR	606053	ParameterType	void *		605972	0					
ANR	606054	Identifier	opaque		605972	1					
ANR	606055	Parameter	target_phys_addr_t offset	1:45:45:69	605972	1	True				
ANR	606056	ParameterType	target_phys_addr_t		605972	0					
ANR	606057	Identifier	offset		605972	1					
ANR	606058	CFGEntryNode	ENTRY		605972		True				
ANR	606059	CFGExitNode	EXIT		605972		True				
ANR	606060	Symbol	TIMER_CTRL_IE		605972						
ANR	606061	Symbol	s -> timer		605972						
ANR	606062	Symbol	opaque		605972						
ANR	606063	Symbol	s		605972						
ANR	606064	Symbol	s -> int_level		605972						
ANR	606065	Symbol	offset		605972						
ANR	606066	Symbol	__func__		605972						
ANR	606067	Symbol	s -> control		605972						
ANR	606068	Symbol	s -> limit		605972						
ANR	606069	Symbol	* s		605972						
ANR	606070	Symbol	ptimer_get_count		605972						
