start	end	type	var
848673	848674	IS_AST_PARENT	
848672	848673	IS_AST_PARENT	
848677	848678	IS_AST_PARENT	
848679	848680	IS_AST_PARENT	
848679	848681	IS_AST_PARENT	
848677	848679	IS_AST_PARENT	
848676	848677	IS_AST_PARENT	
848675	848676	IS_AST_PARENT	
848683	848684	IS_AST_PARENT	
848685	848686	IS_AST_PARENT	
848685	848687	IS_AST_PARENT	
848683	848685	IS_AST_PARENT	
848682	848683	IS_AST_PARENT	
848675	848682	IS_AST_PARENT	
848672	848675	IS_AST_PARENT	
848671	848672	IS_AST_PARENT	
848670	848671	IS_AST_PARENT	
848690	848691	IS_AST_PARENT	
848689	848690	IS_AST_PARENT	
848694	848695	IS_AST_PARENT	
848696	848697	IS_AST_PARENT	
848696	848698	IS_AST_PARENT	
848694	848696	IS_AST_PARENT	
848693	848694	IS_AST_PARENT	
848692	848693	IS_AST_PARENT	
848689	848692	IS_AST_PARENT	
848688	848689	IS_AST_PARENT	
848670	848688	IS_AST_PARENT	
848669	848670	IS_AST_PARENT	
848669	848699	IS_AST_PARENT	
848669	848700	IS_AST_PARENT	
848702	848703	IS_AST_PARENT	
848702	848704	IS_AST_PARENT	
848701	848702	IS_AST_PARENT	
848705	848706	IS_AST_PARENT	
848705	848707	IS_AST_PARENT	
848701	848705	IS_AST_PARENT	
848669	848701	IS_AST_PARENT	
848708	848702	FLOWS_TO	
848702	848705	FLOWS_TO	
848705	848671	FLOWS_TO	
848671	848688	FLOWS_TO	
848688	848709	FLOWS_TO	
848702	848710	DEF	
848671	848710	USE	
848676	848710	USE	
848682	848710	USE	
848685	848710	USE	
848679	848710	USE	
848688	848710	USE	
848693	848710	USE	
848696	848710	USE	
848671	848711	USE	
848676	848711	USE	
848705	848712	DEF	
848671	848713	USE	
848682	848713	USE	
848688	848713	USE	
848693	848713	USE	
848702	848671	REACHES	c
848702	848688	REACHES	c
848708	848702	CONTROLS	
848708	848705	CONTROLS	
848708	848671	CONTROLS	
848708	848688	CONTROLS	
848708	848708	DOM	
848702	848705	DOM	
848708	848702	DOM	
848705	848671	DOM	
848671	848688	DOM	
848688	848709	DOM	
848702	848708	POST_DOM	
848671	848705	POST_DOM	
848688	848671	POST_DOM	
848705	848702	POST_DOM	
848709	848688	POST_DOM	
848709	848709	POST_DOM	
848668	848669	IS_FUNCTION_OF_AST	
848668	848708	IS_FUNCTION_OF_CFG	
848667	848668	IS_FILE_OF	
