command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	857076	File	/home/p4ultr4n/workplace/ReVeal/raw_code/avfilter_graph_send_command_1.c								
ANR	857077	Function	avfilter_graph_send_command	1:0:0:999							
ANR	857078	FunctionDef	"avfilter_graph_send_command (AVFilterGraph * graph , const char * target , const char * cmd , const char * arg , char * res , int res_len , int flags)"		857077	0					
ANR	857079	CompoundStatement		3:0:144:999	857077	0					
ANR	857080	IdentifierDeclStatement	"int i , r = AVERROR ( ENOSYS ) ;"	5:4:151:177	857077	0	True				
ANR	857081	IdentifierDecl	i		857077	0					
ANR	857082	IdentifierDeclType	int		857077	0					
ANR	857083	Identifier	i		857077	1					
ANR	857084	IdentifierDecl	r = AVERROR ( ENOSYS )		857077	1					
ANR	857085	IdentifierDeclType	int		857077	0					
ANR	857086	Identifier	r		857077	1					
ANR	857087	AssignmentExpression	r = AVERROR ( ENOSYS )		857077	2		=			
ANR	857088	Identifier	r		857077	0					
ANR	857089	CallExpression	AVERROR ( ENOSYS )		857077	1					
ANR	857090	Callee	AVERROR		857077	0					
ANR	857091	Identifier	AVERROR		857077	0					
ANR	857092	ArgumentList	ENOSYS		857077	1					
ANR	857093	Argument	ENOSYS		857077	0					
ANR	857094	Identifier	ENOSYS		857077	0					
ANR	857095	IfStatement	if ( ! graph )		857077	1					
ANR	857096	Condition	! graph	9:7:189:194	857077	0	True				
ANR	857097	UnaryOperationExpression	! graph		857077	0					
ANR	857098	UnaryOperator	!		857077	0					
ANR	857099	Identifier	graph		857077	1					
ANR	857100	ReturnStatement	return r ;	11:8:206:214	857077	1	True				
ANR	857101	Identifier	r		857077	0					
ANR	857102	IfStatement	if ( ( flags & AVFILTER_CMD_FLAG_ONE ) && ! ( flags & AVFILTER_CMD_FLAG_FAST ) )		857077	2					
ANR	857103	Condition	( flags & AVFILTER_CMD_FLAG_ONE ) && ! ( flags & AVFILTER_CMD_FLAG_FAST )	15:7:226:293	857077	0	True				
ANR	857104	AndExpression	( flags & AVFILTER_CMD_FLAG_ONE ) && ! ( flags & AVFILTER_CMD_FLAG_FAST )		857077	0		&&			
ANR	857105	BitAndExpression	flags & AVFILTER_CMD_FLAG_ONE		857077	0		&			
ANR	857106	Identifier	flags		857077	0					
ANR	857107	Identifier	AVFILTER_CMD_FLAG_ONE		857077	1					
ANR	857108	UnaryOperationExpression	! ( flags & AVFILTER_CMD_FLAG_FAST )		857077	1					
ANR	857109	UnaryOperator	!		857077	0					
ANR	857110	BitAndExpression	flags & AVFILTER_CMD_FLAG_FAST		857077	1		&			
ANR	857111	Identifier	flags		857077	0					
ANR	857112	Identifier	AVFILTER_CMD_FLAG_FAST		857077	1					
ANR	857113	CompoundStatement		13:77:151:151	857077	1					
ANR	857114	ExpressionStatement	"r = avfilter_graph_send_command ( graph , target , cmd , arg , res , res_len , flags | AVFILTER_CMD_FLAG_FAST )"	17:8:307:407	857077	0	True				
ANR	857115	AssignmentExpression	"r = avfilter_graph_send_command ( graph , target , cmd , arg , res , res_len , flags | AVFILTER_CMD_FLAG_FAST )"		857077	0		=			
ANR	857116	Identifier	r		857077	0					
ANR	857117	CallExpression	"avfilter_graph_send_command ( graph , target , cmd , arg , res , res_len , flags | AVFILTER_CMD_FLAG_FAST )"		857077	1					
ANR	857118	Callee	avfilter_graph_send_command		857077	0					
ANR	857119	Identifier	avfilter_graph_send_command		857077	0					
ANR	857120	ArgumentList	graph		857077	1					
ANR	857121	Argument	graph		857077	0					
ANR	857122	Identifier	graph		857077	0					
ANR	857123	Argument	target		857077	1					
ANR	857124	Identifier	target		857077	0					
ANR	857125	Argument	cmd		857077	2					
ANR	857126	Identifier	cmd		857077	0					
ANR	857127	Argument	arg		857077	3					
ANR	857128	Identifier	arg		857077	0					
ANR	857129	Argument	res		857077	4					
ANR	857130	Identifier	res		857077	0					
ANR	857131	Argument	res_len		857077	5					
ANR	857132	Identifier	res_len		857077	0					
ANR	857133	Argument	flags | AVFILTER_CMD_FLAG_FAST		857077	6					
ANR	857134	InclusiveOrExpression	flags | AVFILTER_CMD_FLAG_FAST		857077	0		|			
ANR	857135	Identifier	flags		857077	0					
ANR	857136	Identifier	AVFILTER_CMD_FLAG_FAST		857077	1					
ANR	857137	IfStatement	if ( r != AVERROR ( ENOSYS ) )		857077	1					
ANR	857138	Condition	r != AVERROR ( ENOSYS )	19:11:421:440	857077	0	True				
ANR	857139	EqualityExpression	r != AVERROR ( ENOSYS )		857077	0		!=			
ANR	857140	Identifier	r		857077	0					
ANR	857141	CallExpression	AVERROR ( ENOSYS )		857077	1					
ANR	857142	Callee	AVERROR		857077	0					
ANR	857143	Identifier	AVERROR		857077	0					
ANR	857144	ArgumentList	ENOSYS		857077	1					
ANR	857145	Argument	ENOSYS		857077	0					
ANR	857146	Identifier	ENOSYS		857077	0					
ANR	857147	ReturnStatement	return r ;	21:12:456:464	857077	1	True				
ANR	857148	Identifier	r		857077	0					
ANR	857149	IfStatement	if ( res_len && res )		857077	3					
ANR	857150	Condition	res_len && res	27:7:483:496	857077	0	True				
ANR	857151	AndExpression	res_len && res		857077	0		&&			
ANR	857152	Identifier	res_len		857077	0					
ANR	857153	Identifier	res		857077	1					
ANR	857154	ExpressionStatement	res [ 0 ] = 0	29:8:508:517	857077	1	True				
ANR	857155	AssignmentExpression	res [ 0 ] = 0		857077	0		=			
ANR	857156	ArrayIndexing	res [ 0 ]		857077	0					
ANR	857157	Identifier	res		857077	0					
ANR	857158	PrimaryExpression	0		857077	1					
ANR	857159	PrimaryExpression	0		857077	1					
ANR	857160	ForStatement	for ( i = 0 ; i < graph -> filter_count ; i ++ )		857077	4					
ANR	857161	ForInit	i = 0 ;	33:9:531:536	857077	0	True				
ANR	857162	AssignmentExpression	i = 0		857077	0		=			
ANR	857163	Identifier	i		857077	0					
ANR	857164	PrimaryExpression	0		857077	1					
ANR	857165	Condition	i < graph -> filter_count	33:16:538:560	857077	1	True				
ANR	857166	RelationalExpression	i < graph -> filter_count		857077	0		<			
ANR	857167	Identifier	i		857077	0					
ANR	857168	PtrMemberAccess	graph -> filter_count		857077	1					
ANR	857169	Identifier	graph		857077	0					
ANR	857170	Identifier	filter_count		857077	1					
ANR	857171	PostIncDecOperationExpression	i ++	33:41:563:565	857077	2	True				
ANR	857172	Identifier	i		857077	0					
ANR	857173	IncDec	++		857077	1					
ANR	857174	CompoundStatement		33:8:434:477	857077	3					
ANR	857175	IdentifierDeclStatement	AVFilterContext * filter = graph -> filters [ i ] ;	35:8:579:622	857077	0	True				
ANR	857176	IdentifierDecl	* filter = graph -> filters [ i ]		857077	0					
ANR	857177	IdentifierDeclType	AVFilterContext *		857077	0					
ANR	857178	Identifier	filter		857077	1					
ANR	857179	AssignmentExpression	* filter = graph -> filters [ i ]		857077	2		=			
ANR	857180	Identifier	filter		857077	0					
ANR	857181	ArrayIndexing	graph -> filters [ i ]		857077	1					
ANR	857182	PtrMemberAccess	graph -> filters		857077	0					
ANR	857183	Identifier	graph		857077	0					
ANR	857184	Identifier	filters		857077	1					
ANR	857185	Identifier	i		857077	1					
ANR	857186	IfStatement	"if ( ! strcmp ( target , ""all"" ) || ! strcmp ( target , filter -> name ) || ! strcmp ( target , filter -> filter -> name ) )"		857077	1					
ANR	857187	Condition	"! strcmp ( target , ""all"" ) || ! strcmp ( target , filter -> name ) || ! strcmp ( target , filter -> filter -> name )"	37:11:636:731	857077	0	True				
ANR	857188	OrExpression	"! strcmp ( target , ""all"" ) || ! strcmp ( target , filter -> name ) || ! strcmp ( target , filter -> filter -> name )"		857077	0		||			
ANR	857189	UnaryOperationExpression	"! strcmp ( target , ""all"" )"		857077	0					
ANR	857190	UnaryOperator	!		857077	0					
ANR	857191	CallExpression	"strcmp ( target , ""all"" )"		857077	1					
ANR	857192	Callee	strcmp		857077	0					
ANR	857193	Identifier	strcmp		857077	0					
ANR	857194	ArgumentList	target		857077	1					
ANR	857195	Argument	target		857077	0					
ANR	857196	Identifier	target		857077	0					
ANR	857197	Argument	"""all"""		857077	1					
ANR	857198	PrimaryExpression	"""all"""		857077	0					
ANR	857199	OrExpression	"! strcmp ( target , filter -> name ) || ! strcmp ( target , filter -> filter -> name )"		857077	1		||			
ANR	857200	UnaryOperationExpression	"! strcmp ( target , filter -> name )"		857077	0					
ANR	857201	UnaryOperator	!		857077	0					
ANR	857202	CallExpression	"strcmp ( target , filter -> name )"		857077	1					
ANR	857203	Callee	strcmp		857077	0					
ANR	857204	Identifier	strcmp		857077	0					
ANR	857205	ArgumentList	target		857077	1					
