start	end	type	var
894438	894439	IS_AST_PARENT	
894438	894440	IS_AST_PARENT	
894437	894438	IS_AST_PARENT	
894436	894437	IS_AST_PARENT	
894442	894443	IS_AST_PARENT	
894442	894444	IS_AST_PARENT	
894441	894442	IS_AST_PARENT	
894436	894441	IS_AST_PARENT	
894446	894447	IS_AST_PARENT	
894446	894448	IS_AST_PARENT	
894449	894450	IS_AST_PARENT	
894451	894452	IS_AST_PARENT	
894451	894453	IS_AST_PARENT	
894449	894451	IS_AST_PARENT	
894446	894449	IS_AST_PARENT	
894445	894446	IS_AST_PARENT	
894436	894445	IS_AST_PARENT	
894455	894456	IS_AST_PARENT	
894455	894457	IS_AST_PARENT	
894454	894455	IS_AST_PARENT	
894436	894454	IS_AST_PARENT	
894460	894461	IS_AST_PARENT	
894460	894462	IS_AST_PARENT	
894459	894460	IS_AST_PARENT	
894458	894459	IS_AST_PARENT	
894465	894466	IS_AST_PARENT	
894464	894465	IS_AST_PARENT	
894468	894469	IS_AST_PARENT	
894467	894468	IS_AST_PARENT	
894464	894467	IS_AST_PARENT	
894463	894464	IS_AST_PARENT	
894458	894463	IS_AST_PARENT	
894436	894458	IS_AST_PARENT	
894471	894472	IS_AST_PARENT	
894474	894475	IS_AST_PARENT	
894474	894476	IS_AST_PARENT	
894473	894474	IS_AST_PARENT	
894479	894480	IS_AST_PARENT	
894479	894481	IS_AST_PARENT	
894478	894479	IS_AST_PARENT	
894477	894478	IS_AST_PARENT	
894477	894482	IS_AST_PARENT	
894484	894485	IS_AST_PARENT	
894484	894486	IS_AST_PARENT	
894483	894484	IS_AST_PARENT	
894487	894488	IS_AST_PARENT	
894487	894489	IS_AST_PARENT	
894483	894487	IS_AST_PARENT	
894477	894483	IS_AST_PARENT	
894473	894477	IS_AST_PARENT	
894471	894473	IS_AST_PARENT	
894470	894471	IS_AST_PARENT	
894436	894470	IS_AST_PARENT	
894493	894494	IS_AST_PARENT	
894493	894495	IS_AST_PARENT	
894492	894493	IS_AST_PARENT	
894496	894497	IS_AST_PARENT	
894496	894498	IS_AST_PARENT	
894492	894496	IS_AST_PARENT	
894491	894492	IS_AST_PARENT	
894490	894491	IS_AST_PARENT	
894501	894502	IS_AST_PARENT	
894500	894501	IS_AST_PARENT	
894504	894505	IS_AST_PARENT	
894503	894504	IS_AST_PARENT	
894500	894503	IS_AST_PARENT	
894499	894500	IS_AST_PARENT	
894490	894499	IS_AST_PARENT	
894436	894490	IS_AST_PARENT	
894508	894509	IS_AST_PARENT	
894508	894510	IS_AST_PARENT	
894507	894508	IS_AST_PARENT	
894506	894507	IS_AST_PARENT	
894513	894514	IS_AST_PARENT	
894515	894516	IS_AST_PARENT	
894518	894519	IS_AST_PARENT	
894518	894520	IS_AST_PARENT	
