command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	915014	File	/home/p4ultr4n/workplace/ReVeal/raw_code/axidma_write_0.c								
ANR	915015	Function	axidma_write	1:0:0:1676							
ANR	915016	FunctionDef	"axidma_write (void * opaque , hwaddr addr , uint64_t value , unsigned size)"		915015	0					
ANR	915017	CompoundStatement		5:0:110:1676	915015	0					
ANR	915018	IdentifierDeclStatement	XilinxAXIDMA * d = opaque ;	7:4:117:141	915015	0	True				
ANR	915019	IdentifierDecl	* d = opaque		915015	0					
ANR	915020	IdentifierDeclType	XilinxAXIDMA *		915015	0					
ANR	915021	Identifier	d		915015	1					
ANR	915022	AssignmentExpression	* d = opaque		915015	2		=			
ANR	915023	Identifier	opaque		915015	0					
ANR	915024	Identifier	opaque		915015	1					
ANR	915025	IdentifierDeclStatement	struct Stream * s ;	9:4:148:164	915015	1	True				
ANR	915026	IdentifierDecl	* s		915015	0					
ANR	915027	IdentifierDeclType	struct Stream *		915015	0					
ANR	915028	Identifier	s		915015	1					
ANR	915029	IdentifierDeclStatement	int sid ;	11:4:171:178	915015	2	True				
ANR	915030	IdentifierDecl	sid		915015	0					
ANR	915031	IdentifierDeclType	int		915015	0					
ANR	915032	Identifier	sid		915015	1					
ANR	915033	ExpressionStatement	sid = streamid_from_addr ( addr )	15:4:187:217	915015	3	True				
ANR	915034	AssignmentExpression	sid = streamid_from_addr ( addr )		915015	0		=			
ANR	915035	Identifier	sid		915015	0					
ANR	915036	CallExpression	streamid_from_addr ( addr )		915015	1					
ANR	915037	Callee	streamid_from_addr		915015	0					
ANR	915038	Identifier	streamid_from_addr		915015	0					
ANR	915039	ArgumentList	addr		915015	1					
ANR	915040	Argument	addr		915015	0					
ANR	915041	Identifier	addr		915015	0					
ANR	915042	ExpressionStatement	s = & d -> streams [ sid ]	17:4:224:244	915015	4	True				
ANR	915043	AssignmentExpression	s = & d -> streams [ sid ]		915015	0		=			
ANR	915044	Identifier	s		915015	0					
ANR	915045	UnaryOperationExpression	& d -> streams [ sid ]		915015	1					
ANR	915046	UnaryOperator	&		915015	0					
ANR	915047	ArrayIndexing	d -> streams [ sid ]		915015	1					
ANR	915048	PtrMemberAccess	d -> streams		915015	0					
ANR	915049	Identifier	d		915015	0					
ANR	915050	Identifier	streams		915015	1					
ANR	915051	Identifier	sid		915015	1					
ANR	915052	ExpressionStatement	addr = addr % 0x30	21:4:253:271	915015	5	True				
ANR	915053	AssignmentExpression	addr = addr % 0x30		915015	0		=			
ANR	915054	Identifier	addr		915015	0					
ANR	915055	MultiplicativeExpression	addr % 0x30		915015	1		%			
ANR	915056	Identifier	addr		915015	0					
ANR	915057	PrimaryExpression	0x30		915015	1					
ANR	915058	ExpressionStatement	addr >>= 2	23:4:278:288	915015	6	True				
ANR	915059	AssignmentExpression	addr >>= 2		915015	0		>>=			
ANR	915060	Identifier	addr		915015	0					
ANR	915061	PrimaryExpression	2		915015	1					
ANR	915062	SwitchStatement	switch ( addr )		915015	7					
ANR	915063	Condition	addr	25:12:303:306	915015	0	True				
ANR	915064	Identifier	addr		915015	0					
ANR	915065	CompoundStatement		21:18:198:198	915015	1					
ANR	915066	Label	case R_DMACR :	27:8:320:332	915015	0	True				
ANR	915067	Identifier	R_DMACR		915015	0					
ANR	915068	ExpressionStatement	value |= DMACR_TAILPTR_MODE	31:12:394:421	915015	1	True				
ANR	915069	AssignmentExpression	value |= DMACR_TAILPTR_MODE		915015	0		|=			
ANR	915070	Identifier	value		915015	0					
ANR	915071	Identifier	DMACR_TAILPTR_MODE		915015	1					
ANR	915072	ExpressionStatement	value |= ( s -> regs [ addr ] & DMACR_RESET )	35:12:491:529	915015	2	True				
ANR	915073	AssignmentExpression	value |= ( s -> regs [ addr ] & DMACR_RESET )		915015	0		|=			
ANR	915074	Identifier	value		915015	0					
ANR	915075	BitAndExpression	s -> regs [ addr ] & DMACR_RESET		915015	1		&			
ANR	915076	ArrayIndexing	s -> regs [ addr ]		915015	0					
ANR	915077	PtrMemberAccess	s -> regs		915015	0					
ANR	915078	Identifier	s		915015	0					
ANR	915079	Identifier	regs		915015	1					
ANR	915080	Identifier	addr		915015	1					
ANR	915081	Identifier	DMACR_RESET		915015	1					
ANR	915082	ExpressionStatement	s -> regs [ addr ] = value	37:12:544:565	915015	3	True				
ANR	915083	AssignmentExpression	s -> regs [ addr ] = value		915015	0		=			
