start	end	type	var
971467	971468	IS_AST_PARENT	
971467	971469	IS_AST_PARENT	
971466	971467	IS_AST_PARENT	
971470	971471	IS_AST_PARENT	
971470	971472	IS_AST_PARENT	
971466	971470	IS_AST_PARENT	
971465	971466	IS_AST_PARENT	
971465	971473	IS_AST_PARENT	
971465	971474	IS_AST_PARENT	
971465	971475	IS_AST_PARENT	
971465	971476	IS_AST_PARENT	
971465	971477	IS_AST_PARENT	
971465	971478	IS_AST_PARENT	
971465	971479	IS_AST_PARENT	
971465	971480	IS_AST_PARENT	
971465	971481	IS_AST_PARENT	
971465	971482	IS_AST_PARENT	
971465	971483	IS_AST_PARENT	
971465	971484	IS_AST_PARENT	
971465	971485	IS_AST_PARENT	
971491	971492	IS_AST_PARENT	
971491	971493	IS_AST_PARENT	
971490	971491	IS_AST_PARENT	
971494	971495	IS_AST_PARENT	
971494	971496	IS_AST_PARENT	
971490	971494	IS_AST_PARENT	
971489	971490	IS_AST_PARENT	
971498	971499	IS_AST_PARENT	
971498	971500	IS_AST_PARENT	
971497	971498	IS_AST_PARENT	
971501	971502	IS_AST_PARENT	
971501	971503	IS_AST_PARENT	
971497	971501	IS_AST_PARENT	
971489	971497	IS_AST_PARENT	
971488	971489	IS_AST_PARENT	
971487	971488	IS_AST_PARENT	
971507	971508	IS_AST_PARENT	
971506	971507	IS_AST_PARENT	
971511	971512	IS_AST_PARENT	
971513	971514	IS_AST_PARENT	
971513	971515	IS_AST_PARENT	
971511	971513	IS_AST_PARENT	
971510	971511	IS_AST_PARENT	
971509	971510	IS_AST_PARENT	
971506	971509	IS_AST_PARENT	
971505	971506	IS_AST_PARENT	
971504	971505	IS_AST_PARENT	
971518	971519	IS_AST_PARENT	
971517	971518	IS_AST_PARENT	
971522	971523	IS_AST_PARENT	
971525	971526	IS_AST_PARENT	
971524	971525	IS_AST_PARENT	
971528	971529	IS_AST_PARENT	
971527	971528	IS_AST_PARENT	
971524	971527	IS_AST_PARENT	
971522	971524	IS_AST_PARENT	
971521	971522	IS_AST_PARENT	
971520	971521	IS_AST_PARENT	
971517	971520	IS_AST_PARENT	
971516	971517	IS_AST_PARENT	
971504	971516	IS_AST_PARENT	
971532	971533	IS_AST_PARENT	
971531	971532	IS_AST_PARENT	
971536	971537	IS_AST_PARENT	
971538	971539	IS_AST_PARENT	
971538	971540	IS_AST_PARENT	
971536	971538	IS_AST_PARENT	
971535	971536	IS_AST_PARENT	
971534	971535	IS_AST_PARENT	
971531	971534	IS_AST_PARENT	
971530	971531	IS_AST_PARENT	
971504	971530	IS_AST_PARENT	
971543	971544	IS_AST_PARENT	
971542	971543	IS_AST_PARENT	
971546	971547	IS_AST_PARENT	
971545	971546	IS_AST_PARENT	
971548	971549	IS_AST_PARENT	
971545	971548	IS_AST_PARENT	
971542	971545	IS_AST_PARENT	
971541	971542	IS_AST_PARENT	
971504	971541	IS_AST_PARENT	
971552	971553	IS_AST_PARENT	
971551	971552	IS_AST_PARENT	
971556	971557	IS_AST_PARENT	
971556	971558	IS_AST_PARENT	
971555	971556	IS_AST_PARENT	
971554	971555	IS_AST_PARENT	
971551	971554	IS_AST_PARENT	
971550	971551	IS_AST_PARENT	
971504	971550	IS_AST_PARENT	
971561	971562	IS_AST_PARENT	
971560	971561	IS_AST_PARENT	
971565	971566	IS_AST_PARENT	
971565	971567	IS_AST_PARENT	
971564	971565	IS_AST_PARENT	
971563	971564	IS_AST_PARENT	
971560	971563	IS_AST_PARENT	
971559	971560	IS_AST_PARENT	
971504	971559	IS_AST_PARENT	
971570	971571	IS_AST_PARENT	
971569	971570	IS_AST_PARENT	
971573	971574	IS_AST_PARENT	
971572	971573	IS_AST_PARENT	
971569	971572	IS_AST_PARENT	
971568	971569	IS_AST_PARENT	
971504	971568	IS_AST_PARENT	
971576	971577	IS_AST_PARENT	
971575	971576	IS_AST_PARENT	
971578	971579	IS_AST_PARENT	
971575	971578	IS_AST_PARENT	
971504	971575	IS_AST_PARENT	
971487	971504	IS_AST_PARENT	
971486	971487	IS_AST_PARENT	
971465	971486	IS_AST_PARENT	
971581	971582	IS_AST_PARENT	
971580	971581	IS_AST_PARENT	
971586	971587	IS_AST_PARENT	
971585	971586	IS_AST_PARENT	
971585	971588	IS_AST_PARENT	
971584	971585	IS_AST_PARENT	
971583	971584	IS_AST_PARENT	
971580	971583	IS_AST_PARENT	
971465	971580	IS_AST_PARENT	
971464	971465	IS_AST_PARENT	
971464	971589	IS_AST_PARENT	
971464	971590	IS_AST_PARENT	
971592	971593	IS_AST_PARENT	
971592	971594	IS_AST_PARENT	
971591	971592	IS_AST_PARENT	
971595	971596	IS_AST_PARENT	
971595	971597	IS_AST_PARENT	
971591	971595	IS_AST_PARENT	
971598	971599	IS_AST_PARENT	
971598	971600	IS_AST_PARENT	
971591	971598	IS_AST_PARENT	
971464	971591	IS_AST_PARENT	
971601	971592	FLOWS_TO	
971592	971595	FLOWS_TO	
971595	971598	FLOWS_TO	
971598	971466	FLOWS_TO	
971466	971473	FLOWS_TO	
971473	971474	FLOWS_TO	
971474	971475	FLOWS_TO	
971475	971476	FLOWS_TO	
971476	971477	FLOWS_TO	
971477	971478	FLOWS_TO	
971478	971479	FLOWS_TO	
971479	971480	FLOWS_TO	
971480	971481	FLOWS_TO	
971481	971482	FLOWS_TO	
971482	971483	FLOWS_TO	
971483	971484	FLOWS_TO	
971484	971485	FLOWS_TO	
971485	971488	FLOWS_TO	
971488	971505	FLOWS_TO	
