start	end	type	var
980397	980398	IS_AST_PARENT	
980397	980399	IS_AST_PARENT	
980400	980401	IS_AST_PARENT	
980402	980403	IS_AST_PARENT	
980402	980404	IS_AST_PARENT	
980400	980402	IS_AST_PARENT	
980397	980400	IS_AST_PARENT	
980396	980397	IS_AST_PARENT	
980395	980396	IS_AST_PARENT	
980407	980408	IS_AST_PARENT	
980407	980409	IS_AST_PARENT	
980406	980407	IS_AST_PARENT	
980405	980406	IS_AST_PARENT	
980411	980412	IS_AST_PARENT	
980411	980413	IS_AST_PARENT	
980410	980411	IS_AST_PARENT	
980405	980410	IS_AST_PARENT	
980395	980405	IS_AST_PARENT	
980416	980417	IS_AST_PARENT	
980418	980419	IS_AST_PARENT	
980418	980420	IS_AST_PARENT	
980416	980418	IS_AST_PARENT	
980415	980416	IS_AST_PARENT	
980414	980415	IS_AST_PARENT	
980422	980423	IS_AST_PARENT	
980422	980424	IS_AST_PARENT	
980421	980422	IS_AST_PARENT	
980414	980421	IS_AST_PARENT	
980395	980414	IS_AST_PARENT	
980427	980428	IS_AST_PARENT	
980426	980427	IS_AST_PARENT	
980430	980431	IS_AST_PARENT	
980429	980430	IS_AST_PARENT	
980432	980433	IS_AST_PARENT	
980429	980432	IS_AST_PARENT	
980435	980436	IS_AST_PARENT	
980437	980438	IS_AST_PARENT	
980437	980439	IS_AST_PARENT	
980435	980437	IS_AST_PARENT	
980434	980435	IS_AST_PARENT	
980429	980434	IS_AST_PARENT	
980426	980429	IS_AST_PARENT	
980425	980426	IS_AST_PARENT	
980395	980425	IS_AST_PARENT	
980443	980444	IS_AST_PARENT	
980443	980445	IS_AST_PARENT	
980442	980443	IS_AST_PARENT	
980441	980442	IS_AST_PARENT	
980447	980448	IS_AST_PARENT	
980446	980447	IS_AST_PARENT	
980449	980450	IS_AST_PARENT	
980446	980449	IS_AST_PARENT	
980441	980446	IS_AST_PARENT	
980440	980441	IS_AST_PARENT	
980395	980440	IS_AST_PARENT	
980394	980395	IS_AST_PARENT	
980394	980451	IS_AST_PARENT	
980394	980452	IS_AST_PARENT	
980454	980455	IS_AST_PARENT	
980454	980456	IS_AST_PARENT	
980453	980454	IS_AST_PARENT	
980457	980458	IS_AST_PARENT	
980457	980459	IS_AST_PARENT	
980453	980457	IS_AST_PARENT	
980394	980453	IS_AST_PARENT	
980460	980454	FLOWS_TO	
980454	980457	FLOWS_TO	
980457	980396	FLOWS_TO	
980396	980406	FLOWS_TO	
980406	980410	FLOWS_TO	
980406	980415	FLOWS_TO	
980410	980461	FLOWS_TO	
980415	980421	FLOWS_TO	
980415	980425	FLOWS_TO	
980421	980461	FLOWS_TO	
980425	980440	FLOWS_TO	
980440	980461	FLOWS_TO	
980410	980462	USE	
980454	980463	DEF	
980396	980463	USE	
980402	980463	USE	
980440	980463	USE	
980447	980463	USE	
980396	980464	USE	
980400	980464	USE	
980457	980465	DEF	
980425	980465	USE	
980430	980465	USE	
980437	980465	USE	
980440	980465	USE	
980449	980465	USE	
980421	980466	USE	
980396	980467	DEF	
980397	980467	DEF	
980400	980467	DEF	
980406	980467	USE	
980415	980467	USE	
980418	980467	USE	
980440	980467	USE	
980443	980467	USE	
980415	980468	USE	
980440	980468	USE	
980396	980469	USE	
980400	980469	USE	
980415	980470	USE	
980440	980470	USE	
980425	980471	USE	
980434	980471	USE	
980454	980396	REACHES	bs
980454	980440	REACHES	bs
980457	980425	REACHES	bdi
980457	980440	REACHES	bdi
980396	980406	REACHES	drv
980396	980415	REACHES	drv
980396	980440	REACHES	drv
980460	980454	CONTROLS	
980460	980457	CONTROLS	
980460	980396	CONTROLS	
980460	980406	CONTROLS	
980406	980410	CONTROLS	
980406	980415	CONTROLS	
980415	980421	CONTROLS	
980415	980425	CONTROLS	
980415	980440	CONTROLS	
980415	980421	DOM	
980406	980415	DOM	
980396	980406	DOM	
980457	980396	DOM	
980425	980440	DOM	
980406	980461	DOM	
980415	980425	DOM	
980454	980457	DOM	
980460	980454	DOM	
980406	980410	DOM	
980460	980460	DOM	
980461	980421	POST_DOM	
980461	980415	POST_DOM	
980461	980406	POST_DOM	
980406	980396	POST_DOM	
980461	980440	POST_DOM	
980461	980461	POST_DOM	
980440	980425	POST_DOM	
980396	980457	POST_DOM	
980461	980410	POST_DOM	
980457	980454	POST_DOM	
980454	980460	POST_DOM	
980393	980394	IS_FUNCTION_OF_AST	
980393	980460	IS_FUNCTION_OF_CFG	
980392	980393	IS_FILE_OF	
