start	end	type	var
985912	985913	IS_AST_PARENT	
985911	985912	IS_AST_PARENT	
985916	985917	IS_AST_PARENT	
985918	985919	IS_AST_PARENT	
985918	985920	IS_AST_PARENT	
985916	985918	IS_AST_PARENT	
985915	985916	IS_AST_PARENT	
985914	985915	IS_AST_PARENT	
985911	985914	IS_AST_PARENT	
985910	985911	IS_AST_PARENT	
985909	985910	IS_AST_PARENT	
985923	985924	IS_AST_PARENT	
985922	985923	IS_AST_PARENT	
985926	985927	IS_AST_PARENT	
985925	985926	IS_AST_PARENT	
985928	985929	IS_AST_PARENT	
985925	985928	IS_AST_PARENT	
985922	985925	IS_AST_PARENT	
985921	985922	IS_AST_PARENT	
985909	985921	IS_AST_PARENT	
985908	985909	IS_AST_PARENT	
985908	985930	IS_AST_PARENT	
985908	985931	IS_AST_PARENT	
985933	985934	IS_AST_PARENT	
985933	985935	IS_AST_PARENT	
985932	985933	IS_AST_PARENT	
985936	985937	IS_AST_PARENT	
985936	985938	IS_AST_PARENT	
985932	985936	IS_AST_PARENT	
985908	985932	IS_AST_PARENT	
985939	985933	FLOWS_TO	
985933	985936	FLOWS_TO	
985936	985910	FLOWS_TO	
985910	985921	FLOWS_TO	
985921	985940	FLOWS_TO	
985933	985941	DEF	
985910	985941	USE	
985918	985941	USE	
985921	985941	USE	
985926	985941	USE	
985910	985942	USE	
985915	985942	USE	
985910	985943	USE	
985915	985943	USE	
985936	985944	DEF	
985921	985944	USE	
985928	985944	USE	
985933	985910	REACHES	bs
985933	985921	REACHES	bs
985936	985921	REACHES	group
985939	985933	CONTROLS	
985939	985936	CONTROLS	
985939	985910	CONTROLS	
985939	985921	CONTROLS	
985939	985939	DOM	
985921	985940	DOM	
985939	985933	DOM	
985910	985921	DOM	
985933	985936	DOM	
985936	985910	DOM	
985933	985939	POST_DOM	
985940	985940	POST_DOM	
985936	985933	POST_DOM	
985940	985921	POST_DOM	
985910	985936	POST_DOM	
985921	985910	POST_DOM	
985907	985908	IS_FUNCTION_OF_AST	
985907	985939	IS_FUNCTION_OF_CFG	
985906	985907	IS_FILE_OF	
