start	end	type	var
1091700	1091701	IS_AST_PARENT	
1091700	1091702	IS_AST_PARENT	
1091699	1091700	IS_AST_PARENT	
1091698	1091699	IS_AST_PARENT	
1091705	1091706	IS_AST_PARENT	
1091705	1091707	IS_AST_PARENT	
1091704	1091705	IS_AST_PARENT	
1091703	1091704	IS_AST_PARENT	
1091698	1091703	IS_AST_PARENT	
1091697	1091698	IS_AST_PARENT	
1091710	1091711	IS_AST_PARENT	
1091710	1091712	IS_AST_PARENT	
1091709	1091710	IS_AST_PARENT	
1091708	1091709	IS_AST_PARENT	
1091715	1091716	IS_AST_PARENT	
1091715	1091717	IS_AST_PARENT	
1091714	1091715	IS_AST_PARENT	
1091713	1091714	IS_AST_PARENT	
1091708	1091713	IS_AST_PARENT	
1091697	1091708	IS_AST_PARENT	
1091720	1091721	IS_AST_PARENT	
1091720	1091722	IS_AST_PARENT	
1091719	1091720	IS_AST_PARENT	
1091718	1091719	IS_AST_PARENT	
1091725	1091726	IS_AST_PARENT	
1091725	1091727	IS_AST_PARENT	
1091724	1091725	IS_AST_PARENT	
1091723	1091724	IS_AST_PARENT	
1091718	1091723	IS_AST_PARENT	
1091697	1091718	IS_AST_PARENT	
1091730	1091731	IS_AST_PARENT	
1091730	1091732	IS_AST_PARENT	
1091729	1091730	IS_AST_PARENT	
1091728	1091729	IS_AST_PARENT	
1091735	1091736	IS_AST_PARENT	
1091735	1091737	IS_AST_PARENT	
1091734	1091735	IS_AST_PARENT	
1091733	1091734	IS_AST_PARENT	
1091728	1091733	IS_AST_PARENT	
1091697	1091728	IS_AST_PARENT	
1091740	1091741	IS_AST_PARENT	
1091740	1091742	IS_AST_PARENT	
1091739	1091740	IS_AST_PARENT	
1091738	1091739	IS_AST_PARENT	
1091745	1091746	IS_AST_PARENT	
1091745	1091747	IS_AST_PARENT	
1091744	1091745	IS_AST_PARENT	
1091743	1091744	IS_AST_PARENT	
1091738	1091743	IS_AST_PARENT	
1091697	1091738	IS_AST_PARENT	
1091750	1091751	IS_AST_PARENT	
1091750	1091752	IS_AST_PARENT	
1091749	1091750	IS_AST_PARENT	
1091748	1091749	IS_AST_PARENT	
1091755	1091756	IS_AST_PARENT	
1091755	1091757	IS_AST_PARENT	
1091754	1091755	IS_AST_PARENT	
1091753	1091754	IS_AST_PARENT	
1091748	1091753	IS_AST_PARENT	
1091697	1091748	IS_AST_PARENT	
1091761	1091762	IS_AST_PARENT	
1091761	1091763	IS_AST_PARENT	
1091760	1091761	IS_AST_PARENT	
1091765	1091766	IS_AST_PARENT	
1091765	1091767	IS_AST_PARENT	
1091764	1091765	IS_AST_PARENT	
1091768	1091769	IS_AST_PARENT	
1091770	1091771	IS_AST_PARENT	
1091770	1091772	IS_AST_PARENT	
1091768	1091770	IS_AST_PARENT	
1091764	1091768	IS_AST_PARENT	
1091760	1091764	IS_AST_PARENT	
1091759	1091760	IS_AST_PARENT	
1091758	1091759	IS_AST_PARENT	
1091776	1091777	IS_AST_PARENT	
1091775	1091776	IS_AST_PARENT	
1091779	1091780	IS_AST_PARENT	
1091778	1091779	IS_AST_PARENT	
1091781	1091782	IS_AST_PARENT	
1091778	1091781	IS_AST_PARENT	
1091783	1091784	IS_AST_PARENT	
1091778	1091783	IS_AST_PARENT	
1091785	1091786	IS_AST_PARENT	
1091778	1091785	IS_AST_PARENT	
1091775	1091778	IS_AST_PARENT	
1091774	1091775	IS_AST_PARENT	
1091773	1091774	IS_AST_PARENT	
1091773	1091787	IS_AST_PARENT	
1091758	1091773	IS_AST_PARENT	
1091697	1091758	IS_AST_PARENT	
1091790	1091791	IS_AST_PARENT	
1091792	1091793	IS_AST_PARENT	
1091792	1091794	IS_AST_PARENT	
1091790	1091792	IS_AST_PARENT	
1091789	1091790	IS_AST_PARENT	
1091788	1091789	IS_AST_PARENT	
1091798	1091799	IS_AST_PARENT	
1091797	1091798	IS_AST_PARENT	
1091801	1091802	IS_AST_PARENT	
1091800	1091801	IS_AST_PARENT	
1091803	1091804	IS_AST_PARENT	
1091800	1091803	IS_AST_PARENT	
1091805	1091806	IS_AST_PARENT	
1091800	1091805	IS_AST_PARENT	
1091807	1091808	IS_AST_PARENT	
1091800	1091807	IS_AST_PARENT	
1091797	1091800	IS_AST_PARENT	
1091796	1091797	IS_AST_PARENT	
1091795	1091796	IS_AST_PARENT	
1091795	1091809	IS_AST_PARENT	
1091788	1091795	IS_AST_PARENT	
1091697	1091788	IS_AST_PARENT	
1091813	1091814	IS_AST_PARENT	
1091812	1091813	IS_AST_PARENT	
1091816	1091817	IS_AST_PARENT	
1091815	1091816	IS_AST_PARENT	
1091818	1091819	IS_AST_PARENT	
1091815	1091818	IS_AST_PARENT	
1091820	1091821	IS_AST_PARENT	
1091815	1091820	IS_AST_PARENT	
1091812	1091815	IS_AST_PARENT	
1091811	1091812	IS_AST_PARENT	
1091810	1091811	IS_AST_PARENT	
1091822	1091823	IS_AST_PARENT	
1091810	1091822	IS_AST_PARENT	
1091697	1091810	IS_AST_PARENT	
1091827	1091828	IS_AST_PARENT	
1091826	1091827	IS_AST_PARENT	
1091830	1091831	IS_AST_PARENT	
