command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1112149	File	/home/p4ultr4n/workplace/ReVeal/raw_code/bonito_pcihost_class_init_1.c								
ANR	1112150	Function	bonito_pcihost_class_init	1:0:0:237							
ANR	1112151	FunctionDef	"bonito_pcihost_class_init (ObjectClass * klass , void * data)"		1112150	0					
ANR	1112152	CompoundStatement		3:0:71:237	1112150	0					
ANR	1112153	IdentifierDeclStatement	DeviceClass * dc = DEVICE_CLASS ( klass ) ;	5:4:78:115	1112150	0	True				
ANR	1112154	IdentifierDecl	* dc = DEVICE_CLASS ( klass )		1112150	0					
ANR	1112155	IdentifierDeclType	DeviceClass *		1112150	0					
ANR	1112156	Identifier	dc		1112150	1					
ANR	1112157	AssignmentExpression	* dc = DEVICE_CLASS ( klass )		1112150	2		=			
ANR	1112158	Identifier	dc		1112150	0					
ANR	1112159	CallExpression	DEVICE_CLASS ( klass )		1112150	1					
ANR	1112160	Callee	DEVICE_CLASS		1112150	0					
ANR	1112161	Identifier	DEVICE_CLASS		1112150	0					
ANR	1112162	ArgumentList	klass		1112150	1					
ANR	1112163	Argument	klass		1112150	0					
ANR	1112164	Identifier	klass		1112150	0					
ANR	1112165	IdentifierDeclStatement	SysBusDeviceClass * k = SYS_BUS_DEVICE_CLASS ( klass ) ;	7:4:122:172	1112150	1	True				
ANR	1112166	IdentifierDecl	* k = SYS_BUS_DEVICE_CLASS ( klass )		1112150	0					
ANR	1112167	IdentifierDeclType	SysBusDeviceClass *		1112150	0					
ANR	1112168	Identifier	k		1112150	1					
ANR	1112169	AssignmentExpression	* k = SYS_BUS_DEVICE_CLASS ( klass )		1112150	2		=			
ANR	1112170	Identifier	k		1112150	0					
ANR	1112171	CallExpression	SYS_BUS_DEVICE_CLASS ( klass )		1112150	1					
ANR	1112172	Callee	SYS_BUS_DEVICE_CLASS		1112150	0					
ANR	1112173	Identifier	SYS_BUS_DEVICE_CLASS		1112150	0					
ANR	1112174	ArgumentList	klass		1112150	1					
ANR	1112175	Argument	klass		1112150	0					
ANR	1112176	Identifier	klass		1112150	0					
ANR	1112177	ExpressionStatement	k -> init = bonito_pcihost_initfn	11:4:181:212	1112150	2	True				
ANR	1112178	AssignmentExpression	k -> init = bonito_pcihost_initfn		1112150	0		=			
ANR	1112179	PtrMemberAccess	k -> init		1112150	0					
ANR	1112180	Identifier	k		1112150	0					
ANR	1112181	Identifier	init		1112150	1					
ANR	1112182	Identifier	bonito_pcihost_initfn		1112150	1					
ANR	1112183	ExpressionStatement	dc -> no_user = 1	13:4:219:234	1112150	3	True				
ANR	1112184	AssignmentExpression	dc -> no_user = 1		1112150	0		=			
ANR	1112185	PtrMemberAccess	dc -> no_user		1112150	0					
ANR	1112186	Identifier	dc		1112150	0					
ANR	1112187	Identifier	no_user		1112150	1					
ANR	1112188	PrimaryExpression	1		1112150	1					
ANR	1112189	ReturnType	static void		1112150	1					
ANR	1112190	Identifier	bonito_pcihost_class_init		1112150	2					
ANR	1112191	ParameterList	"ObjectClass * klass , void * data"		1112150	3					
ANR	1112192	Parameter	ObjectClass * klass	1:38:38:55	1112150	0	True				
ANR	1112193	ParameterType	ObjectClass *		1112150	0					
ANR	1112194	Identifier	klass		1112150	1					
ANR	1112195	Parameter	void * data	1:58:58:67	1112150	1	True				
ANR	1112196	ParameterType	void *		1112150	0					
ANR	1112197	Identifier	data		1112150	1					
ANR	1112198	CFGEntryNode	ENTRY		1112150		True				
ANR	1112199	CFGExitNode	EXIT		1112150		True				
ANR	1112200	Symbol	k -> init		1112150						
ANR	1112201	Symbol	data		1112150						
ANR	1112202	Symbol	* k		1112150						
ANR	1112203	Symbol	klass		1112150						
ANR	1112204	Symbol	* dc		1112150						
ANR	1112205	Symbol	SYS_BUS_DEVICE_CLASS		1112150						
ANR	1112206	Symbol	bonito_pcihost_initfn		1112150						
ANR	1112207	Symbol	dc -> no_user		1112150						
ANR	1112208	Symbol	k		1112150						
ANR	1112209	Symbol	DEVICE_CLASS		1112150						
ANR	1112210	Symbol	dc		1112150						
