start	end	type	var
1123665	1123666	IS_AST_PARENT	
1123665	1123667	IS_AST_PARENT	
1123664	1123665	IS_AST_PARENT	
1123668	1123669	IS_AST_PARENT	
1123668	1123670	IS_AST_PARENT	
1123664	1123668	IS_AST_PARENT	
1123663	1123664	IS_AST_PARENT	
1123672	1123673	IS_AST_PARENT	
1123672	1123674	IS_AST_PARENT	
1123671	1123672	IS_AST_PARENT	
1123663	1123671	IS_AST_PARENT	
1123677	1123678	IS_AST_PARENT	
1123677	1123679	IS_AST_PARENT	
1123676	1123677	IS_AST_PARENT	
1123675	1123676	IS_AST_PARENT	
1123683	1123684	IS_AST_PARENT	
1123682	1123683	IS_AST_PARENT	
1123686	1123687	IS_AST_PARENT	
1123685	1123686	IS_AST_PARENT	
1123688	1123689	IS_AST_PARENT	
1123685	1123688	IS_AST_PARENT	
1123690	1123691	IS_AST_PARENT	
1123685	1123690	IS_AST_PARENT	
1123692	1123693	IS_AST_PARENT	
1123685	1123692	IS_AST_PARENT	
1123682	1123685	IS_AST_PARENT	
1123681	1123682	IS_AST_PARENT	
1123680	1123681	IS_AST_PARENT	
1123696	1123697	IS_AST_PARENT	
1123695	1123696	IS_AST_PARENT	
1123700	1123701	IS_AST_PARENT	
1123700	1123702	IS_AST_PARENT	
1123699	1123700	IS_AST_PARENT	
1123698	1123699	IS_AST_PARENT	
1123695	1123698	IS_AST_PARENT	
1123694	1123695	IS_AST_PARENT	
1123680	1123694	IS_AST_PARENT	
1123675	1123680	IS_AST_PARENT	
1123663	1123675	IS_AST_PARENT	
1123704	1123705	IS_AST_PARENT	
1123707	1123708	IS_AST_PARENT	
1123707	1123709	IS_AST_PARENT	
1123706	1123707	IS_AST_PARENT	
1123706	1123710	IS_AST_PARENT	
1123704	1123706	IS_AST_PARENT	
1123703	1123704	IS_AST_PARENT	
1123663	1123703	IS_AST_PARENT	
1123712	1123713	IS_AST_PARENT	
1123714	1123715	IS_AST_PARENT	
1123717	1123718	IS_AST_PARENT	
1123717	1123719	IS_AST_PARENT	
1123716	1123717	IS_AST_PARENT	
1123716	1123720	IS_AST_PARENT	
