command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1251048	File	/home/p4ultr4n/workplace/ReVeal/raw_code/check_consistency_0.c								
ANR	1251049	Function	check_consistency	1:0:0:383							
ANR	1251050	FunctionDef	check_consistency (FFFrameQueue * fq)		1251049	0					
ANR	1251051	CompoundStatement		3:0:49:383	1251049	0					
ANR	1251052	IdentifierDeclStatement	uint64_t nb_samples = 0 ;	7:4:79:102	1251049	0	True				
ANR	1251053	IdentifierDecl	nb_samples = 0		1251049	0					
ANR	1251054	IdentifierDeclType	uint64_t		1251049	0					
ANR	1251055	Identifier	nb_samples		1251049	1					
ANR	1251056	AssignmentExpression	nb_samples = 0		1251049	2		=			
ANR	1251057	Identifier	nb_samples		1251049	0					
ANR	1251058	PrimaryExpression	0		1251049	1					
ANR	1251059	IdentifierDeclStatement	size_t i ;	9:4:109:117	1251049	1	True				
ANR	1251060	IdentifierDecl	i		1251049	0					
ANR	1251061	IdentifierDeclType	size_t		1251049	0					
ANR	1251062	Identifier	i		1251049	1					
ANR	1251063	ExpressionStatement	av_assert0 ( fq -> queued == fq -> total_frames_head - fq -> total_frames_tail )	13:4:126:197	1251049	2	True				
ANR	1251064	CallExpression	av_assert0 ( fq -> queued == fq -> total_frames_head - fq -> total_frames_tail )		1251049	0					
ANR	1251065	Callee	av_assert0		1251049	0					
ANR	1251066	Identifier	av_assert0		1251049	0					
ANR	1251067	ArgumentList	fq -> queued == fq -> total_frames_head - fq -> total_frames_tail		1251049	1					
ANR	1251068	Argument	fq -> queued == fq -> total_frames_head - fq -> total_frames_tail		1251049	0					
ANR	1251069	EqualityExpression	fq -> queued == fq -> total_frames_head - fq -> total_frames_tail		1251049	0		==			
ANR	1251070	PtrMemberAccess	fq -> queued		1251049	0					
ANR	1251071	Identifier	fq		1251049	0					
ANR	1251072	Identifier	queued		1251049	1					
ANR	1251073	AdditiveExpression	fq -> total_frames_head - fq -> total_frames_tail		1251049	1		-			
ANR	1251074	PtrMemberAccess	fq -> total_frames_head		1251049	0					
ANR	1251075	Identifier	fq		1251049	0					
ANR	1251076	Identifier	total_frames_head		1251049	1					
ANR	1251077	PtrMemberAccess	fq -> total_frames_tail		1251049	1					
ANR	1251078	Identifier	fq		1251049	0					
ANR	1251079	Identifier	total_frames_tail		1251049	1					
ANR	1251080	ForStatement	for ( i = 0 ; i < fq -> queued ; i ++ )		1251049	3					
ANR	1251081	ForInit	i = 0 ;	15:9:209:214	1251049	0	True				
ANR	1251082	AssignmentExpression	i = 0		1251049	0		=			
ANR	1251083	Identifier	i		1251049	0					
ANR	1251084	PrimaryExpression	0		1251049	1					
ANR	1251085	Condition	i < fq -> queued	15:16:216:229	1251049	1	True				
ANR	1251086	RelationalExpression	i < fq -> queued		1251049	0		<			
ANR	1251087	Identifier	i		1251049	0					
ANR	1251088	PtrMemberAccess	fq -> queued		1251049	1					
ANR	1251089	Identifier	fq		1251049	0					
ANR	1251090	Identifier	queued		1251049	1					
ANR	1251091	PostIncDecOperationExpression	i ++	15:32:232:234	1251049	2	True				
ANR	1251092	Identifier	i		1251049	0					
ANR	1251093	IncDec	++		1251049	1					
ANR	1251094	ExpressionStatement	"nb_samples += bucket ( fq , i ) -> frame -> nb_samples"	17:8:246:292	1251049	3	True				
ANR	1251095	AssignmentExpression	"nb_samples += bucket ( fq , i ) -> frame -> nb_samples"		1251049	0		+=			
ANR	1251096	Identifier	nb_samples		1251049	0					
ANR	1251097	PtrMemberAccess	"bucket ( fq , i ) -> frame -> nb_samples"		1251049	1					
ANR	1251098	PtrMemberAccess	"bucket ( fq , i ) -> frame"		1251049	0					
ANR	1251099	CallExpression	"bucket ( fq , i )"		1251049	0					
ANR	1251100	Callee	bucket		1251049	0					
ANR	1251101	Identifier	bucket		1251049	0					
ANR	1251102	ArgumentList	fq		1251049	1					
ANR	1251103	Argument	fq		1251049	0					
ANR	1251104	Identifier	fq		1251049	0					
ANR	1251105	Argument	i		1251049	1					
ANR	1251106	Identifier	i		1251049	0					
ANR	1251107	Identifier	frame		1251049	1					
ANR	1251108	Identifier	nb_samples		1251049	1					
ANR	1251109	ExpressionStatement	av_assert0 ( nb_samples == fq -> total_samples_head - fq -> total_samples_tail )	19:4:299:372	1251049	4	True				
ANR	1251110	CallExpression	av_assert0 ( nb_samples == fq -> total_samples_head - fq -> total_samples_tail )		1251049	0					
ANR	1251111	Callee	av_assert0		1251049	0					
ANR	1251112	Identifier	av_assert0		1251049	0					
ANR	1251113	ArgumentList	nb_samples == fq -> total_samples_head - fq -> total_samples_tail		1251049	1					
ANR	1251114	Argument	nb_samples == fq -> total_samples_head - fq -> total_samples_tail		1251049	0					
ANR	1251115	EqualityExpression	nb_samples == fq -> total_samples_head - fq -> total_samples_tail		1251049	0		==			
ANR	1251116	Identifier	nb_samples		1251049	0					
ANR	1251117	AdditiveExpression	fq -> total_samples_head - fq -> total_samples_tail		1251049	1		-			
ANR	1251118	PtrMemberAccess	fq -> total_samples_head		1251049	0					
ANR	1251119	Identifier	fq		1251049	0					
ANR	1251120	Identifier	total_samples_head		1251049	1					
ANR	1251121	PtrMemberAccess	fq -> total_samples_tail		1251049	1					
ANR	1251122	Identifier	fq		1251049	0					
ANR	1251123	Identifier	total_samples_tail		1251049	1					
ANR	1251124	ReturnType	static void		1251049	1					
ANR	1251125	Identifier	check_consistency		1251049	2					
ANR	1251126	ParameterList	FFFrameQueue * fq		1251049	3					
ANR	1251127	Parameter	FFFrameQueue * fq	1:30:30:45	1251049	0	True				
ANR	1251128	ParameterType	FFFrameQueue *		1251049	0					
ANR	1251129	Identifier	fq		1251049	1					
ANR	1251130	CFGEntryNode	ENTRY		1251049		True				
ANR	1251131	CFGExitNode	EXIT		1251049		True				
ANR	1251132	Symbol	nb_samples		1251049						
ANR	1251133	Symbol	i		1251049						
ANR	1251134	Symbol	"* bucket ( fq , i ) -> frame"		1251049						
ANR	1251135	Symbol	fq		1251049						
ANR	1251136	Symbol	fq -> total_samples_tail		1251049						
ANR	1251137	Symbol	"bucket ( fq , i ) -> frame"		1251049						
ANR	1251138	Symbol	bucket		1251049						
ANR	1251139	Symbol	* fq		1251049						
ANR	1251140	Symbol	* bucket		1251049						
ANR	1251141	Symbol	fq -> total_frames_tail		1251049						
ANR	1251142	Symbol	"bucket ( fq , i ) -> frame -> nb_samples"		1251049						
ANR	1251143	Symbol	fq -> total_frames_head		1251049						
ANR	1251144	Symbol	fq -> queued		1251049						
ANR	1251145	Symbol	fq -> total_samples_head		1251049						
ANR	1251146	Symbol	* * bucket		1251049						
