command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1339522	File	/home/p4ultr4n/workplace/ReVeal/raw_code/codec_reinit_1.c								
ANR	1339523	Function	codec_reinit	1:0:0:993							
ANR	1339524	FunctionDef	"codec_reinit (AVCodecContext * avctx , int width , int height , int quality)"		1339523	0					
ANR	1339525	CompoundStatement		1:83:83:993	1339523	0					
ANR	1339526	IdentifierDeclStatement	NuvContext * c = avctx -> priv_data ;	3:4:90:122	1339523	0	True				
ANR	1339527	IdentifierDecl	* c = avctx -> priv_data		1339523	0					
ANR	1339528	IdentifierDeclType	NuvContext *		1339523	0					
ANR	1339529	Identifier	c		1339523	1					
ANR	1339530	AssignmentExpression	* c = avctx -> priv_data		1339523	2		=			
ANR	1339531	Identifier	c		1339523	0					
ANR	1339532	PtrMemberAccess	avctx -> priv_data		1339523	1					
ANR	1339533	Identifier	avctx		1339523	0					
ANR	1339534	Identifier	priv_data		1339523	1					
ANR	1339535	ExpressionStatement	width = ( width + 1 ) & ~1	5:4:129:153	1339523	1	True				
ANR	1339536	AssignmentExpression	width = ( width + 1 ) & ~1		1339523	0		=			
ANR	1339537	Identifier	width		1339523	0					
ANR	1339538	BitAndExpression	( width + 1 ) & ~1		1339523	1		&			
ANR	1339539	AdditiveExpression	width + 1		1339523	0		+			
ANR	1339540	Identifier	width		1339523	0					
ANR	1339541	PrimaryExpression	1		1339523	1					
ANR	1339542	Identifier	~1		1339523	1					
ANR	1339543	ExpressionStatement	height = ( height + 1 ) & ~1	7:4:160:186	1339523	2	True				
ANR	1339544	AssignmentExpression	height = ( height + 1 ) & ~1		1339523	0		=			
ANR	1339545	Identifier	height		1339523	0					
ANR	1339546	BitAndExpression	( height + 1 ) & ~1		1339523	1		&			
ANR	1339547	AdditiveExpression	height + 1		1339523	0		+			
ANR	1339548	Identifier	height		1339523	0					
ANR	1339549	PrimaryExpression	1		1339523	1					
ANR	1339550	Identifier	~1		1339523	1					
ANR	1339551	IfStatement	if ( quality >= 0 )		1339523	3					
ANR	1339552	Condition	quality >= 0	9:8:197:208	1339523	0	True				
ANR	1339553	RelationalExpression	quality >= 0		1339523	0		>=			
ANR	1339554	Identifier	quality		1339523	0					
ANR	1339555	PrimaryExpression	0		1339523	1					
ANR	1339556	ExpressionStatement	"get_quant_quality ( c , quality )"	11:8:220:249	1339523	1	True				
ANR	1339557	CallExpression	"get_quant_quality ( c , quality )"		1339523	0					
ANR	1339558	Callee	get_quant_quality		1339523	0					
ANR	1339559	Identifier	get_quant_quality		1339523	0					
ANR	1339560	ArgumentList	c		1339523	1					
ANR	1339561	Argument	c		1339523	0					
ANR	1339562	Identifier	c		1339523	0					
ANR	1339563	Argument	quality		1339523	1					
ANR	1339564	Identifier	quality		1339523	0					
ANR	1339565	IfStatement	if ( width != c -> width || height != c -> height )		1339523	4					
ANR	1339566	Condition	width != c -> width || height != c -> height	13:8:260:299	1339523	0	True				
ANR	1339567	OrExpression	width != c -> width || height != c -> height		1339523	0		||			
ANR	1339568	EqualityExpression	width != c -> width		1339523	0		!=			
ANR	1339569	Identifier	width		1339523	0					
ANR	1339570	PtrMemberAccess	c -> width		1339523	1					
ANR	1339571	Identifier	c		1339523	0					
ANR	1339572	Identifier	width		1339523	1					
ANR	1339573	EqualityExpression	height != c -> height		1339523	1		!=			
ANR	1339574	Identifier	height		1339523	0					
ANR	1339575	PtrMemberAccess	c -> height		1339523	1					
ANR	1339576	Identifier	c		1339523	0					
ANR	1339577	Identifier	height		1339523	1					
ANR	1339578	CompoundStatement		13:50:218:218	1339523	1					
ANR	1339579	IfStatement	"if ( av_image_check_size ( height , width , 0 , avctx ) < 0 )"		1339523	0					
ANR	1339580	Condition	"av_image_check_size ( height , width , 0 , avctx ) < 0"	15:12:317:364	1339523	0	True				
ANR	1339581	RelationalExpression	"av_image_check_size ( height , width , 0 , avctx ) < 0"		1339523	0		<			
ANR	1339582	CallExpression	"av_image_check_size ( height , width , 0 , avctx )"		1339523	0					
ANR	1339583	Callee	av_image_check_size		1339523	0					
ANR	1339584	Identifier	av_image_check_size		1339523	0					
ANR	1339585	ArgumentList	height		1339523	1					
ANR	1339586	Argument	height		1339523	0					
ANR	1339587	Identifier	height		1339523	0					
ANR	1339588	Argument	width		1339523	1					
ANR	1339589	Identifier	width		1339523	0					
ANR	1339590	Argument	0		1339523	2					
ANR	1339591	PrimaryExpression	0		1339523	0					
ANR	1339592	Argument	avctx		1339523	3					
ANR	1339593	Identifier	avctx		1339523	0					
ANR	1339594	PrimaryExpression	0		1339523	1					
ANR	1339595	ReturnStatement	return 0 ;	17:12:380:388	1339523	1	True				
ANR	1339596	PrimaryExpression	0		1339523	0					
ANR	1339597	ExpressionStatement	avctx -> width = c -> width = width	19:8:399:430	1339523	1	True				
ANR	1339598	AssignmentExpression	avctx -> width = c -> width = width		1339523	0		=			
ANR	1339599	PtrMemberAccess	avctx -> width		1339523	0					
ANR	1339600	Identifier	avctx		1339523	0					
ANR	1339601	Identifier	width		1339523	1					
ANR	1339602	AssignmentExpression	c -> width = width		1339523	1		=			
ANR	1339603	PtrMemberAccess	c -> width		1339523	0					
ANR	1339604	Identifier	c		1339523	0					
ANR	1339605	Identifier	width		1339523	1					
