command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1472090	File	/home/p4ultr4n/workplace/ReVeal/raw_code/cpu_load_0.c								
ANR	1472091	Function	cpu_load	1:0:0:1181							
ANR	1472092	FunctionDef	"cpu_load (QEMUFile * f , void * opaque , int version_id)"		1472091	0					
ANR	1472093	CompoundStatement		3:0:57:1181	1472091	0					
ANR	1472094	IdentifierDeclStatement	CPUCRISState * env = opaque ;	5:1:61:87	1472091	0	True				
ANR	1472095	IdentifierDecl	* env = opaque		1472091	0					
ANR	1472096	IdentifierDeclType	CPUCRISState *		1472091	0					
ANR	1472097	Identifier	env		1472091	1					
ANR	1472098	AssignmentExpression	* env = opaque		1472091	2		=			
ANR	1472099	Identifier	opaque		1472091	0					
ANR	1472100	Identifier	opaque		1472091	1					
ANR	1472101	IdentifierDeclStatement	int i ;	7:4:94:99	1472091	1	True				
ANR	1472102	IdentifierDecl	i		1472091	0					
ANR	1472103	IdentifierDeclType	int		1472091	0					
ANR	1472104	Identifier	i		1472091	1					
ANR	1472105	IdentifierDeclStatement	int s ;	9:4:106:111	1472091	2	True				
ANR	1472106	IdentifierDecl	s		1472091	0					
ANR	1472107	IdentifierDeclType	int		1472091	0					
ANR	1472108	Identifier	s		1472091	1					
ANR	1472109	IdentifierDeclStatement	int mmu ;	11:4:118:125	1472091	3	True				
ANR	1472110	IdentifierDecl	mmu		1472091	0					
ANR	1472111	IdentifierDeclType	int		1472091	0					
ANR	1472112	Identifier	mmu		1472091	1					
ANR	1472113	ForStatement	for ( i = 0 ; i < 16 ; i ++ )		1472091	4					
ANR	1472114	ForInit	i = 0 ;	15:9:139:144	1472091	0	True				
ANR	1472115	AssignmentExpression	i = 0		1472091	0		=			
ANR	1472116	Identifier	i		1472091	0					
ANR	1472117	PrimaryExpression	0		1472091	1					
ANR	1472118	Condition	i < 16	15:16:146:151	1472091	1	True				
ANR	1472119	RelationalExpression	i < 16		1472091	0		<			
ANR	1472120	Identifier	i		1472091	0					
ANR	1472121	PrimaryExpression	16		1472091	1					
ANR	1472122	PostIncDecOperationExpression	i ++	15:24:154:156	1472091	2	True				
ANR	1472123	Identifier	i		1472091	0					
ANR	1472124	IncDec	++		1472091	1					
ANR	1472125	ExpressionStatement	env -> regs [ i ] = qemu_get_be32 ( f )	17:8:168:199	1472091	3	True				
ANR	1472126	AssignmentExpression	env -> regs [ i ] = qemu_get_be32 ( f )		1472091	0		=			
ANR	1472127	ArrayIndexing	env -> regs [ i ]		1472091	0					
ANR	1472128	PtrMemberAccess	env -> regs		1472091	0					
ANR	1472129	Identifier	env		1472091	0					
ANR	1472130	Identifier	regs		1472091	1					
ANR	1472131	Identifier	i		1472091	1					
ANR	1472132	CallExpression	qemu_get_be32 ( f )		1472091	1					
ANR	1472133	Callee	qemu_get_be32		1472091	0					
ANR	1472134	Identifier	qemu_get_be32		1472091	0					
ANR	1472135	ArgumentList	f		1472091	1					
ANR	1472136	Argument	f		1472091	0					
ANR	1472137	Identifier	f		1472091	0					
ANR	1472138	ForStatement	for ( i = 0 ; i < 16 ; i ++ )		1472091	5					
ANR	1472139	ForInit	i = 0 ;	19:9:211:216	1472091	0	True				
ANR	1472140	AssignmentExpression	i = 0		1472091	0		=			
ANR	1472141	Identifier	i		1472091	0					
ANR	1472142	PrimaryExpression	0		1472091	1					
ANR	1472143	Condition	i < 16	19:16:218:223	1472091	1	True				
ANR	1472144	RelationalExpression	i < 16		1472091	0		<			
ANR	1472145	Identifier	i		1472091	0					
ANR	1472146	PrimaryExpression	16		1472091	1					
ANR	1472147	PostIncDecOperationExpression	i ++	19:24:226:228	1472091	2	True				
ANR	1472148	Identifier	i		1472091	0					
ANR	1472149	IncDec	++		1472091	1					
ANR	1472150	ExpressionStatement	env -> pregs [ i ] = qemu_get_be32 ( f )	21:8:240:272	1472091	3	True				
ANR	1472151	AssignmentExpression	env -> pregs [ i ] = qemu_get_be32 ( f )		1472091	0		=			
ANR	1472152	ArrayIndexing	env -> pregs [ i ]		1472091	0					
ANR	1472153	PtrMemberAccess	env -> pregs		1472091	0					
ANR	1472154	Identifier	env		1472091	0					
ANR	1472155	Identifier	pregs		1472091	1					
ANR	1472156	Identifier	i		1472091	1					
ANR	1472157	CallExpression	qemu_get_be32 ( f )		1472091	1					
ANR	1472158	Callee	qemu_get_be32		1472091	0					
ANR	1472159	Identifier	qemu_get_be32		1472091	0					
ANR	1472160	ArgumentList	f		1472091	1					
ANR	1472161	Argument	f		1472091	0					
ANR	1472162	Identifier	f		1472091	0					
ANR	1472163	ExpressionStatement	env -> pc = qemu_get_be32 ( f )	25:4:281:307	1472091	6	True				
ANR	1472164	AssignmentExpression	env -> pc = qemu_get_be32 ( f )		1472091	0		=			
ANR	1472165	PtrMemberAccess	env -> pc		1472091	0					
ANR	1472166	Identifier	env		1472091	0					
ANR	1472167	Identifier	pc		1472091	1					
ANR	1472168	CallExpression	qemu_get_be32 ( f )		1472091	1					
