command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1809475	File	/home/p4ultr4n/workplace/ReVeal/raw_code/decode_frame_25_0.c								
ANR	1809476	Function	decode_frame	1:0:0:7215							
ANR	1809477	FunctionDef	"decode_frame (AVCodecContext * avctx , void * data , int * got_frame , AVPacket * avpkt)"		1809476	0					
ANR	1809478	CompoundStatement		9:0:168:7215	1809476	0					
ANR	1809479	IdentifierDeclStatement	const uint8_t * buf = avpkt -> data ;	11:4:175:207	1809476	0	True				
ANR	1809480	IdentifierDecl	* buf = avpkt -> data		1809476	0					
ANR	1809481	IdentifierDeclType	const uint8_t *		1809476	0					
ANR	1809482	Identifier	buf		1809476	1					
ANR	1809483	AssignmentExpression	* buf = avpkt -> data		1809476	2		=			
ANR	1809484	Identifier	buf		1809476	0					
ANR	1809485	PtrMemberAccess	avpkt -> data		1809476	1					
ANR	1809486	Identifier	avpkt		1809476	0					
ANR	1809487	Identifier	data		1809476	1					
ANR	1809488	IdentifierDeclStatement	int buf_size = avpkt -> size ;	13:4:214:246	1809476	1	True				
ANR	1809489	IdentifierDecl	buf_size = avpkt -> size		1809476	0					
ANR	1809490	IdentifierDeclType	int		1809476	0					
ANR	1809491	Identifier	buf_size		1809476	1					
ANR	1809492	AssignmentExpression	buf_size = avpkt -> size		1809476	2		=			
ANR	1809493	Identifier	buf_size		1809476	0					
ANR	1809494	PtrMemberAccess	avpkt -> size		1809476	1					
ANR	1809495	Identifier	avpkt		1809476	0					
ANR	1809496	Identifier	size		1809476	1					
ANR	1809497	Statement	DPXContext	15:4:253:262	1809476	2	True				
ANR	1809498	Statement	*	15:15:264:264	1809476	3	True				
ANR	1809499	Statement	const	15:16:265:269	1809476	4	True				
ANR	1809500	ExpressionStatement	s = avctx -> priv_data	15:22:271:291	1809476	5	True				
ANR	1809501	AssignmentExpression	s = avctx -> priv_data		1809476	0		=			
ANR	1809502	Identifier	s		1809476	0					
ANR	1809503	PtrMemberAccess	avctx -> priv_data		1809476	1					
ANR	1809504	Identifier	avctx		1809476	0					
ANR	1809505	Identifier	priv_data		1809476	1					
ANR	1809506	IdentifierDeclStatement	AVFrame * picture = data ;	17:4:298:322	1809476	6	True				
ANR	1809507	IdentifierDecl	* picture = data		1809476	0					
ANR	1809508	IdentifierDeclType	AVFrame *		1809476	0					
ANR	1809509	Identifier	picture		1809476	1					
ANR	1809510	AssignmentExpression	* picture = data		1809476	2		=			
ANR	1809511	Identifier	data		1809476	0					
ANR	1809512	Identifier	data		1809476	1					
ANR	1809513	Statement	AVFrame	19:4:329:335	1809476	7	True				
ANR	1809514	Statement	*	19:12:337:337	1809476	8	True				
ANR	1809515	Statement	const	19:13:338:342	1809476	9	True				
