command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1856792	File	/home/p4ultr4n/workplace/ReVeal/raw_code/decode_i2_frame_1.c								
ANR	1856793	Function	decode_i2_frame	1:0:0:1219							
ANR	1856794	FunctionDef	"decode_i2_frame (FourXContext * f , const uint8_t * buf , int length)"		1856793	0					
ANR	1856795	CompoundStatement		1:75:75:1219	1856793	0					
ANR	1856796	IdentifierDeclStatement	"int x , y , x2 , y2 ;"	3:4:82:98	1856793	0	True				
ANR	1856797	IdentifierDecl	x		1856793	0					
ANR	1856798	IdentifierDeclType	int		1856793	0					
ANR	1856799	Identifier	x		1856793	1					
ANR	1856800	IdentifierDecl	y		1856793	1					
ANR	1856801	IdentifierDeclType	int		1856793	0					
ANR	1856802	Identifier	y		1856793	1					
ANR	1856803	IdentifierDecl	x2		1856793	2					
ANR	1856804	IdentifierDeclType	int		1856793	0					
ANR	1856805	Identifier	x2		1856793	1					
ANR	1856806	IdentifierDecl	y2		1856793	3					
ANR	1856807	IdentifierDeclType	int		1856793	0					
ANR	1856808	Identifier	y2		1856793	1					
ANR	1856809	IdentifierDeclStatement	const int width = f -> avctx -> width ;	5:4:105:137	1856793	1	True				
ANR	1856810	IdentifierDecl	width = f -> avctx -> width		1856793	0					
ANR	1856811	IdentifierDeclType	const int		1856793	0					
ANR	1856812	Identifier	width		1856793	1					
ANR	1856813	AssignmentExpression	width = f -> avctx -> width		1856793	2		=			
ANR	1856814	Identifier	width		1856793	0					
ANR	1856815	PtrMemberAccess	f -> avctx -> width		1856793	1					
ANR	1856816	PtrMemberAccess	f -> avctx		1856793	0					
ANR	1856817	Identifier	f		1856793	0					
ANR	1856818	Identifier	avctx		1856793	1					
ANR	1856819	Identifier	width		1856793	1					
ANR	1856820	IdentifierDeclStatement	const int height = f -> avctx -> height ;	7:4:144:178	1856793	2	True				
ANR	1856821	IdentifierDecl	height = f -> avctx -> height		1856793	0					
ANR	1856822	IdentifierDeclType	const int		1856793	0					
ANR	1856823	Identifier	height		1856793	1					
ANR	1856824	AssignmentExpression	height = f -> avctx -> height		1856793	2		=			
ANR	1856825	Identifier	height		1856793	0					
ANR	1856826	PtrMemberAccess	f -> avctx -> height		1856793	1					
ANR	1856827	PtrMemberAccess	f -> avctx		1856793	0					
ANR	1856828	Identifier	f		1856793	0					
ANR	1856829	Identifier	avctx		1856793	1					
ANR	1856830	Identifier	height		1856793	1					
ANR	1856831	IdentifierDeclStatement	uint16_t * dst = ( uint16_t * ) f -> current_picture . data [ 0 ] ;	9:4:185:237	1856793	3	True				
ANR	1856832	IdentifierDecl	* dst = ( uint16_t * ) f -> current_picture . data [ 0 ]		1856793	0					
ANR	1856833	IdentifierDeclType	uint16_t *		1856793	0					
ANR	1856834	Identifier	dst		1856793	1					
ANR	1856835	AssignmentExpression	* dst = ( uint16_t * ) f -> current_picture . data [ 0 ]		1856793	2		=			
ANR	1856836	Identifier	dst		1856793	0					
ANR	1856837	CastExpression	( uint16_t * ) f -> current_picture . data [ 0 ]		1856793	1					
ANR	1856838	CastTarget	uint16_t *		1856793	0					
ANR	1856839	ArrayIndexing	f -> current_picture . data [ 0 ]		1856793	1					
ANR	1856840	MemberAccess	f -> current_picture . data		1856793	0					
ANR	1856841	PtrMemberAccess	f -> current_picture		1856793	0					
ANR	1856842	Identifier	f		1856793	0					
ANR	1856843	Identifier	current_picture		1856793	1					
ANR	1856844	Identifier	data		1856793	1					
ANR	1856845	PrimaryExpression	0		1856793	1					
ANR	1856846	IdentifierDeclStatement	const int stride = f -> current_picture . linesize [ 0 ] >> 1 ;	11:4:244:295	1856793	4	True				
ANR	1856847	IdentifierDecl	stride = f -> current_picture . linesize [ 0 ] >> 1		1856793	0					
ANR	1856848	IdentifierDeclType	const int		1856793	0					
ANR	1856849	Identifier	stride		1856793	1					
ANR	1856850	AssignmentExpression	stride = f -> current_picture . linesize [ 0 ] >> 1		1856793	2		=			
ANR	1856851	Identifier	stride		1856793	0					
ANR	1856852	ShiftExpression	f -> current_picture . linesize [ 0 ] >> 1		1856793	1		>>			
ANR	1856853	ArrayIndexing	f -> current_picture . linesize [ 0 ]		1856793	0					
ANR	1856854	MemberAccess	f -> current_picture . linesize		1856793	0					
ANR	1856855	PtrMemberAccess	f -> current_picture		1856793	0					
ANR	1856856	Identifier	f		1856793	0					
ANR	1856857	Identifier	current_picture		1856793	1					
ANR	1856858	Identifier	linesize		1856793	1					
ANR	1856859	PrimaryExpression	0		1856793	1					
ANR	1856860	PrimaryExpression	1		1856793	1					
ANR	1856861	ForStatement	for ( y = 0 ; y < height ; y += 16 )		1856793	5					
ANR	1856862	ForInit	y = 0 ;	15:8:308:311	1856793	0	True				
ANR	1856863	AssignmentExpression	y = 0		1856793	0		=			
ANR	1856864	Identifier	y		1856793	0					
ANR	1856865	PrimaryExpression	0		1856793	1					
ANR	1856866	Condition	y < height	15:13:313:320	1856793	1	True				
ANR	1856867	RelationalExpression	y < height		1856793	0		<			
ANR	1856868	Identifier	y		1856793	0					
ANR	1856869	Identifier	height		1856793	1					
ANR	1856870	AssignmentExpression	y += 16	15:23:323:327	1856793	2	True	+=			
ANR	1856871	Identifier	y		1856793	0					
ANR	1856872	PrimaryExpression	16		1856793	1					
ANR	1856873	CompoundStatement		15:29:253:253	1856793	3					
ANR	1856874	ForStatement	for ( x = 0 ; x < width ; x += 16 )		1856793	0					
ANR	1856875	ForInit	x = 0 ;	17:12:344:347	1856793	0	True				
ANR	1856876	AssignmentExpression	x = 0		1856793	0		=			
ANR	1856877	Identifier	x		1856793	0					
ANR	1856878	PrimaryExpression	0		1856793	1					
