start	end	type	var
2069957	2069958	IS_AST_PARENT	
2069957	2069959	IS_AST_PARENT	
2069956	2069957	IS_AST_PARENT	
2069955	2069956	IS_AST_PARENT	
2069962	2069963	IS_AST_PARENT	
2069962	2069964	IS_AST_PARENT	
2069961	2069962	IS_AST_PARENT	
2069966	2069967	IS_AST_PARENT	
2069965	2069966	IS_AST_PARENT	
2069969	2069970	IS_AST_PARENT	
2069968	2069969	IS_AST_PARENT	
2069965	2069968	IS_AST_PARENT	
2069961	2069965	IS_AST_PARENT	
2069960	2069961	IS_AST_PARENT	
2069955	2069960	IS_AST_PARENT	
2069972	2069973	IS_AST_PARENT	
2069972	2069974	IS_AST_PARENT	
2069971	2069972	IS_AST_PARENT	
2069955	2069971	IS_AST_PARENT	
2069979	2069980	IS_AST_PARENT	
2069979	2069981	IS_AST_PARENT	
2069978	2069979	IS_AST_PARENT	
2069983	2069984	IS_AST_PARENT	
2069983	2069985	IS_AST_PARENT	
2069982	2069983	IS_AST_PARENT	
2069986	2069987	IS_AST_PARENT	
2069989	2069990	IS_AST_PARENT	
2069989	2069991	IS_AST_PARENT	
2069988	2069989	IS_AST_PARENT	
2069988	2069992	IS_AST_PARENT	
2069986	2069988	IS_AST_PARENT	
2069982	2069986	IS_AST_PARENT	
2069978	2069982	IS_AST_PARENT	
2069977	2069978	IS_AST_PARENT	
2069993	2069994	IS_AST_PARENT	
2069993	2069995	IS_AST_PARENT	
2069977	2069993	IS_AST_PARENT	
2069976	2069977	IS_AST_PARENT	
2069975	2069976	IS_AST_PARENT	
2069997	2069998	IS_AST_PARENT	
2069997	2069999	IS_AST_PARENT	
2069996	2069997	IS_AST_PARENT	
2069975	2069996	IS_AST_PARENT	
2069955	2069975	IS_AST_PARENT	
2070002	2070003	IS_AST_PARENT	
2070002	2070004	IS_AST_PARENT	
2070001	2070002	IS_AST_PARENT	
2070001	2070005	IS_AST_PARENT	
2070000	2070001	IS_AST_PARENT	
2069955	2070000	IS_AST_PARENT	
2070008	2070009	IS_AST_PARENT	
2070008	2070010	IS_AST_PARENT	
2070007	2070008	IS_AST_PARENT	
2070006	2070007	IS_AST_PARENT	
2070012	2070013	IS_AST_PARENT	
2070014	2070015	IS_AST_PARENT	
2070014	2070016	IS_AST_PARENT	
2070012	2070014	IS_AST_PARENT	
2070011	2070012	IS_AST_PARENT	
2070006	2070011	IS_AST_PARENT	
2070017	2070018	IS_AST_PARENT	
2070017	2070019	IS_AST_PARENT	
2070006	2070017	IS_AST_PARENT	
2070023	2070024	IS_AST_PARENT	
2070023	2070025	IS_AST_PARENT	
2070022	2070023	IS_AST_PARENT	
2070027	2070028	IS_AST_PARENT	
2070026	2070027	IS_AST_PARENT	
2070031	2070032	IS_AST_PARENT	
2070033	2070034	IS_AST_PARENT	
2070035	2070036	IS_AST_PARENT	
2070035	2070037	IS_AST_PARENT	
2070033	2070035	IS_AST_PARENT	
2070031	2070033	IS_AST_PARENT	
2070030	2070031	IS_AST_PARENT	
2070029	2070030	IS_AST_PARENT	
2070026	2070029	IS_AST_PARENT	
2070022	2070026	IS_AST_PARENT	
2070021	2070022	IS_AST_PARENT	
2070020	2070021	IS_AST_PARENT	
2070040	2070041	IS_AST_PARENT	
2070042	2070043	IS_AST_PARENT	
2070042	2070044	IS_AST_PARENT	
2070040	2070042	IS_AST_PARENT	
2070039	2070040	IS_AST_PARENT	
2070038	2070039	IS_AST_PARENT	
2070048	2070049	IS_AST_PARENT	
2070047	2070048	IS_AST_PARENT	
2070051	2070052	IS_AST_PARENT	
2070050	2070051	IS_AST_PARENT	
2070047	2070050	IS_AST_PARENT	
2070046	2070047	IS_AST_PARENT	
2070045	2070046	IS_AST_PARENT	
2070055	2070056	IS_AST_PARENT	
2070054	2070055	IS_AST_PARENT	
2070058	2070059	IS_AST_PARENT	
2070057	2070058	IS_AST_PARENT	
2070054	2070057	IS_AST_PARENT	
2070053	2070054	IS_AST_PARENT	
2070045	2070053	IS_AST_PARENT	
2070038	2070045	IS_AST_PARENT	
2070020	2070038	IS_AST_PARENT	
2070063	2070064	IS_AST_PARENT	
2070063	2070065	IS_AST_PARENT	
2070062	2070063	IS_AST_PARENT	
2070062	2070066	IS_AST_PARENT	
2070061	2070062	IS_AST_PARENT	
2070068	2070069	IS_AST_PARENT	
2070067	2070068	IS_AST_PARENT	
2070071	2070072	IS_AST_PARENT	
2070070	2070071	IS_AST_PARENT	
2070067	2070070	IS_AST_PARENT	
2070061	2070067	IS_AST_PARENT	
2070060	2070061	IS_AST_PARENT	
2070020	2070060	IS_AST_PARENT	
2070074	2070075	IS_AST_PARENT	
2070074	2070076	IS_AST_PARENT	
2070073	2070074	IS_AST_PARENT	
2070020	2070073	IS_AST_PARENT	
2070080	2070081	IS_AST_PARENT	
2070080	2070082	IS_AST_PARENT	
2070079	2070080	IS_AST_PARENT	
2070079	2070083	IS_AST_PARENT	
2070078	2070079	IS_AST_PARENT	
2070085	2070086	IS_AST_PARENT	
2070084	2070085	IS_AST_PARENT	
2070088	2070089	IS_AST_PARENT	
2070087	2070088	IS_AST_PARENT	
2070084	2070087	IS_AST_PARENT	
2070078	2070084	IS_AST_PARENT	
2070077	2070078	IS_AST_PARENT	
2070020	2070077	IS_AST_PARENT	
2070091	2070092	IS_AST_PARENT	
2070091	2070093	IS_AST_PARENT	
2070090	2070091	IS_AST_PARENT	
2070020	2070090	IS_AST_PARENT	
2070097	2070098	IS_AST_PARENT	
2070097	2070099	IS_AST_PARENT	
2070096	2070097	IS_AST_PARENT	
2070096	2070100	IS_AST_PARENT	
2070095	2070096	IS_AST_PARENT	
2070102	2070103	IS_AST_PARENT	
2070101	2070102	IS_AST_PARENT	
2070105	2070106	IS_AST_PARENT	
2070104	2070105	IS_AST_PARENT	
2070101	2070104	IS_AST_PARENT	
2070095	2070101	IS_AST_PARENT	
2070094	2070095	IS_AST_PARENT	
2070020	2070094	IS_AST_PARENT	
2070108	2070109	IS_AST_PARENT	
2070108	2070110	IS_AST_PARENT	
2070107	2070108	IS_AST_PARENT	
2070020	2070107	IS_AST_PARENT	
2070114	2070115	IS_AST_PARENT	
2070114	2070116	IS_AST_PARENT	
2070113	2070114	IS_AST_PARENT	
2070113	2070117	IS_AST_PARENT	
2070112	2070113	IS_AST_PARENT	
2070119	2070120	IS_AST_PARENT	
2070118	2070119	IS_AST_PARENT	
2070122	2070123	IS_AST_PARENT	
2070121	2070122	IS_AST_PARENT	
2070118	2070121	IS_AST_PARENT	
2070112	2070118	IS_AST_PARENT	
2070111	2070112	IS_AST_PARENT	
2070020	2070111	IS_AST_PARENT	
2070125	2070126	IS_AST_PARENT	
2070125	2070127	IS_AST_PARENT	
2070124	2070125	IS_AST_PARENT	
2070020	2070124	IS_AST_PARENT	
2070131	2070132	IS_AST_PARENT	
2070131	2070133	IS_AST_PARENT	
2070130	2070131	IS_AST_PARENT	
2070130	2070134	IS_AST_PARENT	
