command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	2146561	File	/home/p4ultr4n/workplace/ReVeal/raw_code/device_initfn_0.c								
ANR	2146562	Function	device_initfn	1:0:0:586							
ANR	2146563	FunctionDef	device_initfn (Object * obj)		2146562	0					
ANR	2146564	CompoundStatement		3:0:40:586	2146562	0					
ANR	2146565	IdentifierDeclStatement	DeviceState * dev = DEVICE ( obj ) ;	5:4:47:77	2146562	0	True				
ANR	2146566	IdentifierDecl	* dev = DEVICE ( obj )		2146562	0					
ANR	2146567	IdentifierDeclType	DeviceState *		2146562	0					
ANR	2146568	Identifier	dev		2146562	1					
ANR	2146569	AssignmentExpression	* dev = DEVICE ( obj )		2146562	2		=			
ANR	2146570	Identifier	dev		2146562	0					
ANR	2146571	CallExpression	DEVICE ( obj )		2146562	1					
ANR	2146572	Callee	DEVICE		2146562	0					
ANR	2146573	Identifier	DEVICE		2146562	0					
ANR	2146574	ArgumentList	obj		2146562	1					
ANR	2146575	Argument	obj		2146562	0					
ANR	2146576	Identifier	obj		2146562	0					
ANR	2146577	IdentifierDeclStatement	Property * prop ;	7:4:84:98	2146562	1	True				
ANR	2146578	IdentifierDecl	* prop		2146562	0					
ANR	2146579	IdentifierDeclType	Property *		2146562	0					
ANR	2146580	Identifier	prop		2146562	1					
ANR	2146581	IfStatement	if ( qdev_hotplug )		2146562	2					
ANR	2146582	Condition	qdev_hotplug	11:8:111:122	2146562	0	True				
ANR	2146583	Identifier	qdev_hotplug		2146562	0					
ANR	2146584	CompoundStatement		9:22:84:84	2146562	1					
ANR	2146585	ExpressionStatement	dev -> hotplugged = 1	13:8:136:155	2146562	0	True				
ANR	2146586	AssignmentExpression	dev -> hotplugged = 1		2146562	0		=			
ANR	2146587	PtrMemberAccess	dev -> hotplugged		2146562	0					
ANR	2146588	Identifier	dev		2146562	0					
ANR	2146589	Identifier	hotplugged		2146562	1					
ANR	2146590	PrimaryExpression	1		2146562	1					
ANR	2146591	ExpressionStatement	qdev_hot_added = true	15:8:166:187	2146562	1	True				
ANR	2146592	AssignmentExpression	qdev_hot_added = true		2146562	0		=			
ANR	2146593	Identifier	qdev_hot_added		2146562	0					
ANR	2146594	Identifier	true		2146562	1					
ANR	2146595	ExpressionStatement	dev -> instance_id_alias = - 1	21:4:203:230	2146562	3	True				
ANR	2146596	AssignmentExpression	dev -> instance_id_alias = - 1		2146562	0		=			
ANR	2146597	PtrMemberAccess	dev -> instance_id_alias		2146562	0					
ANR	2146598	Identifier	dev		2146562	0					
ANR	2146599	Identifier	instance_id_alias		2146562	1					
ANR	2146600	UnaryOperationExpression	- 1		2146562	1					
ANR	2146601	UnaryOperator	-		2146562	0					
ANR	2146602	PrimaryExpression	1		2146562	1					
ANR	2146603	ExpressionStatement	dev -> state = DEV_STATE_CREATED	23:4:237:267	2146562	4	True				
ANR	2146604	AssignmentExpression	dev -> state = DEV_STATE_CREATED		2146562	0		=			
ANR	2146605	PtrMemberAccess	dev -> state		2146562	0					
ANR	2146606	Identifier	dev		2146562	0					
ANR	2146607	Identifier	state		2146562	1					
ANR	2146608	Identifier	DEV_STATE_CREATED		2146562	1					
ANR	2146609	ExpressionStatement	"qdev_prop_set_defaults ( dev , qdev_get_props ( dev ) )"	27:4:276:324	2146562	5	True				
ANR	2146610	CallExpression	"qdev_prop_set_defaults ( dev , qdev_get_props ( dev ) )"		2146562	0					
ANR	2146611	Callee	qdev_prop_set_defaults		2146562	0					
ANR	2146612	Identifier	qdev_prop_set_defaults		2146562	0					
ANR	2146613	ArgumentList	dev		2146562	1					
ANR	2146614	Argument	dev		2146562	0					
ANR	2146615	Identifier	dev		2146562	0					
ANR	2146616	Argument	qdev_get_props ( dev )		2146562	1					
ANR	2146617	CallExpression	qdev_get_props ( dev )		2146562	0					
ANR	2146618	Callee	qdev_get_props		2146562	0					
ANR	2146619	Identifier	qdev_get_props		2146562	0					
ANR	2146620	ArgumentList	dev		2146562	1					
ANR	2146621	Argument	dev		2146562	0					
ANR	2146622	Identifier	dev		2146562	0					
ANR	2146623	ForStatement	for ( prop = qdev_get_props ( dev ) ; prop && prop -> name ; prop ++ )		2146562	6					
ANR	2146624	ForInit	prop = qdev_get_props ( dev ) ;	29:9:336:362	2146562	0	True				
ANR	2146625	AssignmentExpression	prop = qdev_get_props ( dev )		2146562	0		=			
ANR	2146626	Identifier	prop		2146562	0					
ANR	2146627	CallExpression	qdev_get_props ( dev )		2146562	1					
ANR	2146628	Callee	qdev_get_props		2146562	0					
ANR	2146629	Identifier	qdev_get_props		2146562	0					
ANR	2146630	ArgumentList	dev		2146562	1					
ANR	2146631	Argument	dev		2146562	0					
ANR	2146632	Identifier	dev		2146562	0					
ANR	2146633	Condition	prop && prop -> name	29:37:364:381	2146562	1	True				
ANR	2146634	AndExpression	prop && prop -> name		2146562	0		&&			
ANR	2146635	Identifier	prop		2146562	0					
ANR	2146636	PtrMemberAccess	prop -> name		2146562	1					
ANR	2146637	Identifier	prop		2146562	0					
ANR	2146638	Identifier	name		2146562	1					
ANR	2146639	PostIncDecOperationExpression	prop ++	29:57:384:389	2146562	2	True				
ANR	2146640	Identifier	prop		2146562	0					
ANR	2146641	IncDec	++		2146562	1					
ANR	2146642	CompoundStatement		27:65:351:351	2146562	3					
ANR	2146643	ExpressionStatement	"qdev_property_add_legacy ( dev , prop , NULL )"	31:8:403:444	2146562	0	True				
ANR	2146644	CallExpression	"qdev_property_add_legacy ( dev , prop , NULL )"		2146562	0					
ANR	2146645	Callee	qdev_property_add_legacy		2146562	0					
ANR	2146646	Identifier	qdev_property_add_legacy		2146562	0					
ANR	2146647	ArgumentList	dev		2146562	1					
ANR	2146648	Argument	dev		2146562	0					
ANR	2146649	Identifier	dev		2146562	0					
ANR	2146650	Argument	prop		2146562	1					
ANR	2146651	Identifier	prop		2146562	0					
ANR	2146652	Argument	NULL		2146562	2					
ANR	2146653	Identifier	NULL		2146562	0					
ANR	2146654	ExpressionStatement	"qdev_property_add_static ( dev , prop , NULL )"	33:8:455:496	2146562	1	True				
ANR	2146655	CallExpression	"qdev_property_add_static ( dev , prop , NULL )"		2146562	0					
ANR	2146656	Callee	qdev_property_add_static		2146562	0					
ANR	2146657	Identifier	qdev_property_add_static		2146562	0					
ANR	2146658	ArgumentList	dev		2146562	1					
ANR	2146659	Argument	dev		2146562	0					
ANR	2146660	Identifier	dev		2146562	0					
ANR	2146661	Argument	prop		2146562	1					
ANR	2146662	Identifier	prop		2146562	0					
ANR	2146663	Argument	NULL		2146562	2					
ANR	2146664	Identifier	NULL		2146562	0					
ANR	2146665	ExpressionStatement	"object_property_add_str ( OBJECT ( dev ) , ""type"" , qdev_get_type , NULL , NULL )"	39:4:512:583	2146562	7	True				
ANR	2146666	CallExpression	"object_property_add_str ( OBJECT ( dev ) , ""type"" , qdev_get_type , NULL , NULL )"		2146562	0					
ANR	2146667	Callee	object_property_add_str		2146562	0					
ANR	2146668	Identifier	object_property_add_str		2146562	0					
ANR	2146669	ArgumentList	OBJECT ( dev )		2146562	1					
ANR	2146670	Argument	OBJECT ( dev )		2146562	0					
ANR	2146671	CallExpression	OBJECT ( dev )		2146562	0					
ANR	2146672	Callee	OBJECT		2146562	0					
ANR	2146673	Identifier	OBJECT		2146562	0					
ANR	2146674	ArgumentList	dev		2146562	1					
ANR	2146675	Argument	dev		2146562	0					
ANR	2146676	Identifier	dev		2146562	0					
ANR	2146677	Argument	"""type"""		2146562	1					
ANR	2146678	PrimaryExpression	"""type"""		2146562	0					
ANR	2146679	Argument	qdev_get_type		2146562	2					
ANR	2146680	Identifier	qdev_get_type		2146562	0					
ANR	2146681	Argument	NULL		2146562	3					
ANR	2146682	Identifier	NULL		2146562	0					
ANR	2146683	Argument	NULL		2146562	4					
ANR	2146684	Identifier	NULL		2146562	0					
ANR	2146685	ReturnType	static void		2146562	1					
ANR	2146686	Identifier	device_initfn		2146562	2					
ANR	2146687	ParameterList	Object * obj		2146562	3					
ANR	2146688	Parameter	Object * obj	1:26:26:36	2146562	0	True				
ANR	2146689	ParameterType	Object *		2146562	0					
ANR	2146690	Identifier	obj		2146562	1					
ANR	2146691	CFGEntryNode	ENTRY		2146562		True				
ANR	2146692	CFGExitNode	EXIT		2146562		True				
ANR	2146693	Symbol	* dev		2146562						
ANR	2146694	Symbol	NULL		2146562						
ANR	2146695	Symbol	prop -> name		2146562						
ANR	2146696	Symbol	DEVICE		2146562						
ANR	2146697	Symbol	qdev_get_props		2146562						
ANR	2146698	Symbol	qdev_hot_added		2146562						
ANR	2146699	Symbol	dev -> state		2146562						
ANR	2146700	Symbol	OBJECT		2146562						
ANR	2146701	Symbol	DEV_STATE_CREATED		2146562						
ANR	2146702	Symbol	dev		2146562						
ANR	2146703	Symbol	dev -> instance_id_alias		2146562						
ANR	2146704	Symbol	obj		2146562						
ANR	2146705	Symbol	prop		2146562						
ANR	2146706	Symbol	dev -> hotplugged		2146562						
ANR	2146707	Symbol	true		2146562						
ANR	2146708	Symbol	qdev_get_type		2146562						
ANR	2146709	Symbol	* prop		2146562						
ANR	2146710	Symbol	qdev_hotplug		2146562						
