command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	2376189	File	/home/p4ultr4n/workplace/ReVeal/raw_code/disas_simd_3same_int_0.c								
ANR	2376190	Function	disas_simd_3same_int	1:0:0:11707							
ANR	2376191	FunctionDef	"disas_simd_3same_int (DisasContext * s , uint32_t insn)"		2376190	0					
ANR	2376192	CompoundStatement		3:0:66:11707	2376190	0					
ANR	2376193	IdentifierDeclStatement	"int is_q = extract32 ( insn , 30 , 1 ) ;"	5:4:73:106	2376190	0	True				
ANR	2376194	IdentifierDecl	"is_q = extract32 ( insn , 30 , 1 )"		2376190	0					
ANR	2376195	IdentifierDeclType	int		2376190	0					
ANR	2376196	Identifier	is_q		2376190	1					
ANR	2376197	AssignmentExpression	"is_q = extract32 ( insn , 30 , 1 )"		2376190	2		=			
ANR	2376198	Identifier	is_q		2376190	0					
ANR	2376199	CallExpression	"extract32 ( insn , 30 , 1 )"		2376190	1					
ANR	2376200	Callee	extract32		2376190	0					
ANR	2376201	Identifier	extract32		2376190	0					
ANR	2376202	ArgumentList	insn		2376190	1					
ANR	2376203	Argument	insn		2376190	0					
ANR	2376204	Identifier	insn		2376190	0					
ANR	2376205	Argument	30		2376190	1					
ANR	2376206	PrimaryExpression	30		2376190	0					
ANR	2376207	Argument	1		2376190	2					
ANR	2376208	PrimaryExpression	1		2376190	0					
ANR	2376209	IdentifierDeclStatement	"int u = extract32 ( insn , 29 , 1 ) ;"	7:4:113:143	2376190	1	True				
ANR	2376210	IdentifierDecl	"u = extract32 ( insn , 29 , 1 )"		2376190	0					
ANR	2376211	IdentifierDeclType	int		2376190	0					
ANR	2376212	Identifier	u		2376190	1					
ANR	2376213	AssignmentExpression	"u = extract32 ( insn , 29 , 1 )"		2376190	2		=			
ANR	2376214	Identifier	u		2376190	0					
ANR	2376215	CallExpression	"extract32 ( insn , 29 , 1 )"		2376190	1					
ANR	2376216	Callee	extract32		2376190	0					
ANR	2376217	Identifier	extract32		2376190	0					
ANR	2376218	ArgumentList	insn		2376190	1					
ANR	2376219	Argument	insn		2376190	0					
ANR	2376220	Identifier	insn		2376190	0					
ANR	2376221	Argument	29		2376190	1					
ANR	2376222	PrimaryExpression	29		2376190	0					
ANR	2376223	Argument	1		2376190	2					
ANR	2376224	PrimaryExpression	1		2376190	0					
ANR	2376225	IdentifierDeclStatement	"int size = extract32 ( insn , 22 , 2 ) ;"	9:4:150:183	2376190	2	True				
ANR	2376226	IdentifierDecl	"size = extract32 ( insn , 22 , 2 )"		2376190	0					
ANR	2376227	IdentifierDeclType	int		2376190	0					
ANR	2376228	Identifier	size		2376190	1					
ANR	2376229	AssignmentExpression	"size = extract32 ( insn , 22 , 2 )"		2376190	2		=			
ANR	2376230	Identifier	size		2376190	0					
ANR	2376231	CallExpression	"extract32 ( insn , 22 , 2 )"		2376190	1					
ANR	2376232	Callee	extract32		2376190	0					
ANR	2376233	Identifier	extract32		2376190	0					
ANR	2376234	ArgumentList	insn		2376190	1					
ANR	2376235	Argument	insn		2376190	0					
ANR	2376236	Identifier	insn		2376190	0					
ANR	2376237	Argument	22		2376190	1					
ANR	2376238	PrimaryExpression	22		2376190	0					
ANR	2376239	Argument	2		2376190	2					
ANR	2376240	PrimaryExpression	2		2376190	0					
ANR	2376241	IdentifierDeclStatement	"int opcode = extract32 ( insn , 11 , 5 ) ;"	11:4:190:225	2376190	3	True				
ANR	2376242	IdentifierDecl	"opcode = extract32 ( insn , 11 , 5 )"		2376190	0					
ANR	2376243	IdentifierDeclType	int		2376190	0					
ANR	2376244	Identifier	opcode		2376190	1					
ANR	2376245	AssignmentExpression	"opcode = extract32 ( insn , 11 , 5 )"		2376190	2		=			
ANR	2376246	Identifier	opcode		2376190	0					
ANR	2376247	CallExpression	"extract32 ( insn , 11 , 5 )"		2376190	1					
ANR	2376248	Callee	extract32		2376190	0					
ANR	2376249	Identifier	extract32		2376190	0					
ANR	2376250	ArgumentList	insn		2376190	1					
ANR	2376251	Argument	insn		2376190	0					
ANR	2376252	Identifier	insn		2376190	0					
ANR	2376253	Argument	11		2376190	1					
ANR	2376254	PrimaryExpression	11		2376190	0					
ANR	2376255	Argument	5		2376190	2					
ANR	2376256	PrimaryExpression	5		2376190	0					
ANR	2376257	IdentifierDeclStatement	"int rm = extract32 ( insn , 16 , 5 ) ;"	13:4:232:263	2376190	4	True				
ANR	2376258	IdentifierDecl	"rm = extract32 ( insn , 16 , 5 )"		2376190	0					
ANR	2376259	IdentifierDeclType	int		2376190	0					
ANR	2376260	Identifier	rm		2376190	1					
ANR	2376261	AssignmentExpression	"rm = extract32 ( insn , 16 , 5 )"		2376190	2		=			
ANR	2376262	Identifier	rm		2376190	0					
ANR	2376263	CallExpression	"extract32 ( insn , 16 , 5 )"		2376190	1					
ANR	2376264	Callee	extract32		2376190	0					
ANR	2376265	Identifier	extract32		2376190	0					
ANR	2376266	ArgumentList	insn		2376190	1					
ANR	2376267	Argument	insn		2376190	0					
ANR	2376268	Identifier	insn		2376190	0					
ANR	2376269	Argument	16		2376190	1					
ANR	2376270	PrimaryExpression	16		2376190	0					
ANR	2376271	Argument	5		2376190	2					
ANR	2376272	PrimaryExpression	5		2376190	0					
ANR	2376273	IdentifierDeclStatement	"int rn = extract32 ( insn , 5 , 5 ) ;"	15:4:270:300	2376190	5	True				
ANR	2376274	IdentifierDecl	"rn = extract32 ( insn , 5 , 5 )"		2376190	0					
ANR	2376275	IdentifierDeclType	int		2376190	0					
ANR	2376276	Identifier	rn		2376190	1					
ANR	2376277	AssignmentExpression	"rn = extract32 ( insn , 5 , 5 )"		2376190	2		=			
ANR	2376278	Identifier	rn		2376190	0					
ANR	2376279	CallExpression	"extract32 ( insn , 5 , 5 )"		2376190	1					
ANR	2376280	Callee	extract32		2376190	0					
ANR	2376281	Identifier	extract32		2376190	0					
ANR	2376282	ArgumentList	insn		2376190	1					
ANR	2376283	Argument	insn		2376190	0					
ANR	2376284	Identifier	insn		2376190	0					
ANR	2376285	Argument	5		2376190	1					
ANR	2376286	PrimaryExpression	5		2376190	0					
ANR	2376287	Argument	5		2376190	2					
ANR	2376288	PrimaryExpression	5		2376190	0					
