command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	2576105	File	/home/p4ultr4n/workplace/ReVeal/raw_code/do_drive_backup_0.c								
ANR	2576106	Function	do_drive_backup	1:0:0:4032							
ANR	2576107	FunctionDef	"do_drive_backup (const char * job_id , const char * device , const char * target , bool has_format , const char * format , enum MirrorSyncMode sync , bool has_mode , enum NewImageMode mode , bool has_speed , int64_t speed , bool has_bitmap , const char * bitmap , bool has_on_source_error , BlockdevOnError on_source_error , bool has_on_target_error , BlockdevOnError on_target_error , BlockJobTxn * txn , Error * * errp)"		2576106	0					
ANR	2576108	CompoundStatement		23:0:699:4032	2576106	0					
ANR	2576109	IdentifierDeclStatement	BlockBackend * blk ;	25:4:706:723	2576106	0	True				
ANR	2576110	IdentifierDecl	* blk		2576106	0					
ANR	2576111	IdentifierDeclType	BlockBackend *		2576106	0					
ANR	2576112	Identifier	blk		2576106	1					
ANR	2576113	IdentifierDeclStatement	BlockDriverState * bs ;	27:4:730:750	2576106	1	True				
ANR	2576114	IdentifierDecl	* bs		2576106	0					
ANR	2576115	IdentifierDeclType	BlockDriverState *		2576106	0					
ANR	2576116	Identifier	bs		2576106	1					
ANR	2576117	IdentifierDeclStatement	BlockDriverState * target_bs ;	29:4:757:784	2576106	2	True				
ANR	2576118	IdentifierDecl	* target_bs		2576106	0					
ANR	2576119	IdentifierDeclType	BlockDriverState *		2576106	0					
ANR	2576120	Identifier	target_bs		2576106	1					
ANR	2576121	IdentifierDeclStatement	BlockDriverState * source = NULL ;	31:4:791:822	2576106	3	True				
ANR	2576122	IdentifierDecl	* source = NULL		2576106	0					
ANR	2576123	IdentifierDeclType	BlockDriverState *		2576106	0					
ANR	2576124	Identifier	source		2576106	1					
ANR	2576125	AssignmentExpression	* source = NULL		2576106	2		=			
ANR	2576126	Identifier	NULL		2576106	0					
ANR	2576127	Identifier	NULL		2576106	1					
ANR	2576128	IdentifierDeclStatement	BdrvDirtyBitmap * bmap = NULL ;	33:4:829:857	2576106	4	True				
ANR	2576129	IdentifierDecl	* bmap = NULL		2576106	0					
ANR	2576130	IdentifierDeclType	BdrvDirtyBitmap *		2576106	0					
ANR	2576131	Identifier	bmap		2576106	1					
ANR	2576132	AssignmentExpression	* bmap = NULL		2576106	2		=			
