start	end	type	var
2613074	2613075	IS_AST_PARENT	
2613074	2613076	IS_AST_PARENT	
2613073	2613074	IS_AST_PARENT	
2613072	2613073	IS_AST_PARENT	
2613080	2613081	IS_AST_PARENT	
2613082	2613083	IS_AST_PARENT	
2613082	2613084	IS_AST_PARENT	
2613080	2613082	IS_AST_PARENT	
2613079	2613080	IS_AST_PARENT	
2613078	2613079	IS_AST_PARENT	
2613086	2613087	IS_AST_PARENT	
2613086	2613088	IS_AST_PARENT	
2613085	2613086	IS_AST_PARENT	
2613078	2613085	IS_AST_PARENT	
2613089	2613090	IS_AST_PARENT	
2613089	2613091	IS_AST_PARENT	
2613078	2613089	IS_AST_PARENT	
2613095	2613096	IS_AST_PARENT	
2613098	2613099	IS_AST_PARENT	
2613098	2613100	IS_AST_PARENT	
2613097	2613098	IS_AST_PARENT	
2613097	2613101	IS_AST_PARENT	
2613095	2613097	IS_AST_PARENT	
2613094	2613095	IS_AST_PARENT	
2613093	2613094	IS_AST_PARENT	
2613102	2613103	IS_AST_PARENT	
2613093	2613102	IS_AST_PARENT	
2613092	2613093	IS_AST_PARENT	
2613078	2613092	IS_AST_PARENT	
2613077	2613078	IS_AST_PARENT	
2613104	2613105	IS_AST_PARENT	
2613077	2613104	IS_AST_PARENT	
2613106	2613107	IS_AST_PARENT	
2613077	2613106	IS_AST_PARENT	
2613077	2613108	IS_AST_PARENT	
2613072	2613077	IS_AST_PARENT	
2613113	2613114	IS_AST_PARENT	
2613113	2613115	IS_AST_PARENT	
2613112	2613113	IS_AST_PARENT	
2613112	2613116	IS_AST_PARENT	
2613111	2613112	IS_AST_PARENT	
2613110	2613111	IS_AST_PARENT	
2613118	2613119	IS_AST_PARENT	
2613117	2613118	IS_AST_PARENT	
2613110	2613117	IS_AST_PARENT	
2613109	2613110	IS_AST_PARENT	
2613072	2613109	IS_AST_PARENT	
2613071	2613072	IS_AST_PARENT	
2613122	2613123	IS_AST_PARENT	
2613122	2613124	IS_AST_PARENT	
2613121	2613122	IS_AST_PARENT	
2613121	2613125	IS_AST_PARENT	
2613120	2613121	IS_AST_PARENT	
2613071	2613120	IS_AST_PARENT	
2613128	2613129	IS_AST_PARENT	
2613128	2613130	IS_AST_PARENT	
2613127	2613128	IS_AST_PARENT	
2613127	2613131	IS_AST_PARENT	
2613126	2613127	IS_AST_PARENT	
2613071	2613126	IS_AST_PARENT	
2613134	2613135	IS_AST_PARENT	
2613133	2613134	IS_AST_PARENT	
2613138	2613139	IS_AST_PARENT	
2613138	2613140	IS_AST_PARENT	
2613137	2613138	IS_AST_PARENT	
2613136	2613137	IS_AST_PARENT	
2613142	2613143	IS_AST_PARENT	
2613144	2613145	IS_AST_PARENT	
2613144	2613146	IS_AST_PARENT	
2613142	2613144	IS_AST_PARENT	
2613141	2613142	IS_AST_PARENT	
2613136	2613141	IS_AST_PARENT	
2613147	2613148	IS_AST_PARENT	
2613136	2613147	IS_AST_PARENT	
2613133	2613136	IS_AST_PARENT	
2613132	2613133	IS_AST_PARENT	
2613071	2613132	IS_AST_PARENT	
2613151	2613152	IS_AST_PARENT	
2613150	2613151	IS_AST_PARENT	
2613155	2613156	IS_AST_PARENT	
2613155	2613157	IS_AST_PARENT	
2613154	2613155	IS_AST_PARENT	
2613153	2613154	IS_AST_PARENT	
2613158	2613159	IS_AST_PARENT	
2613153	2613158	IS_AST_PARENT	
2613161	2613162	IS_AST_PARENT	
2613163	2613164	IS_AST_PARENT	
2613163	2613165	IS_AST_PARENT	
2613161	2613163	IS_AST_PARENT	
2613160	2613161	IS_AST_PARENT	
2613153	2613160	IS_AST_PARENT	
2613150	2613153	IS_AST_PARENT	
2613149	2613150	IS_AST_PARENT	
2613071	2613149	IS_AST_PARENT	
2613168	2613169	IS_AST_PARENT	
2613167	2613168	IS_AST_PARENT	
2613171	2613172	IS_AST_PARENT	
2613170	2613171	IS_AST_PARENT	
2613167	2613170	IS_AST_PARENT	
2613166	2613167	IS_AST_PARENT	
2613071	2613166	IS_AST_PARENT	
2613175	2613176	IS_AST_PARENT	
2613174	2613175	IS_AST_PARENT	
2613178	2613179	IS_AST_PARENT	
2613177	2613178	IS_AST_PARENT	
2613174	2613177	IS_AST_PARENT	
2613173	2613174	IS_AST_PARENT	
2613071	2613173	IS_AST_PARENT	
2613182	2613183	IS_AST_PARENT	
2613181	2613182	IS_AST_PARENT	
2613185	2613186	IS_AST_PARENT	
2613184	2613185	IS_AST_PARENT	
