command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	2784092	File	/home/p4ultr4n/workplace/ReVeal/raw_code/drawbox_1.c								
ANR	2784093	Function	drawbox	1:0:0:1137							
ANR	2784094	FunctionDef	"drawbox (AVFilterBufferRef * picref , unsigned int x , unsigned int y , unsigned int width , unsigned int height , uint8_t * line [ 4 ] , int pixel_step [ 4 ] , uint8_t color [ 4 ] , int hsub , int vsub , int is_rgba_packed , uint8_t rgba_map [ 4 ])"		2784093	0					
ANR	2784095	CompoundStatement		9:0:328:1137	2784093	0					
ANR	2784096	IdentifierDeclStatement	"int i , j , alpha ;"	11:4:335:350	2784093	0	True				
ANR	2784097	IdentifierDecl	i		2784093	0					
ANR	2784098	IdentifierDeclType	int		2784093	0					
ANR	2784099	Identifier	i		2784093	1					
ANR	2784100	IdentifierDecl	j		2784093	1					
ANR	2784101	IdentifierDeclType	int		2784093	0					
ANR	2784102	Identifier	j		2784093	1					
ANR	2784103	IdentifierDecl	alpha		2784093	2					
ANR	2784104	IdentifierDeclType	int		2784093	0					
ANR	2784105	Identifier	alpha		2784093	1					
ANR	2784106	IfStatement	if ( color [ 3 ] != 0xFF )		2784093	1					
ANR	2784107	Condition	color [ 3 ] != 0xFF	15:8:363:378	2784093	0	True				
ANR	2784108	EqualityExpression	color [ 3 ] != 0xFF		2784093	0		!=			
ANR	2784109	ArrayIndexing	color [ 3 ]		2784093	0					
ANR	2784110	Identifier	color		2784093	0					
ANR	2784111	PrimaryExpression	3		2784093	1					
ANR	2784112	PrimaryExpression	0xFF		2784093	1					
ANR	2784113	CompoundStatement		7:26:52:52	2784093	1					
ANR	2784114	IfStatement	if ( is_rgba_packed )		2784093	0					
ANR	2784115	Condition	is_rgba_packed	17:12:396:409	2784093	0	True				
ANR	2784116	Identifier	is_rgba_packed		2784093	0					
ANR	2784117	CompoundStatement		11:12:98:108	2784093	1					
ANR	2784118	IdentifierDeclStatement	uint8_t * p ;	19:12:427:437	2784093	0	True				
ANR	2784119	IdentifierDecl	* p		2784093	0					
ANR	2784120	IdentifierDeclType	uint8_t *		2784093	0					
