start	end	type	var
2842075	2842076	IS_AST_PARENT	
2842075	2842077	IS_AST_PARENT	
2842075	2842078	IS_AST_PARENT	
2842080	2842081	IS_AST_PARENT	
2842080	2842082	IS_AST_PARENT	
2842079	2842080	IS_AST_PARENT	
2842075	2842079	IS_AST_PARENT	
2842083	2842080	FLOWS_TO	
2842080	2842084	FLOWS_TO	
2842080	2842085	DEF	
2842083	2842080	CONTROLS	
2842080	2842084	DOM	
2842083	2842083	DOM	
2842083	2842080	DOM	
2842084	2842084	POST_DOM	
2842080	2842083	POST_DOM	
2842084	2842080	POST_DOM	
2842074	2842075	IS_FUNCTION_OF_AST	
2842074	2842083	IS_FUNCTION_OF_CFG	
2842073	2842074	IS_FILE_OF	
