command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	2941494	File	/home/p4ultr4n/workplace/ReVeal/raw_code/ehci_state_executing_0.c								
ANR	2941495	Function	ehci_state_executing	1:0:0:961							
ANR	2941496	FunctionDef	ehci_state_executing (EHCIQueue * q)		2941495	0					
ANR	2941497	CompoundStatement		3:0:47:961	2941495	0					
ANR	2941498	IdentifierDeclStatement	EHCIPacket * p = QTAILQ_FIRST ( & q -> packets ) ;	5:4:54:95	2941495	0	True				
ANR	2941499	IdentifierDecl	* p = QTAILQ_FIRST ( & q -> packets )		2941495	0					
ANR	2941500	IdentifierDeclType	EHCIPacket *		2941495	0					
ANR	2941501	Identifier	p		2941495	1					
ANR	2941502	AssignmentExpression	* p = QTAILQ_FIRST ( & q -> packets )		2941495	2		=			
ANR	2941503	Identifier	p		2941495	0					
ANR	2941504	CallExpression	QTAILQ_FIRST ( & q -> packets )		2941495	1					
ANR	2941505	Callee	QTAILQ_FIRST		2941495	0					
ANR	2941506	Identifier	QTAILQ_FIRST		2941495	0					
ANR	2941507	ArgumentList	& q -> packets		2941495	1					
ANR	2941508	Argument	& q -> packets		2941495	0					
ANR	2941509	UnaryOperationExpression	& q -> packets		2941495	0					
ANR	2941510	UnaryOperator	&		2941495	0					
ANR	2941511	PtrMemberAccess	q -> packets		2941495	1					
ANR	2941512	Identifier	q		2941495	0					
ANR	2941513	Identifier	packets		2941495	1					
ANR	2941514	IdentifierDeclStatement	int again = 0 ;	7:4:102:115	2941495	1	True				
ANR	2941515	IdentifierDecl	again = 0		2941495	0					
ANR	2941516	IdentifierDeclType	int		2941495	0					
ANR	2941517	Identifier	again		2941495	1					
ANR	2941518	AssignmentExpression	again = 0		2941495	2		=			
ANR	2941519	Identifier	again		2941495	0					
ANR	2941520	PrimaryExpression	0		2941495	1					
ANR	2941521	ExpressionStatement	assert ( p != NULL )	11:4:124:141	2941495	2	True				
ANR	2941522	CallExpression	assert ( p != NULL )		2941495	0					
ANR	2941523	Callee	assert		2941495	0					
ANR	2941524	Identifier	assert		2941495	0					
ANR	2941525	ArgumentList	p != NULL		2941495	1					
ANR	2941526	Argument	p != NULL		2941495	0					
ANR	2941527	EqualityExpression	p != NULL		2941495	0		!=			
ANR	2941528	Identifier	p		2941495	0					
ANR	2941529	Identifier	NULL		2941495	1					
ANR	2941530	ExpressionStatement	assert ( p -> qtdaddr == q -> qtdaddr )	13:4:148:180	2941495	3	True				
ANR	2941531	CallExpression	assert ( p -> qtdaddr == q -> qtdaddr )		2941495	0					
ANR	2941532	Callee	assert		2941495	0					
ANR	2941533	Identifier	assert		2941495	0					
ANR	2941534	ArgumentList	p -> qtdaddr == q -> qtdaddr		2941495	1					
ANR	2941535	Argument	p -> qtdaddr == q -> qtdaddr		2941495	0					
ANR	2941536	EqualityExpression	p -> qtdaddr == q -> qtdaddr		2941495	0		==			
ANR	2941537	PtrMemberAccess	p -> qtdaddr		2941495	0					
ANR	2941538	Identifier	p		2941495	0					
ANR	2941539	Identifier	qtdaddr		2941495	1					
ANR	2941540	PtrMemberAccess	q -> qtdaddr		2941495	1					
ANR	2941541	Identifier	q		2941495	0					
ANR	2941542	Identifier	qtdaddr		2941495	1					
ANR	2941543	ExpressionStatement	ehci_execute_complete ( q )	17:4:189:213	2941495	4	True				
ANR	2941544	CallExpression	ehci_execute_complete ( q )		2941495	0					
ANR	2941545	Callee	ehci_execute_complete		2941495	0					
ANR	2941546	Identifier	ehci_execute_complete		2941495	0					
ANR	2941547	ArgumentList	q		2941495	1					
ANR	2941548	Argument	q		2941495	0					
ANR	2941549	Identifier	q		2941495	0					
ANR	2941550	IfStatement	if ( p -> usb_status == USB_RET_ASYNC )		2941495	5					
ANR	2941551	Condition	p -> usb_status == USB_RET_ASYNC	19:8:224:253	2941495	0	True				
ANR	2941552	EqualityExpression	p -> usb_status == USB_RET_ASYNC		2941495	0		==			
ANR	2941553	PtrMemberAccess	p -> usb_status		2941495	0					
ANR	2941554	Identifier	p		2941495	0					
ANR	2941555	Identifier	usb_status		2941495	1					
ANR	2941556	Identifier	USB_RET_ASYNC		2941495	1					
ANR	2941557	CompoundStatement		17:40:208:208	2941495	1					
ANR	2941558	GotoStatement	goto out ;	21:8:267:275	2941495	0	True				
ANR	2941559	Identifier	out		2941495	0					
ANR	2941560	IfStatement	if ( p -> usb_status == USB_RET_PROCERR )		2941495	6					
ANR	2941561	Condition	p -> usb_status == USB_RET_PROCERR	25:8:293:324	2941495	0	True				
ANR	2941562	EqualityExpression	p -> usb_status == USB_RET_PROCERR		2941495	0		==			
ANR	2941563	PtrMemberAccess	p -> usb_status		2941495	0					
ANR	2941564	Identifier	p		2941495	0					
ANR	2941565	Identifier	usb_status		2941495	1					
