start	end	type	var
3171267	3171268	IS_AST_PARENT	
3171267	3171269	IS_AST_PARENT	
3171266	3171267	IS_AST_PARENT	
3171270	3171271	IS_AST_PARENT	
3171270	3171272	IS_AST_PARENT	
3171266	3171270	IS_AST_PARENT	
3171273	3171274	IS_AST_PARENT	
3171273	3171275	IS_AST_PARENT	
3171266	3171273	IS_AST_PARENT	
3171276	3171277	IS_AST_PARENT	
3171276	3171278	IS_AST_PARENT	
3171266	3171276	IS_AST_PARENT	
3171279	3171280	IS_AST_PARENT	
3171279	3171281	IS_AST_PARENT	
3171266	3171279	IS_AST_PARENT	
3171265	3171266	IS_AST_PARENT	
3171283	3171284	IS_AST_PARENT	
3171283	3171285	IS_AST_PARENT	
3171286	3171287	IS_AST_PARENT	
3171290	3171291	IS_AST_PARENT	
3171290	3171292	IS_AST_PARENT	
3171289	3171290	IS_AST_PARENT	
3171288	3171289	IS_AST_PARENT	
3171288	3171293	IS_AST_PARENT	
3171288	3171294	IS_AST_PARENT	
3171286	3171288	IS_AST_PARENT	
3171283	3171286	IS_AST_PARENT	
3171282	3171283	IS_AST_PARENT	
3171265	3171282	IS_AST_PARENT	
3171296	3171297	IS_AST_PARENT	
3171296	3171298	IS_AST_PARENT	
3171299	3171300	IS_AST_PARENT	
3171304	3171305	IS_AST_PARENT	
3171304	3171306	IS_AST_PARENT	
3171303	3171304	IS_AST_PARENT	
3171303	3171307	IS_AST_PARENT	
3171302	3171303	IS_AST_PARENT	
3171302	3171308	IS_AST_PARENT	
3171301	3171302	IS_AST_PARENT	
3171301	3171309	IS_AST_PARENT	
3171299	3171301	IS_AST_PARENT	
3171296	3171299	IS_AST_PARENT	
3171295	3171296	IS_AST_PARENT	
3171265	3171295	IS_AST_PARENT	
3171312	3171313	IS_AST_PARENT	
3171311	3171312	IS_AST_PARENT	
3171316	3171317	IS_AST_PARENT	
3171318	3171319	IS_AST_PARENT	
3171318	3171320	IS_AST_PARENT	
3171316	3171318	IS_AST_PARENT	
3171315	3171316	IS_AST_PARENT	
3171314	3171315	IS_AST_PARENT	
3171321	3171322	IS_AST_PARENT	
3171314	3171321	IS_AST_PARENT	
3171324	3171325	IS_AST_PARENT	
3171326	3171327	IS_AST_PARENT	
3171329	3171330	IS_AST_PARENT	
3171329	3171331	IS_AST_PARENT	
3171328	3171329	IS_AST_PARENT	
3171328	3171332	IS_AST_PARENT	
3171326	3171328	IS_AST_PARENT	
3171324	3171326	IS_AST_PARENT	
3171323	3171324	IS_AST_PARENT	
3171314	3171323	IS_AST_PARENT	
3171311	3171314	IS_AST_PARENT	
3171310	3171311	IS_AST_PARENT	
3171265	3171310	IS_AST_PARENT	
3171335	3171336	IS_AST_PARENT	
3171338	3171339	IS_AST_PARENT	
3171338	3171340	IS_AST_PARENT	
3171337	3171338	IS_AST_PARENT	
3171337	3171341	IS_AST_PARENT	
3171335	3171337	IS_AST_PARENT	
3171334	3171335	IS_AST_PARENT	
3171333	3171334	IS_AST_PARENT	
3171333	3171342	IS_AST_PARENT	
3171265	3171333	IS_AST_PARENT	
3171345	3171346	IS_AST_PARENT	
3171345	3171347	IS_AST_PARENT	
3171344	3171345	IS_AST_PARENT	
3171343	3171344	IS_AST_PARENT	
3171349	3171350	IS_AST_PARENT	
3171352	3171353	IS_AST_PARENT	
3171352	3171354	IS_AST_PARENT	
3171351	3171352	IS_AST_PARENT	
3171351	3171355	IS_AST_PARENT	
3171349	3171351	IS_AST_PARENT	
3171348	3171349	IS_AST_PARENT	
3171343	3171348	IS_AST_PARENT	
3171356	3171357	IS_AST_PARENT	
3171356	3171358	IS_AST_PARENT	
3171343	3171356	IS_AST_PARENT	
3171362	3171363	IS_AST_PARENT	
3171361	3171362	IS_AST_PARENT	
3171366	3171367	IS_AST_PARENT	
3171368	3171369	IS_AST_PARENT	
3171368	3171370	IS_AST_PARENT	
3171366	3171368	IS_AST_PARENT	
3171365	3171366	IS_AST_PARENT	
3171364	3171365	IS_AST_PARENT	
3171372	3171373	IS_AST_PARENT	
3171372	3171374	IS_AST_PARENT	
3171371	3171372	IS_AST_PARENT	
3171364	3171371	IS_AST_PARENT	
3171378	3171379	IS_AST_PARENT	
3171378	3171380	IS_AST_PARENT	
3171377	3171378	IS_AST_PARENT	
3171377	3171381	IS_AST_PARENT	
3171376	3171377	IS_AST_PARENT	
3171376	3171382	IS_AST_PARENT	
3171375	3171376	IS_AST_PARENT	
3171364	3171375	IS_AST_PARENT	
3171361	3171364	IS_AST_PARENT	
3171360	3171361	IS_AST_PARENT	
3171359	3171360	IS_AST_PARENT	
3171387	3171388	IS_AST_PARENT	
3171387	3171389	IS_AST_PARENT	
3171386	3171387	IS_AST_PARENT	
3171386	3171390	IS_AST_PARENT	
3171385	3171386	IS_AST_PARENT	
3171385	3171391	IS_AST_PARENT	
3171384	3171385	IS_AST_PARENT	
3171383	3171384	IS_AST_PARENT	
3171395	3171396	IS_AST_PARENT	
3171394	3171395	IS_AST_PARENT	
3171399	3171400	IS_AST_PARENT	
3171401	3171402	IS_AST_PARENT	
3171401	3171403	IS_AST_PARENT	
3171399	3171401	IS_AST_PARENT	
3171398	3171399	IS_AST_PARENT	
3171397	3171398	IS_AST_PARENT	
3171404	3171405	IS_AST_PARENT	
3171397	3171404	IS_AST_PARENT	
3171407	3171408	IS_AST_PARENT	
3171409	3171410	IS_AST_PARENT	
3171409	3171411	IS_AST_PARENT	
3171407	3171409	IS_AST_PARENT	
3171406	3171407	IS_AST_PARENT	
3171397	3171406	IS_AST_PARENT	
3171394	3171397	IS_AST_PARENT	
3171393	3171394	IS_AST_PARENT	
3171392	3171393	IS_AST_PARENT	
3171414	3171415	IS_AST_PARENT	
3171414	3171416	IS_AST_PARENT	
3171413	3171414	IS_AST_PARENT	
3171412	3171413	IS_AST_PARENT	
3171418	3171419	IS_AST_PARENT	
3171422	3171423	IS_AST_PARENT	
3171422	3171424	IS_AST_PARENT	
3171421	3171422	IS_AST_PARENT	
3171421	3171425	IS_AST_PARENT	
3171420	3171421	IS_AST_PARENT	
3171420	3171426	IS_AST_PARENT	
3171418	3171420	IS_AST_PARENT	
3171417	3171418	IS_AST_PARENT	
3171412	3171417	IS_AST_PARENT	
3171427	3171428	IS_AST_PARENT	
3171427	3171429	IS_AST_PARENT	
3171412	3171427	IS_AST_PARENT	
3171433	3171434	IS_AST_PARENT	
3171432	3171433	IS_AST_PARENT	
3171437	3171438	IS_AST_PARENT	
3171439	3171440	IS_AST_PARENT	
3171439	3171441	IS_AST_PARENT	
3171437	3171439	IS_AST_PARENT	
3171436	3171437	IS_AST_PARENT	
3171435	3171436	IS_AST_PARENT	
3171443	3171444	IS_AST_PARENT	
3171445	3171446	IS_AST_PARENT	
3171445	3171447	IS_AST_PARENT	
3171443	3171445	IS_AST_PARENT	
3171442	3171443	IS_AST_PARENT	
3171435	3171442	IS_AST_PARENT	
3171452	3171453	IS_AST_PARENT	
3171452	3171454	IS_AST_PARENT	
3171451	3171452	IS_AST_PARENT	
3171451	3171455	IS_AST_PARENT	
3171450	3171451	IS_AST_PARENT	
3171450	3171456	IS_AST_PARENT	
3171449	3171450	IS_AST_PARENT	
3171449	3171457	IS_AST_PARENT	
3171448	3171449	IS_AST_PARENT	
3171435	3171448	IS_AST_PARENT	
3171432	3171435	IS_AST_PARENT	
3171431	3171432	IS_AST_PARENT	
3171430	3171431	IS_AST_PARENT	
3171460	3171461	IS_AST_PARENT	
3171459	3171460	IS_AST_PARENT	
3171464	3171465	IS_AST_PARENT	
3171466	3171467	IS_AST_PARENT	
3171466	3171468	IS_AST_PARENT	
3171464	3171466	IS_AST_PARENT	
3171463	3171464	IS_AST_PARENT	
3171462	3171463	IS_AST_PARENT	
3171470	3171471	IS_AST_PARENT	
3171472	3171473	IS_AST_PARENT	
