start	end	type	var
3320151	3320152	IS_AST_PARENT	
3320151	3320153	IS_AST_PARENT	
3320150	3320151	IS_AST_PARENT	
3320154	3320155	IS_AST_PARENT	
3320154	3320156	IS_AST_PARENT	
3320150	3320154	IS_AST_PARENT	
3320157	3320158	IS_AST_PARENT	
3320157	3320159	IS_AST_PARENT	
3320150	3320157	IS_AST_PARENT	
3320149	3320150	IS_AST_PARENT	
3320161	3320162	IS_AST_PARENT	
3320161	3320163	IS_AST_PARENT	
3320160	3320161	IS_AST_PARENT	
3320149	3320160	IS_AST_PARENT	
3320166	3320167	IS_AST_PARENT	
3320166	3320168	IS_AST_PARENT	
3320165	3320166	IS_AST_PARENT	
3320165	3320169	IS_AST_PARENT	
3320164	3320165	IS_AST_PARENT	
3320149	3320164	IS_AST_PARENT	
3320149	3320170	IS_AST_PARENT	
3320149	3320171	IS_AST_PARENT	
3320176	3320177	IS_AST_PARENT	
3320176	3320178	IS_AST_PARENT	
3320175	3320176	IS_AST_PARENT	
3320175	3320179	IS_AST_PARENT	
3320174	3320175	IS_AST_PARENT	
3320182	3320183	IS_AST_PARENT	
3320184	3320185	IS_AST_PARENT	
3320184	3320186	IS_AST_PARENT	
3320182	3320184	IS_AST_PARENT	
3320181	3320182	IS_AST_PARENT	
3320181	3320187	IS_AST_PARENT	
3320180	3320181	IS_AST_PARENT	
3320189	3320190	IS_AST_PARENT	
3320191	3320192	IS_AST_PARENT	
3320191	3320193	IS_AST_PARENT	
3320189	3320191	IS_AST_PARENT	
3320188	3320189	IS_AST_PARENT	
3320188	3320194	IS_AST_PARENT	
3320180	3320188	IS_AST_PARENT	
3320174	3320180	IS_AST_PARENT	
3320173	3320174	IS_AST_PARENT	
3320172	3320173	IS_AST_PARENT	
3320200	3320201	IS_AST_PARENT	
3320202	3320203	IS_AST_PARENT	
3320202	3320204	IS_AST_PARENT	
3320200	3320202	IS_AST_PARENT	
3320199	3320200	IS_AST_PARENT	
3320199	3320205	IS_AST_PARENT	
3320198	3320199	IS_AST_PARENT	
3320207	3320208	IS_AST_PARENT	
3320209	3320210	IS_AST_PARENT	
3320209	3320211	IS_AST_PARENT	
3320207	3320209	IS_AST_PARENT	
3320206	3320207	IS_AST_PARENT	
3320206	3320212	IS_AST_PARENT	
3320198	3320206	IS_AST_PARENT	
3320197	3320198	IS_AST_PARENT	
3320196	3320197	IS_AST_PARENT	
3320215	3320216	IS_AST_PARENT	
3320215	3320217	IS_AST_PARENT	
3320214	3320215	IS_AST_PARENT	
3320213	3320214	IS_AST_PARENT	
3320196	3320213	IS_AST_PARENT	
3320195	3320196	IS_AST_PARENT	
3320195	3320218	IS_AST_PARENT	
3320172	3320195	IS_AST_PARENT	
3320149	3320172	IS_AST_PARENT	
3320149	3320219	IS_AST_PARENT	
3320149	3320220	IS_AST_PARENT	
3320224	3320225	IS_AST_PARENT	
3320224	3320226	IS_AST_PARENT	
3320223	3320224	IS_AST_PARENT	
3320227	3320228	IS_AST_PARENT	
3320229	3320230	IS_AST_PARENT	
3320229	3320231	IS_AST_PARENT	
3320227	3320229	IS_AST_PARENT	
3320223	3320227	IS_AST_PARENT	
3320222	3320223	IS_AST_PARENT	
3320221	3320222	IS_AST_PARENT	
3320233	3320234	IS_AST_PARENT	
3320233	3320235	IS_AST_PARENT	
3320232	3320233	IS_AST_PARENT	
3320221	3320232	IS_AST_PARENT	
3320149	3320221	IS_AST_PARENT	
3320238	3320239	IS_AST_PARENT	
3320238	3320240	IS_AST_PARENT	
3320237	3320238	IS_AST_PARENT	
3320236	3320237	IS_AST_PARENT	
3320236	3320241	IS_AST_PARENT	
3320149	3320236	IS_AST_PARENT	
3320149	3320242	IS_AST_PARENT	
3320245	3320246	IS_AST_PARENT	
3320245	3320247	IS_AST_PARENT	
3320244	3320245	IS_AST_PARENT	
3320243	3320244	IS_AST_PARENT	
3320250	3320251	IS_AST_PARENT	
3320250	3320252	IS_AST_PARENT	
3320249	3320250	IS_AST_PARENT	
3320249	3320253	IS_AST_PARENT	
3320248	3320249	IS_AST_PARENT	
3320243	3320248	IS_AST_PARENT	
3320254	3320255	IS_AST_PARENT	
3320254	3320256	IS_AST_PARENT	
3320243	3320254	IS_AST_PARENT	
3320257	3320258	IS_AST_PARENT	
3320257	3320259	IS_AST_PARENT	
3320257	3320260	IS_AST_PARENT	
3320257	3320261	IS_AST_PARENT	
3320257	3320262	IS_AST_PARENT	
3320257	3320263	IS_AST_PARENT	
3320257	3320264	IS_AST_PARENT	
3320257	3320265	IS_AST_PARENT	
3320257	3320266	IS_AST_PARENT	
3320257	3320267	IS_AST_PARENT	
3320257	3320268	IS_AST_PARENT	
3320257	3320269	IS_AST_PARENT	
3320257	3320270	IS_AST_PARENT	
3320257	3320271	IS_AST_PARENT	
3320257	3320272	IS_AST_PARENT	
3320257	3320273	IS_AST_PARENT	
3320257	3320274	IS_AST_PARENT	
3320257	3320275	IS_AST_PARENT	
3320257	3320276	IS_AST_PARENT	
3320257	3320277	IS_AST_PARENT	
3320257	3320278	IS_AST_PARENT	
3320257	3320279	IS_AST_PARENT	
3320257	3320280	IS_AST_PARENT	
3320257	3320281	IS_AST_PARENT	
3320257	3320282	IS_AST_PARENT	
3320257	3320283	IS_AST_PARENT	
3320257	3320284	IS_AST_PARENT	
3320257	3320285	IS_AST_PARENT	
3320257	3320286	IS_AST_PARENT	
3320257	3320287	IS_AST_PARENT	
3320288	3320289	IS_AST_PARENT	
3320257	3320288	IS_AST_PARENT	
3320290	3320291	IS_AST_PARENT	
3320257	3320290	IS_AST_PARENT	
3320293	3320294	IS_AST_PARENT	
3320293	3320295	IS_AST_PARENT	
3320292	3320293	IS_AST_PARENT	
3320257	3320292	IS_AST_PARENT	
3320243	3320257	IS_AST_PARENT	
3320149	3320243	IS_AST_PARENT	
3320298	3320299	IS_AST_PARENT	
3320300	3320301	IS_AST_PARENT	
3320300	3320302	IS_AST_PARENT	
3320298	3320300	IS_AST_PARENT	
3320297	3320298	IS_AST_PARENT	
3320296	3320297	IS_AST_PARENT	
3320306	3320307	IS_AST_PARENT	
3320306	3320308	IS_AST_PARENT	
3320305	3320306	IS_AST_PARENT	
3320310	3320311	IS_AST_PARENT	
3320310	3320312	IS_AST_PARENT	
3320309	3320310	IS_AST_PARENT	
3320309	3320313	IS_AST_PARENT	
3320305	3320309	IS_AST_PARENT	
3320304	3320305	IS_AST_PARENT	
3320303	3320304	IS_AST_PARENT	
3320316	3320317	IS_AST_PARENT	
3320316	3320318	IS_AST_PARENT	
3320315	3320316	IS_AST_PARENT	
3320320	3320321	IS_AST_PARENT	
3320320	3320322	IS_AST_PARENT	
3320319	3320320	IS_AST_PARENT	
3320319	3320323	IS_AST_PARENT	
3320315	3320319	IS_AST_PARENT	
3320314	3320315	IS_AST_PARENT	
3320303	3320314	IS_AST_PARENT	
3320324	3320325	IS_AST_PARENT	
3320303	3320324	IS_AST_PARENT	
3320296	3320303	IS_AST_PARENT	
3320149	3320296	IS_AST_PARENT	
3320328	3320329	IS_AST_PARENT	
3320327	3320328	IS_AST_PARENT	
3320332	3320333	IS_AST_PARENT	
3320334	3320335	IS_AST_PARENT	
3320334	3320336	IS_AST_PARENT	
3320332	3320334	IS_AST_PARENT	
3320331	3320332	IS_AST_PARENT	
3320330	3320331	IS_AST_PARENT	
3320338	3320339	IS_AST_PARENT	
3320340	3320341	IS_AST_PARENT	
3320340	3320342	IS_AST_PARENT	
3320338	3320340	IS_AST_PARENT	
3320337	3320338	IS_AST_PARENT	
3320330	3320337	IS_AST_PARENT	
3320344	3320345	IS_AST_PARENT	
3320344	3320346	IS_AST_PARENT	
3320343	3320344	IS_AST_PARENT	
3320330	3320343	IS_AST_PARENT	
3320327	3320330	IS_AST_PARENT	
3320326	3320327	IS_AST_PARENT	
3320149	3320326	IS_AST_PARENT	
3320349	3320350	IS_AST_PARENT	
3320351	3320352	IS_AST_PARENT	
3320351	3320353	IS_AST_PARENT	
3320349	3320351	IS_AST_PARENT	
3320348	3320349	IS_AST_PARENT	
3320347	3320348	IS_AST_PARENT	
3320356	3320357	IS_AST_PARENT	
3320355	3320356	IS_AST_PARENT	
3320359	3320360	IS_AST_PARENT	
3320358	3320359	IS_AST_PARENT	
3320355	3320358	IS_AST_PARENT	
3320354	3320355	IS_AST_PARENT	
3320347	3320354	IS_AST_PARENT	
3320149	3320347	IS_AST_PARENT	
3320362	3320363	IS_AST_PARENT	
3320364	3320365	IS_AST_PARENT	
3320364	3320366	IS_AST_PARENT	
3320362	3320364	IS_AST_PARENT	
3320361	3320362	IS_AST_PARENT	
3320149	3320361	IS_AST_PARENT	
3320369	3320370	IS_AST_PARENT	
3320368	3320369	IS_AST_PARENT	
3320372	3320373	IS_AST_PARENT	
3320371	3320372	IS_AST_PARENT	
3320374	3320375	IS_AST_PARENT	
3320371	3320374	IS_AST_PARENT	
3320376	3320377	IS_AST_PARENT	
3320371	3320376	IS_AST_PARENT	
3320368	3320371	IS_AST_PARENT	
3320367	3320368	IS_AST_PARENT	
3320149	3320367	IS_AST_PARENT	
3320379	3320380	IS_AST_PARENT	
3320381	3320382	IS_AST_PARENT	
3320381	3320383	IS_AST_PARENT	
3320379	3320381	IS_AST_PARENT	
3320378	3320379	IS_AST_PARENT	
3320149	3320378	IS_AST_PARENT	
3320387	3320388	IS_AST_PARENT	
3320387	3320389	IS_AST_PARENT	
3320386	3320387	IS_AST_PARENT	
3320386	3320390	IS_AST_PARENT	
3320385	3320386	IS_AST_PARENT	
3320384	3320385	IS_AST_PARENT	
3320395	3320396	IS_AST_PARENT	
3320397	3320398	IS_AST_PARENT	
3320397	3320399	IS_AST_PARENT	
3320395	3320397	IS_AST_PARENT	
3320394	3320395	IS_AST_PARENT	
3320394	3320400	IS_AST_PARENT	
3320393	3320394	IS_AST_PARENT	
3320392	3320393	IS_AST_PARENT	
3320404	3320405	IS_AST_PARENT	
3320406	3320407	IS_AST_PARENT	
3320406	3320408	IS_AST_PARENT	
3320404	3320406	IS_AST_PARENT	
3320403	3320404	IS_AST_PARENT	
3320409	3320410	IS_AST_PARENT	
3320411	3320412	IS_AST_PARENT	
3320411	3320413	IS_AST_PARENT	
3320409	3320411	IS_AST_PARENT	
3320403	3320409	IS_AST_PARENT	
3320402	3320403	IS_AST_PARENT	
3320401	3320402	IS_AST_PARENT	
3320416	3320417	IS_AST_PARENT	
3320418	3320419	IS_AST_PARENT	
3320418	3320420	IS_AST_PARENT	
3320416	3320418	IS_AST_PARENT	
3320415	3320416	IS_AST_PARENT	
3320421	3320422	IS_AST_PARENT	
3320423	3320424	IS_AST_PARENT	
3320423	3320425	IS_AST_PARENT	
3320421	3320423	IS_AST_PARENT	
3320415	3320421	IS_AST_PARENT	
3320414	3320415	IS_AST_PARENT	
3320401	3320414	IS_AST_PARENT	
3320392	3320401	IS_AST_PARENT	
3320431	3320432	IS_AST_PARENT	
3320431	3320433	IS_AST_PARENT	
3320430	3320431	IS_AST_PARENT	
3320430	3320434	IS_AST_PARENT	
3320429	3320430	IS_AST_PARENT	
3320437	3320438	IS_AST_PARENT	
3320439	3320440	IS_AST_PARENT	
3320439	3320441	IS_AST_PARENT	
3320437	3320439	IS_AST_PARENT	
3320436	3320437	IS_AST_PARENT	
3320436	3320442	IS_AST_PARENT	
3320435	3320436	IS_AST_PARENT	
3320444	3320445	IS_AST_PARENT	
3320446	3320447	IS_AST_PARENT	
3320446	3320448	IS_AST_PARENT	
3320444	3320446	IS_AST_PARENT	
3320443	3320444	IS_AST_PARENT	
3320443	3320449	IS_AST_PARENT	
3320435	3320443	IS_AST_PARENT	
3320429	3320435	IS_AST_PARENT	
3320428	3320429	IS_AST_PARENT	
3320427	3320428	IS_AST_PARENT	
3320454	3320455	IS_AST_PARENT	
3320456	3320457	IS_AST_PARENT	
3320456	3320458	IS_AST_PARENT	
3320454	3320456	IS_AST_PARENT	
3320453	3320454	IS_AST_PARENT	
3320453	3320459	IS_AST_PARENT	
3320452	3320453	IS_AST_PARENT	
3320451	3320452	IS_AST_PARENT	
3320463	3320464	IS_AST_PARENT	
3320465	3320466	IS_AST_PARENT	
3320465	3320467	IS_AST_PARENT	
3320463	3320465	IS_AST_PARENT	
3320462	3320463	IS_AST_PARENT	
3320462	3320468	IS_AST_PARENT	
3320461	3320462	IS_AST_PARENT	
3320460	3320461	IS_AST_PARENT	
3320471	3320472	IS_AST_PARENT	
3320473	3320474	IS_AST_PARENT	
3320473	3320475	IS_AST_PARENT	
3320471	3320473	IS_AST_PARENT	
3320470	3320471	IS_AST_PARENT	
3320470	3320476	IS_AST_PARENT	
