command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	3564561	File	/home/p4ultr4n/workplace/ReVeal/raw_code/ff_mpeg4_frame_end_1.c								
ANR	3564562	Function	ff_mpeg4_frame_end	1:0:0:1489							
ANR	3564563	FunctionDef	"ff_mpeg4_frame_end (AVCodecContext * avctx , const uint8_t * buf , int buf_size)"		3564562	0					
ANR	3564564	CompoundStatement		3:0:81:1489	3564562	0					
ANR	3564565	IdentifierDeclStatement	Mpeg4DecContext * ctx = avctx -> priv_data ;	5:4:88:127	3564562	0	True				
ANR	3564566	IdentifierDecl	* ctx = avctx -> priv_data		3564562	0					
ANR	3564567	IdentifierDeclType	Mpeg4DecContext *		3564562	0					
ANR	3564568	Identifier	ctx		3564562	1					
ANR	3564569	AssignmentExpression	* ctx = avctx -> priv_data		3564562	2		=			
ANR	3564570	Identifier	ctx		3564562	0					
ANR	3564571	PtrMemberAccess	avctx -> priv_data		3564562	1					
ANR	3564572	Identifier	avctx		3564562	0					
ANR	3564573	Identifier	priv_data		3564562	1					
ANR	3564574	IdentifierDeclStatement	MpegEncContext * s = & ctx -> m ;	7:4:134:164	3564562	1	True				
ANR	3564575	IdentifierDecl	* s = & ctx -> m		3564562	0					
ANR	3564576	IdentifierDeclType	MpegEncContext *		3564562	0					
ANR	3564577	Identifier	s		3564562	1					
ANR	3564578	AssignmentExpression	* s = & ctx -> m		3564562	2		=			
ANR	3564579	Identifier	s		3564562	0					
ANR	3564580	UnaryOperationExpression	& ctx -> m		3564562	1					
ANR	3564581	UnaryOperator	&		3564562	0					
ANR	3564582	PtrMemberAccess	ctx -> m		3564562	1					
ANR	3564583	Identifier	ctx		3564562	0					
ANR	3564584	Identifier	m		3564562	1					
ANR	3564585	IfStatement	if ( s -> divx_packed )		3564562	2					
ANR	3564586	Condition	s -> divx_packed	17:8:378:391	3564562	0	True				
ANR	3564587	PtrMemberAccess	s -> divx_packed		3564562	0					
ANR	3564588	Identifier	s		3564562	0					
ANR	3564589	Identifier	divx_packed		3564562	1					
ANR	3564590	CompoundStatement		19:8:427:450	3564562	1					
ANR	3564591	IdentifierDeclStatement	int current_pos = s -> gb . buffer == s -> bitstream_buffer ? 0 : ( get_bits_count ( & s -> gb ) >> 3 ) ;	19:8:405:498	3564562	0	True				
ANR	3564592	IdentifierDecl	current_pos = s -> gb . buffer == s -> bitstream_buffer ? 0 : ( get_bits_count ( & s -> gb ) >> 3 )		3564562	0					
ANR	3564593	IdentifierDeclType	int		3564562	0					
ANR	3564594	Identifier	current_pos		3564562	1					
ANR	3564595	AssignmentExpression	current_pos = s -> gb . buffer == s -> bitstream_buffer ? 0 : ( get_bits_count ( & s -> gb ) >> 3 )		3564562	2		=			
ANR	3564596	Identifier	current_pos		3564562	0					
ANR	3564597	ConditionalExpression	s -> gb . buffer == s -> bitstream_buffer ? 0 : ( get_bits_count ( & s -> gb ) >> 3 )		3564562	1					
ANR	3564598	Condition	s -> gb . buffer == s -> bitstream_buffer		3564562	0					
ANR	3564599	EqualityExpression	s -> gb . buffer == s -> bitstream_buffer		3564562	0		==			
ANR	3564600	MemberAccess	s -> gb . buffer		3564562	0					
ANR	3564601	PtrMemberAccess	s -> gb		3564562	0					
ANR	3564602	Identifier	s		3564562	0					
ANR	3564603	Identifier	gb		3564562	1					
ANR	3564604	Identifier	buffer		3564562	1					
ANR	3564605	PtrMemberAccess	s -> bitstream_buffer		3564562	1					
ANR	3564606	Identifier	s		3564562	0					
ANR	3564607	Identifier	bitstream_buffer		3564562	1					
ANR	3564608	PrimaryExpression	0		3564562	1					
ANR	3564609	ShiftExpression	get_bits_count ( & s -> gb ) >> 3		3564562	2		>>			
ANR	3564610	CallExpression	get_bits_count ( & s -> gb )		3564562	0					
ANR	3564611	Callee	get_bits_count		3564562	0					
ANR	3564612	Identifier	get_bits_count		3564562	0					
ANR	3564613	ArgumentList	& s -> gb		3564562	1					
ANR	3564614	Argument	& s -> gb		3564562	0					
ANR	3564615	UnaryOperationExpression	& s -> gb		3564562	0					
ANR	3564616	UnaryOperator	&		3564562	0					
ANR	3564617	PtrMemberAccess	s -> gb		3564562	1					
ANR	3564618	Identifier	s		3564562	0					
ANR	3564619	Identifier	gb		3564562	1					
ANR	3564620	PrimaryExpression	3		3564562	1					
ANR	3564621	IdentifierDeclStatement	int startcode_found = 0 ;	21:8:509:532	3564562	1	True				
ANR	3564622	IdentifierDecl	startcode_found = 0		3564562	0					
ANR	3564623	IdentifierDeclType	int		3564562	0					
ANR	3564624	Identifier	startcode_found		3564562	1					
ANR	3564625	AssignmentExpression	startcode_found = 0		3564562	2		=			
ANR	3564626	Identifier	startcode_found		3564562	0					
ANR	3564627	PrimaryExpression	0		3564562	1					
ANR	3564628	IfStatement	if ( buf_size - current_pos > 7 )		3564562	2					
ANR	3564629	Condition	buf_size - current_pos > 7	25:12:549:574	3564562	0	True				
ANR	3564630	RelationalExpression	buf_size - current_pos > 7		3564562	0		>			
ANR	3564631	AdditiveExpression	buf_size - current_pos		3564562	0		-			
ANR	3564632	Identifier	buf_size		3564562	0					
ANR	3564633	Identifier	current_pos		3564562	1					
ANR	3564634	PrimaryExpression	7		3564562	1					
ANR	3564635	CompoundStatement		27:12:512:517	3564562	1					
ANR	3564636	IdentifierDeclStatement	int i ;	29:12:594:599	3564562	0	True				
ANR	3564637	IdentifierDecl	i		3564562	0					
ANR	3564638	IdentifierDeclType	int		3564562	0					
ANR	3564639	Identifier	i		3564562	1					
ANR	3564640	ForStatement	for ( i = current_pos ; i < buf_size - 4 ; i ++ )		3564562	1					
ANR	3564641	ForInit	i = current_pos ;	31:17:619:634	3564562	0	True				
ANR	3564642	AssignmentExpression	i = current_pos		3564562	0		=			
ANR	3564643	Identifier	i		3564562	0					
ANR	3564644	Identifier	current_pos		3564562	1					
ANR	3564645	Condition	i < buf_size - 4	31:34:636:651	3564562	1	True				
ANR	3564646	RelationalExpression	i < buf_size - 4		3564562	0		<			
ANR	3564647	Identifier	i		3564562	0					
ANR	3564648	AdditiveExpression	buf_size - 4		3564562	1		-			
ANR	3564649	Identifier	buf_size		3564562	0					
ANR	3564650	PrimaryExpression	4		3564562	1					
ANR	3564651	PostIncDecOperationExpression	i ++	31:52:654:656	3564562	2	True				
ANR	3564652	Identifier	i		3564562	0					
ANR	3564653	IncDec	++		3564562	1					
ANR	3564654	IfStatement	if ( buf [ i ] == 0 && buf [ i + 1 ] == 0 && buf [ i + 2 ] == 1 && buf [ i + 3 ] == 0xB6 )		3564562	3					
ANR	3564655	Condition	buf [ i ] == 0 && buf [ i + 1 ] == 0 && buf [ i + 2 ] == 1 && buf [ i + 3 ] == 0xB6	35:20:682:819	3564562	0	True				
ANR	3564656	AndExpression	buf [ i ] == 0 && buf [ i + 1 ] == 0 && buf [ i + 2 ] == 1 && buf [ i + 3 ] == 0xB6		3564562	0		&&			
ANR	3564657	EqualityExpression	buf [ i ] == 0		3564562	0		==			
ANR	3564658	ArrayIndexing	buf [ i ]		3564562	0					
ANR	3564659	Identifier	buf		3564562	0					
