start	end	type	var
3659943	3659944	IS_AST_PARENT	
3659943	3659945	IS_AST_PARENT	
3659942	3659943	IS_AST_PARENT	
3659941	3659942	IS_AST_PARENT	
3659947	3659948	IS_AST_PARENT	
3659947	3659949	IS_AST_PARENT	
3659946	3659947	IS_AST_PARENT	
3659941	3659946	IS_AST_PARENT	
3659951	3659952	IS_AST_PARENT	
3659951	3659953	IS_AST_PARENT	
3659954	3659955	IS_AST_PARENT	
3659956	3659957	IS_AST_PARENT	
3659956	3659958	IS_AST_PARENT	
3659954	3659956	IS_AST_PARENT	
3659951	3659954	IS_AST_PARENT	
3659950	3659951	IS_AST_PARENT	
3659941	3659950	IS_AST_PARENT	
3659961	3659962	IS_AST_PARENT	
3659960	3659961	IS_AST_PARENT	
3659960	3659963	IS_AST_PARENT	
3659959	3659960	IS_AST_PARENT	
3659941	3659959	IS_AST_PARENT	
3659968	3659969	IS_AST_PARENT	
3659967	3659968	IS_AST_PARENT	
3659972	3659973	IS_AST_PARENT	
3659972	3659974	IS_AST_PARENT	
3659971	3659972	IS_AST_PARENT	
3659970	3659971	IS_AST_PARENT	
3659967	3659970	IS_AST_PARENT	
3659966	3659967	IS_AST_PARENT	
3659977	3659978	IS_AST_PARENT	
3659977	3659979	IS_AST_PARENT	
3659976	3659977	IS_AST_PARENT	
3659976	3659980	IS_AST_PARENT	
3659975	3659976	IS_AST_PARENT	
3659982	3659983	IS_AST_PARENT	
3659982	3659984	IS_AST_PARENT	
3659981	3659982	IS_AST_PARENT	
3659981	3659985	IS_AST_PARENT	
3659975	3659981	IS_AST_PARENT	
3659966	3659975	IS_AST_PARENT	
3659965	3659966	IS_AST_PARENT	
3659964	3659965	IS_AST_PARENT	
3659987	3659988	IS_AST_PARENT	
3659990	3659991	IS_AST_PARENT	
3659990	3659992	IS_AST_PARENT	
3659989	3659990	IS_AST_PARENT	
3659989	3659993	IS_AST_PARENT	
3659987	3659989	IS_AST_PARENT	
3659986	3659987	IS_AST_PARENT	
3659964	3659986	IS_AST_PARENT	
3659941	3659964	IS_AST_PARENT	
3659996	3659997	IS_AST_PARENT	
3659996	3659998	IS_AST_PARENT	
3659995	3659996	IS_AST_PARENT	
3659994	3659995	IS_AST_PARENT	
3660001	3660002	IS_AST_PARENT	
3660001	3660003	IS_AST_PARENT	
3660004	3660005	IS_AST_PARENT	
3660007	3660008	IS_AST_PARENT	
3660006	3660007	IS_AST_PARENT	
3660006	3660009	IS_AST_PARENT	
3660004	3660006	IS_AST_PARENT	
3660001	3660004	IS_AST_PARENT	
3660000	3660001	IS_AST_PARENT	
3659999	3660000	IS_AST_PARENT	
3660012	3660013	IS_AST_PARENT	
3660012	3660014	IS_AST_PARENT	
3660011	3660012	IS_AST_PARENT	
3660010	3660011	IS_AST_PARENT	
3660016	3660017	IS_AST_PARENT	
3660019	3660020	IS_AST_PARENT	
3660018	3660019	IS_AST_PARENT	
3660022	3660023	IS_AST_PARENT	
3660021	3660022	IS_AST_PARENT	
3660027	3660028	IS_AST_PARENT	
3660027	3660029	IS_AST_PARENT	
3660026	3660027	IS_AST_PARENT	
3660026	3660030	IS_AST_PARENT	
3660025	3660026	IS_AST_PARENT	
3660025	3660031	IS_AST_PARENT	
3660024	3660025	IS_AST_PARENT	
3660021	3660024	IS_AST_PARENT	
3660018	3660021	IS_AST_PARENT	
3660016	3660018	IS_AST_PARENT	
3660015	3660016	IS_AST_PARENT	
