start	end	type	var
3819040	3819041	IS_AST_PARENT	
3819040	3819042	IS_AST_PARENT	
3819039	3819040	IS_AST_PARENT	
3819043	3819044	IS_AST_PARENT	
3819043	3819045	IS_AST_PARENT	
3819039	3819043	IS_AST_PARENT	
3819046	3819047	IS_AST_PARENT	
3819046	3819048	IS_AST_PARENT	
3819039	3819046	IS_AST_PARENT	
3819038	3819039	IS_AST_PARENT	
3819050	3819051	IS_AST_PARENT	
3819050	3819052	IS_AST_PARENT	
3819049	3819050	IS_AST_PARENT	
3819053	3819054	IS_AST_PARENT	
3819053	3819055	IS_AST_PARENT	
3819049	3819053	IS_AST_PARENT	
3819056	3819057	IS_AST_PARENT	
3819056	3819058	IS_AST_PARENT	
3819049	3819056	IS_AST_PARENT	
3819059	3819060	IS_AST_PARENT	
3819059	3819061	IS_AST_PARENT	
3819049	3819059	IS_AST_PARENT	
3819038	3819049	IS_AST_PARENT	
3819063	3819064	IS_AST_PARENT	
3819063	3819065	IS_AST_PARENT	
3819062	3819063	IS_AST_PARENT	
3819066	3819067	IS_AST_PARENT	
3819066	3819068	IS_AST_PARENT	
3819062	3819066	IS_AST_PARENT	
3819069	3819070	IS_AST_PARENT	
3819069	3819071	IS_AST_PARENT	
3819062	3819069	IS_AST_PARENT	
3819072	3819073	IS_AST_PARENT	
3819072	3819074	IS_AST_PARENT	
3819062	3819072	IS_AST_PARENT	
3819038	3819062	IS_AST_PARENT	
3819076	3819077	IS_AST_PARENT	
3819076	3819078	IS_AST_PARENT	
3819075	3819076	IS_AST_PARENT	
3819038	3819075	IS_AST_PARENT	
3819081	3819082	IS_AST_PARENT	
3819081	3819083	IS_AST_PARENT	
3819080	3819081	IS_AST_PARENT	
3819079	3819080	IS_AST_PARENT	
3819079	3819084	IS_AST_PARENT	
3819038	3819079	IS_AST_PARENT	
3819087	3819088	IS_AST_PARENT	
3819087	3819089	IS_AST_PARENT	
3819086	3819087	IS_AST_PARENT	
3819085	3819086	IS_AST_PARENT	
3819090	3819091	IS_AST_PARENT	
3819094	3819095	IS_AST_PARENT	
3819094	3819096	IS_AST_PARENT	
3819093	3819094	IS_AST_PARENT	
3819092	3819093	IS_AST_PARENT	
3819098	3819099	IS_AST_PARENT	
3819098	3819100	IS_AST_PARENT	
3819097	3819098	IS_AST_PARENT	
3819092	3819097	IS_AST_PARENT	
3819101	3819102	IS_AST_PARENT	
3819101	3819103	IS_AST_PARENT	
3819092	3819101	IS_AST_PARENT	
3819106	3819107	IS_AST_PARENT	
3819106	3819108	IS_AST_PARENT	
3819105	3819106	IS_AST_PARENT	
3819104	3819105	IS_AST_PARENT	
3819110	3819111	IS_AST_PARENT	
3819110	3819112	IS_AST_PARENT	
3819109	3819110	IS_AST_PARENT	
3819104	3819109	IS_AST_PARENT	
3819113	3819114	IS_AST_PARENT	
3819113	3819115	IS_AST_PARENT	
3819104	3819113	IS_AST_PARENT	
3819119	3819120	IS_AST_PARENT	
3819119	3819121	IS_AST_PARENT	
3819118	3819119	IS_AST_PARENT	
3819117	3819118	IS_AST_PARENT	
3819123	3819124	IS_AST_PARENT	
3819123	3819125	IS_AST_PARENT	
3819122	3819123	IS_AST_PARENT	
3819117	3819122	IS_AST_PARENT	
3819126	3819127	IS_AST_PARENT	
3819126	3819128	IS_AST_PARENT	
3819117	3819126	IS_AST_PARENT	
3819131	3819132	IS_AST_PARENT	
3819136	3819137	IS_AST_PARENT	
3819136	3819138	IS_AST_PARENT	
3819135	3819136	IS_AST_PARENT	
3819135	3819139	IS_AST_PARENT	
3819134	3819135	IS_AST_PARENT	
3819134	3819140	IS_AST_PARENT	
3819133	3819134	IS_AST_PARENT	
3819133	3819141	IS_AST_PARENT	
3819131	3819133	IS_AST_PARENT	
3819130	3819131	IS_AST_PARENT	
3819129	3819130	IS_AST_PARENT	
3819144	3819145	IS_AST_PARENT	
3819144	3819146	IS_AST_PARENT	
3819143	3819144	IS_AST_PARENT	
3819142	3819143	IS_AST_PARENT	
3819148	3819149	IS_AST_PARENT	
3819148	3819150	IS_AST_PARENT	
3819147	3819148	IS_AST_PARENT	
3819142	3819147	IS_AST_PARENT	
3819129	3819142	IS_AST_PARENT	
3819152	3819153	IS_AST_PARENT	
