start	end	type	var
3836008	3836009	IS_AST_PARENT	
3836008	3836010	IS_AST_PARENT	
3836011	3836012	IS_AST_PARENT	
3836013	3836014	IS_AST_PARENT	
3836013	3836015	IS_AST_PARENT	
3836011	3836013	IS_AST_PARENT	
3836008	3836011	IS_AST_PARENT	
3836007	3836008	IS_AST_PARENT	
3836006	3836007	IS_AST_PARENT	
3836017	3836018	IS_AST_PARENT	
3836017	3836019	IS_AST_PARENT	
3836020	3836021	IS_AST_PARENT	
3836022	3836023	IS_AST_PARENT	
3836022	3836024	IS_AST_PARENT	
3836020	3836022	IS_AST_PARENT	
3836017	3836020	IS_AST_PARENT	
3836016	3836017	IS_AST_PARENT	
3836006	3836016	IS_AST_PARENT	
3836026	3836027	IS_AST_PARENT	
3836026	3836028	IS_AST_PARENT	
3836025	3836026	IS_AST_PARENT	
3836006	3836025	IS_AST_PARENT	
3836031	3836032	IS_AST_PARENT	
3836030	3836031	IS_AST_PARENT	
3836034	3836035	IS_AST_PARENT	
3836033	3836034	IS_AST_PARENT	
3836036	3836037	IS_AST_PARENT	
3836033	3836036	IS_AST_PARENT	
3836039	3836040	IS_AST_PARENT	
3836041	3836042	IS_AST_PARENT	
3836041	3836043	IS_AST_PARENT	
3836039	3836041	IS_AST_PARENT	
3836038	3836039	IS_AST_PARENT	
3836033	3836038	IS_AST_PARENT	
3836030	3836033	IS_AST_PARENT	
3836029	3836030	IS_AST_PARENT	
3836006	3836029	IS_AST_PARENT	
3836046	3836047	IS_AST_PARENT	
3836046	3836048	IS_AST_PARENT	
3836045	3836046	IS_AST_PARENT	
3836045	3836049	IS_AST_PARENT	
3836044	3836045	IS_AST_PARENT	
3836006	3836044	IS_AST_PARENT	
3836052	3836053	IS_AST_PARENT	
3836052	3836054	IS_AST_PARENT	
3836051	3836052	IS_AST_PARENT	
3836051	3836055	IS_AST_PARENT	
3836050	3836051	IS_AST_PARENT	
3836006	3836050	IS_AST_PARENT	
3836058	3836059	IS_AST_PARENT	
3836058	3836060	IS_AST_PARENT	
3836057	3836058	IS_AST_PARENT	
3836057	3836061	IS_AST_PARENT	
3836056	3836057	IS_AST_PARENT	
3836006	3836056	IS_AST_PARENT	
3836064	3836065	IS_AST_PARENT	
3836064	3836066	IS_AST_PARENT	
3836063	3836064	IS_AST_PARENT	
3836070	3836071	IS_AST_PARENT	
3836070	3836072	IS_AST_PARENT	
3836069	3836070	IS_AST_PARENT	
3836074	3836075	IS_AST_PARENT	
3836073	3836074	IS_AST_PARENT	
3836077	3836078	IS_AST_PARENT	
3836076	3836077	IS_AST_PARENT	
3836073	3836076	IS_AST_PARENT	
3836069	3836073	IS_AST_PARENT	
3836068	3836069	IS_AST_PARENT	
3836079	3836080	IS_AST_PARENT	
3836079	3836081	IS_AST_PARENT	
3836068	3836079	IS_AST_PARENT	
3836067	3836068	IS_AST_PARENT	
3836082	3836083	IS_AST_PARENT	
3836082	3836084	IS_AST_PARENT	
3836067	3836082	IS_AST_PARENT	
3836063	3836067	IS_AST_PARENT	
3836062	3836063	IS_AST_PARENT	
3836006	3836062	IS_AST_PARENT	
3836087	3836088	IS_AST_PARENT	
