start	end	type	var
3868970	3868971	IS_AST_PARENT	
3868970	3868972	IS_AST_PARENT	
3868969	3868970	IS_AST_PARENT	
3868968	3868969	IS_AST_PARENT	
3868974	3868975	IS_AST_PARENT	
3868974	3868976	IS_AST_PARENT	
3868977	3868978	IS_AST_PARENT	
3868980	3868981	IS_AST_PARENT	
3868979	3868980	IS_AST_PARENT	
3868979	3868982	IS_AST_PARENT	
3868979	3868983	IS_AST_PARENT	
3868977	3868979	IS_AST_PARENT	
3868974	3868977	IS_AST_PARENT	
3868973	3868974	IS_AST_PARENT	
3868968	3868973	IS_AST_PARENT	
3868985	3868986	IS_AST_PARENT	
3868985	3868987	IS_AST_PARENT	
3868988	3868989	IS_AST_PARENT	
3868991	3868992	IS_AST_PARENT	
3868990	3868991	IS_AST_PARENT	
3868990	3868993	IS_AST_PARENT	
3868990	3868994	IS_AST_PARENT	
3868988	3868990	IS_AST_PARENT	
3868985	3868988	IS_AST_PARENT	
3868984	3868985	IS_AST_PARENT	
3868968	3868984	IS_AST_PARENT	
3868997	3868998	IS_AST_PARENT	
3868997	3868999	IS_AST_PARENT	
3868996	3868997	IS_AST_PARENT	
3868995	3868996	IS_AST_PARENT	
3869001	3869002	IS_AST_PARENT	
3869001	3869003	IS_AST_PARENT	
3869000	3869001	IS_AST_PARENT	
3868995	3869000	IS_AST_PARENT	
3869004	3869005	IS_AST_PARENT	
3869004	3869006	IS_AST_PARENT	
3868995	3869004	IS_AST_PARENT	
3869009	3869010	IS_AST_PARENT	
3869009	3869011	IS_AST_PARENT	
3869012	3869013	IS_AST_PARENT	
3869014	3869015	IS_AST_PARENT	
3869014	3869016	IS_AST_PARENT	
3869012	3869014	IS_AST_PARENT	
3869009	3869012	IS_AST_PARENT	
3869008	3869009	IS_AST_PARENT	
3869007	3869008	IS_AST_PARENT	
3869018	3869019	IS_AST_PARENT	
3869018	3869020	IS_AST_PARENT	
3869021	3869022	IS_AST_PARENT	
3869025	3869026	IS_AST_PARENT	
3869025	3869027	IS_AST_PARENT	
3869024	3869025	IS_AST_PARENT	
3869028	3869029	IS_AST_PARENT	
3869028	3869030	IS_AST_PARENT	
3869024	3869028	IS_AST_PARENT	
3869023	3869024	IS_AST_PARENT	
3869023	3869031	IS_AST_PARENT	
3869021	3869023	IS_AST_PARENT	
3869018	3869021	IS_AST_PARENT	
3869017	3869018	IS_AST_PARENT	
3869007	3869017	IS_AST_PARENT	
3869033	3869034	IS_AST_PARENT	
3869033	3869035	IS_AST_PARENT	
3869036	3869037	IS_AST_PARENT	
3869038	3869039	IS_AST_PARENT	
3869038	3869040	IS_AST_PARENT	
3869036	3869038	IS_AST_PARENT	
3869033	3869036	IS_AST_PARENT	
3869032	3869033	IS_AST_PARENT	
3869007	3869032	IS_AST_PARENT	
3869042	3869043	IS_AST_PARENT	
3869042	3869044	IS_AST_PARENT	
3869045	3869046	IS_AST_PARENT	
3869048	3869049	IS_AST_PARENT	
3869047	3869048	IS_AST_PARENT	
3869053	3869054	IS_AST_PARENT	
3869053	3869055	IS_AST_PARENT	
3869052	3869053	IS_AST_PARENT	
3869056	3869057	IS_AST_PARENT	
3869056	3869058	IS_AST_PARENT	
3869052	3869056	IS_AST_PARENT	
3869051	3869052	IS_AST_PARENT	
3869050	3869051	IS_AST_PARENT	
3869047	3869050	IS_AST_PARENT	
3869045	3869047	IS_AST_PARENT	
3869042	3869045	IS_AST_PARENT	
3869041	3869042	IS_AST_PARENT	
3869007	3869041	IS_AST_PARENT	
3869060	3869061	IS_AST_PARENT	
3869060	3869062	IS_AST_PARENT	
3869063	3869064	IS_AST_PARENT	
3869068	3869069	IS_AST_PARENT	
3869067	3869068	IS_AST_PARENT	
3869073	3869074	IS_AST_PARENT	
3869073	3869075	IS_AST_PARENT	
3869072	3869073	IS_AST_PARENT	
3869072	3869076	IS_AST_PARENT	
3869071	3869072	IS_AST_PARENT	
3869070	3869071	IS_AST_PARENT	
3869067	3869070	IS_AST_PARENT	
3869066	3869067	IS_AST_PARENT	
3869078	3869079	IS_AST_PARENT	
3869077	3869078	IS_AST_PARENT	
3869083	3869084	IS_AST_PARENT	
3869083	3869085	IS_AST_PARENT	
3869082	3869083	IS_AST_PARENT	
3869082	3869086	IS_AST_PARENT	
3869081	3869082	IS_AST_PARENT	
3869080	3869081	IS_AST_PARENT	
3869077	3869080	IS_AST_PARENT	
3869066	3869077	IS_AST_PARENT	
3869065	3869066	IS_AST_PARENT	
3869065	3869087	IS_AST_PARENT	
3869063	3869065	IS_AST_PARENT	
3869060	3869063	IS_AST_PARENT	
3869059	3869060	IS_AST_PARENT	
3869007	3869059	IS_AST_PARENT	
3869089	3869090	IS_AST_PARENT	
3869089	3869091	IS_AST_PARENT	
3869092	3869093	IS_AST_PARENT	
3869097	3869098	IS_AST_PARENT	
3869096	3869097	IS_AST_PARENT	
3869102	3869103	IS_AST_PARENT	
3869102	3869104	IS_AST_PARENT	
3869101	3869102	IS_AST_PARENT	
3869101	3869105	IS_AST_PARENT	
3869100	3869101	IS_AST_PARENT	
3869099	3869100	IS_AST_PARENT	
3869096	3869099	IS_AST_PARENT	
3869095	3869096	IS_AST_PARENT	
3869107	3869108	IS_AST_PARENT	
3869106	3869107	IS_AST_PARENT	
3869112	3869113	IS_AST_PARENT	
3869112	3869114	IS_AST_PARENT	
