command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	4001705	File	/home/p4ultr4n/workplace/ReVeal/raw_code/fmod_init_out_0.c								
ANR	4001706	Function	fmod_init_out	1:0:0:1241							
ANR	4001707	FunctionDef	"fmod_init_out (HWVoiceOut * hw , audsettings_t * as)"		4001706	0					
ANR	4001708	CompoundStatement		3:0:62:1241	4001706	0					
ANR	4001709	IdentifierDeclStatement	"int bits16 , mode , channel ;"	5:4:69:94	4001706	0	True				
ANR	4001710	IdentifierDecl	bits16		4001706	0					
ANR	4001711	IdentifierDeclType	int		4001706	0					
ANR	4001712	Identifier	bits16		4001706	1					
ANR	4001713	IdentifierDecl	mode		4001706	1					
ANR	4001714	IdentifierDeclType	int		4001706	0					
ANR	4001715	Identifier	mode		4001706	1					
ANR	4001716	IdentifierDecl	channel		4001706	2					
ANR	4001717	IdentifierDeclType	int		4001706	0					
ANR	4001718	Identifier	channel		4001706	1					
ANR	4001719	IdentifierDeclStatement	FMODVoiceOut * fmd = ( FMODVoiceOut * ) hw ;	7:4:101:140	4001706	1	True				
ANR	4001720	IdentifierDecl	* fmd = ( FMODVoiceOut * ) hw		4001706	0					
ANR	4001721	IdentifierDeclType	FMODVoiceOut *		4001706	0					
ANR	4001722	Identifier	fmd		4001706	1					
ANR	4001723	AssignmentExpression	* fmd = ( FMODVoiceOut * ) hw		4001706	2		=			
ANR	4001724	Identifier	fmd		4001706	0					
ANR	4001725	CastExpression	( FMODVoiceOut * ) hw		4001706	1					
ANR	4001726	CastTarget	FMODVoiceOut *		4001706	0					
ANR	4001727	Identifier	hw		4001706	1					
ANR	4001728	IdentifierDeclStatement	audsettings_t obt_as = * as ;	9:4:147:173	4001706	2	True				
ANR	4001729	IdentifierDecl	obt_as = * as		4001706	0					
ANR	4001730	IdentifierDeclType	audsettings_t		4001706	0					
ANR	4001731	Identifier	obt_as		4001706	1					
ANR	4001732	AssignmentExpression	obt_as = * as		4001706	2		=			
ANR	4001733	Identifier	obt_as		4001706	0					
ANR	4001734	UnaryOperationExpression	* as		4001706	1					
ANR	4001735	UnaryOperator	*		4001706	0					
ANR	4001736	Identifier	as		4001706	1					
ANR	4001737	ExpressionStatement	"mode = aud_to_fmodfmt ( as -> fmt , as -> nchannels == 2 ? 1 : 0 )"	13:4:182:241	4001706	3	True				
ANR	4001738	AssignmentExpression	"mode = aud_to_fmodfmt ( as -> fmt , as -> nchannels == 2 ? 1 : 0 )"		4001706	0		=			
ANR	4001739	Identifier	mode		4001706	0					
ANR	4001740	CallExpression	"aud_to_fmodfmt ( as -> fmt , as -> nchannels == 2 ? 1 : 0 )"		4001706	1					
ANR	4001741	Callee	aud_to_fmodfmt		4001706	0					
ANR	4001742	Identifier	aud_to_fmodfmt		4001706	0					
ANR	4001743	ArgumentList	as -> fmt		4001706	1					
ANR	4001744	Argument	as -> fmt		4001706	0					
ANR	4001745	PtrMemberAccess	as -> fmt		4001706	0					
ANR	4001746	Identifier	as		4001706	0					
ANR	4001747	Identifier	fmt		4001706	1					
ANR	4001748	Argument	as -> nchannels == 2 ? 1 : 0		4001706	1					
ANR	4001749	ConditionalExpression	as -> nchannels == 2 ? 1 : 0		4001706	0					
ANR	4001750	Condition	as -> nchannels == 2		4001706	0					
ANR	4001751	EqualityExpression	as -> nchannels == 2		4001706	0		==			
ANR	4001752	PtrMemberAccess	as -> nchannels		4001706	0					
ANR	4001753	Identifier	as		4001706	0					
ANR	4001754	Identifier	nchannels		4001706	1					
ANR	4001755	PrimaryExpression	2		4001706	1					
ANR	4001756	PrimaryExpression	1		4001706	1					
ANR	4001757	PrimaryExpression	0		4001706	2					
ANR	4001758	ExpressionStatement	"fmd -> fmod_sample = FSOUND_Sample_Alloc ( FSOUND_FREE , conf . nb_samples , mode , as -> freq , 255 , 128 , 255 )"	15:4:248:615	4001706	4	True				
ANR	4001759	AssignmentExpression	"fmd -> fmod_sample = FSOUND_Sample_Alloc ( FSOUND_FREE , conf . nb_samples , mode , as -> freq , 255 , 128 , 255 )"		4001706	0		=			
ANR	4001760	PtrMemberAccess	fmd -> fmod_sample		4001706	0					
ANR	4001761	Identifier	fmd		4001706	0					
ANR	4001762	Identifier	fmod_sample		4001706	1					
ANR	4001763	CallExpression	"FSOUND_Sample_Alloc ( FSOUND_FREE , conf . nb_samples , mode , as -> freq , 255 , 128 , 255 )"		4001706	1					
ANR	4001764	Callee	FSOUND_Sample_Alloc		4001706	0					
ANR	4001765	Identifier	FSOUND_Sample_Alloc		4001706	0					
ANR	4001766	ArgumentList	FSOUND_FREE		4001706	1					
ANR	4001767	Argument	FSOUND_FREE		4001706	0					
ANR	4001768	Identifier	FSOUND_FREE		4001706	0					
ANR	4001769	Argument	conf . nb_samples		4001706	1					
ANR	4001770	MemberAccess	conf . nb_samples		4001706	0					
ANR	4001771	Identifier	conf		4001706	0					
ANR	4001772	Identifier	nb_samples		4001706	1					
ANR	4001773	Argument	mode		4001706	2					
ANR	4001774	Identifier	mode		4001706	0					
ANR	4001775	Argument	as -> freq		4001706	3					
ANR	4001776	PtrMemberAccess	as -> freq		4001706	0					
ANR	4001777	Identifier	as		4001706	0					
ANR	4001778	Identifier	freq		4001706	1					
ANR	4001779	Argument	255		4001706	4					
ANR	4001780	PrimaryExpression	255		4001706	0					
ANR	4001781	Argument	128		4001706	5					
ANR	4001782	PrimaryExpression	128		4001706	0					
ANR	4001783	Argument	255		4001706	6					
ANR	4001784	PrimaryExpression	255		4001706	0					
ANR	4001785	IfStatement	if ( ! fmd -> fmod_sample )		4001706	5					
ANR	4001786	Condition	! fmd -> fmod_sample	35:8:628:644	4001706	0	True				
ANR	4001787	UnaryOperationExpression	! fmd -> fmod_sample		4001706	0					
ANR	4001788	UnaryOperator	!		4001706	0					
ANR	4001789	PtrMemberAccess	fmd -> fmod_sample		4001706	1					
ANR	4001790	Identifier	fmd		4001706	0					
ANR	4001791	Identifier	fmod_sample		4001706	1					
ANR	4001792	CompoundStatement		33:27:584:584	4001706	1					
ANR	4001793	ExpressionStatement	"fmod_logerr2 ( ""DAC"" , ""Failed to allocate FMOD sample\\n"" )"	37:8:658:714	4001706	0	True				
ANR	4001794	CallExpression	"fmod_logerr2 ( ""DAC"" , ""Failed to allocate FMOD sample\\n"" )"		4001706	0					
ANR	4001795	Callee	fmod_logerr2		4001706	0					
ANR	4001796	Identifier	fmod_logerr2		4001706	0					
ANR	4001797	ArgumentList	"""DAC"""		4001706	1					
ANR	4001798	Argument	"""DAC"""		4001706	0					
ANR	4001799	PrimaryExpression	"""DAC"""		4001706	0					
ANR	4001800	Argument	"""Failed to allocate FMOD sample\\n"""		4001706	1					
ANR	4001801	PrimaryExpression	"""Failed to allocate FMOD sample\\n"""		4001706	0					
ANR	4001802	ReturnStatement	return - 1 ;	39:8:725:734	4001706	1	True				
ANR	4001803	UnaryOperationExpression	- 1		4001706	0					
ANR	4001804	UnaryOperator	-		4001706	0					
ANR	4001805	PrimaryExpression	1		4001706	1					
ANR	4001806	ExpressionStatement	"channel = FSOUND_PlaySoundEx ( FSOUND_FREE , fmd -> fmod_sample , 0 , 1 )"	45:4:750:816	4001706	6	True				
ANR	4001807	AssignmentExpression	"channel = FSOUND_PlaySoundEx ( FSOUND_FREE , fmd -> fmod_sample , 0 , 1 )"		4001706	0		=			
ANR	4001808	Identifier	channel		4001706	0					
ANR	4001809	CallExpression	"FSOUND_PlaySoundEx ( FSOUND_FREE , fmd -> fmod_sample , 0 , 1 )"		4001706	1					
ANR	4001810	Callee	FSOUND_PlaySoundEx		4001706	0					
ANR	4001811	Identifier	FSOUND_PlaySoundEx		4001706	0					
ANR	4001812	ArgumentList	FSOUND_FREE		4001706	1					
ANR	4001813	Argument	FSOUND_FREE		4001706	0					
ANR	4001814	Identifier	FSOUND_FREE		4001706	0					
ANR	4001815	Argument	fmd -> fmod_sample		4001706	1					
ANR	4001816	PtrMemberAccess	fmd -> fmod_sample		4001706	0					
ANR	4001817	Identifier	fmd		4001706	0					
ANR	4001818	Identifier	fmod_sample		4001706	1					
ANR	4001819	Argument	0		4001706	2					
ANR	4001820	PrimaryExpression	0		4001706	0					
ANR	4001821	Argument	1		4001706	3					
ANR	4001822	PrimaryExpression	1		4001706	0					
ANR	4001823	IfStatement	if ( channel < 0 )		4001706	7					
ANR	4001824	Condition	channel < 0	47:8:827:837	4001706	0	True				
ANR	4001825	RelationalExpression	channel < 0		4001706	0		<			
ANR	4001826	Identifier	channel		4001706	0					
ANR	4001827	PrimaryExpression	0		4001706	1					
ANR	4001828	CompoundStatement		45:21:777:777	4001706	1					
ANR	4001829	ExpressionStatement	"fmod_logerr2 ( ""DAC"" , ""Failed to start playing sound\\n"" )"	49:8:851:906	4001706	0	True				
ANR	4001830	CallExpression	"fmod_logerr2 ( ""DAC"" , ""Failed to start playing sound\\n"" )"		4001706	0					
ANR	4001831	Callee	fmod_logerr2		4001706	0					
ANR	4001832	Identifier	fmod_logerr2		4001706	0					
ANR	4001833	ArgumentList	"""DAC"""		4001706	1					
ANR	4001834	Argument	"""DAC"""		4001706	0					
ANR	4001835	PrimaryExpression	"""DAC"""		4001706	0					
ANR	4001836	Argument	"""Failed to start playing sound\\n"""		4001706	1					
ANR	4001837	PrimaryExpression	"""Failed to start playing sound\\n"""		4001706	0					
ANR	4001838	ExpressionStatement	FSOUND_Sample_Free ( fmd -> fmod_sample )	51:8:917:954	4001706	1	True				
ANR	4001839	CallExpression	FSOUND_Sample_Free ( fmd -> fmod_sample )		4001706	0					
ANR	4001840	Callee	FSOUND_Sample_Free		4001706	0					
ANR	4001841	Identifier	FSOUND_Sample_Free		4001706	0					
ANR	4001842	ArgumentList	fmd -> fmod_sample		4001706	1					
ANR	4001843	Argument	fmd -> fmod_sample		4001706	0					
ANR	4001844	PtrMemberAccess	fmd -> fmod_sample		4001706	0					
ANR	4001845	Identifier	fmd		4001706	0					
ANR	4001846	Identifier	fmod_sample		4001706	1					
ANR	4001847	ReturnStatement	return - 1 ;	53:8:965:974	4001706	2	True				
ANR	4001848	UnaryOperationExpression	- 1		4001706	0					
ANR	4001849	UnaryOperator	-		4001706	0					
ANR	4001850	PrimaryExpression	1		4001706	1					
ANR	4001851	ExpressionStatement	fmd -> channel = channel	57:4:988:1010	4001706	8	True				
ANR	4001852	AssignmentExpression	fmd -> channel = channel		4001706	0		=			
ANR	4001853	PtrMemberAccess	fmd -> channel		4001706	0					
ANR	4001854	Identifier	fmd		4001706	0					
ANR	4001855	Identifier	channel		4001706	1					
ANR	4001856	Identifier	channel		4001706	1					
ANR	4001857	ExpressionStatement	obt_as . endianness = 0	63:4:1076:1097	4001706	9	True				
ANR	4001858	AssignmentExpression	obt_as . endianness = 0		4001706	0		=			
ANR	4001859	MemberAccess	obt_as . endianness		4001706	0					
ANR	4001860	Identifier	obt_as		4001706	0					
ANR	4001861	Identifier	endianness		4001706	1					
ANR	4001862	PrimaryExpression	0		4001706	1					
ANR	4001863	ExpressionStatement	"audio_pcm_init_info ( & hw -> info , & obt_as )"	65:4:1104:1144	4001706	10	True				
ANR	4001864	CallExpression	"audio_pcm_init_info ( & hw -> info , & obt_as )"		4001706	0					
ANR	4001865	Callee	audio_pcm_init_info		4001706	0					
ANR	4001866	Identifier	audio_pcm_init_info		4001706	0					
ANR	4001867	ArgumentList	& hw -> info		4001706	1					
ANR	4001868	Argument	& hw -> info		4001706	0					
ANR	4001869	UnaryOperationExpression	& hw -> info		4001706	0					
ANR	4001870	UnaryOperator	&		4001706	0					
ANR	4001871	PtrMemberAccess	hw -> info		4001706	1					
ANR	4001872	Identifier	hw		4001706	0					
ANR	4001873	Identifier	info		4001706	1					
ANR	4001874	Argument	& obt_as		4001706	1					
ANR	4001875	UnaryOperationExpression	& obt_as		4001706	0					
ANR	4001876	UnaryOperator	&		4001706	0					
ANR	4001877	Identifier	obt_as		4001706	1					
ANR	4001878	ExpressionStatement	bits16 = ( mode & FSOUND_16BITS ) != 0	67:4:1151:1187	4001706	11	True				
ANR	4001879	AssignmentExpression	bits16 = ( mode & FSOUND_16BITS ) != 0		4001706	0		=			
ANR	4001880	Identifier	bits16		4001706	0					
ANR	4001881	EqualityExpression	( mode & FSOUND_16BITS ) != 0		4001706	1		!=			
ANR	4001882	BitAndExpression	mode & FSOUND_16BITS		4001706	0		&			
ANR	4001883	Identifier	mode		4001706	0					
