command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	4018080	File	/home/p4ultr4n/workplace/ReVeal/raw_code/free_tables_1.c								
ANR	4018081	Function	free_tables	1:0:0:917							
ANR	4018082	FunctionDef	free_tables (H264Context * h)		4018081	0					
ANR	4018083	CompoundStatement		1:39:39:917	4018081	0					
ANR	4018084	IdentifierDeclStatement	int i ;	3:4:46:51	4018081	0	True				
ANR	4018085	IdentifierDecl	i		4018081	0					
ANR	4018086	IdentifierDeclType	int		4018081	0					
ANR	4018087	Identifier	i		4018081	1					
ANR	4018088	IdentifierDeclStatement	H264Context * hx ;	5:4:58:73	4018081	1	True				
ANR	4018089	IdentifierDecl	* hx		4018081	0					
ANR	4018090	IdentifierDeclType	H264Context *		4018081	0					
ANR	4018091	Identifier	hx		4018081	1					
ANR	4018092	ExpressionStatement	av_freep ( & h -> intra4x4_pred_mode )	7:4:80:112	4018081	2	True				
ANR	4018093	CallExpression	av_freep ( & h -> intra4x4_pred_mode )		4018081	0					
ANR	4018094	Callee	av_freep		4018081	0					
ANR	4018095	Identifier	av_freep		4018081	0					
ANR	4018096	ArgumentList	& h -> intra4x4_pred_mode		4018081	1					
ANR	4018097	Argument	& h -> intra4x4_pred_mode		4018081	0					
ANR	4018098	UnaryOperationExpression	& h -> intra4x4_pred_mode		4018081	0					
ANR	4018099	UnaryOperator	&		4018081	0					
ANR	4018100	PtrMemberAccess	h -> intra4x4_pred_mode		4018081	1					
ANR	4018101	Identifier	h		4018081	0					
ANR	4018102	Identifier	intra4x4_pred_mode		4018081	1					
ANR	4018103	ExpressionStatement	av_freep ( & h -> chroma_pred_mode_table )	9:4:119:155	4018081	3	True				
ANR	4018104	CallExpression	av_freep ( & h -> chroma_pred_mode_table )		4018081	0					
ANR	4018105	Callee	av_freep		4018081	0					
ANR	4018106	Identifier	av_freep		4018081	0					
ANR	4018107	ArgumentList	& h -> chroma_pred_mode_table		4018081	1					
ANR	4018108	Argument	& h -> chroma_pred_mode_table		4018081	0					
ANR	4018109	UnaryOperationExpression	& h -> chroma_pred_mode_table		4018081	0					
ANR	4018110	UnaryOperator	&		4018081	0					
ANR	4018111	PtrMemberAccess	h -> chroma_pred_mode_table		4018081	1					
ANR	4018112	Identifier	h		4018081	0					
ANR	4018113	Identifier	chroma_pred_mode_table		4018081	1					
ANR	4018114	ExpressionStatement	av_freep ( & h -> cbp_table )	11:4:162:185	4018081	4	True				
ANR	4018115	CallExpression	av_freep ( & h -> cbp_table )		4018081	0					
ANR	4018116	Callee	av_freep		4018081	0					
ANR	4018117	Identifier	av_freep		4018081	0					
ANR	4018118	ArgumentList	& h -> cbp_table		4018081	1					
ANR	4018119	Argument	& h -> cbp_table		4018081	0					
ANR	4018120	UnaryOperationExpression	& h -> cbp_table		4018081	0					
ANR	4018121	UnaryOperator	&		4018081	0					
ANR	4018122	PtrMemberAccess	h -> cbp_table		4018081	1					
ANR	4018123	Identifier	h		4018081	0					
ANR	4018124	Identifier	cbp_table		4018081	1					
ANR	4018125	ExpressionStatement	av_freep ( & h -> mvd_table [ 0 ] )	13:4:192:218	4018081	5	True				
ANR	4018126	CallExpression	av_freep ( & h -> mvd_table [ 0 ] )		4018081	0					
ANR	4018127	Callee	av_freep		4018081	0					
ANR	4018128	Identifier	av_freep		4018081	0					
ANR	4018129	ArgumentList	& h -> mvd_table [ 0 ]		4018081	1					
ANR	4018130	Argument	& h -> mvd_table [ 0 ]		4018081	0					
ANR	4018131	UnaryOperationExpression	& h -> mvd_table [ 0 ]		4018081	0					
ANR	4018132	UnaryOperator	&		4018081	0					
ANR	4018133	ArrayIndexing	h -> mvd_table [ 0 ]		4018081	1					
ANR	4018134	PtrMemberAccess	h -> mvd_table		4018081	0					
ANR	4018135	Identifier	h		4018081	0					
ANR	4018136	Identifier	mvd_table		4018081	1					
ANR	4018137	PrimaryExpression	0		4018081	1					
ANR	4018138	ExpressionStatement	av_freep ( & h -> mvd_table [ 1 ] )	15:4:225:251	4018081	6	True				
ANR	4018139	CallExpression	av_freep ( & h -> mvd_table [ 1 ] )		4018081	0					
ANR	4018140	Callee	av_freep		4018081	0					
ANR	4018141	Identifier	av_freep		4018081	0					
ANR	4018142	ArgumentList	& h -> mvd_table [ 1 ]		4018081	1					
ANR	4018143	Argument	& h -> mvd_table [ 1 ]		4018081	0					
ANR	4018144	UnaryOperationExpression	& h -> mvd_table [ 1 ]		4018081	0					
ANR	4018145	UnaryOperator	&		4018081	0					
ANR	4018146	ArrayIndexing	h -> mvd_table [ 1 ]		4018081	1					
ANR	4018147	PtrMemberAccess	h -> mvd_table		4018081	0					
ANR	4018148	Identifier	h		4018081	0					
ANR	4018149	Identifier	mvd_table		4018081	1					
ANR	4018150	PrimaryExpression	1		4018081	1					
ANR	4018151	ExpressionStatement	av_freep ( & h -> direct_table )	17:4:258:284	4018081	7	True				
ANR	4018152	CallExpression	av_freep ( & h -> direct_table )		4018081	0					
ANR	4018153	Callee	av_freep		4018081	0					
ANR	4018154	Identifier	av_freep		4018081	0					
ANR	4018155	ArgumentList	& h -> direct_table		4018081	1					
ANR	4018156	Argument	& h -> direct_table		4018081	0					
ANR	4018157	UnaryOperationExpression	& h -> direct_table		4018081	0					
ANR	4018158	UnaryOperator	&		4018081	0					
ANR	4018159	PtrMemberAccess	h -> direct_table		4018081	1					
ANR	4018160	Identifier	h		4018081	0					
ANR	4018161	Identifier	direct_table		4018081	1					
ANR	4018162	ExpressionStatement	av_freep ( & h -> non_zero_count )	19:4:291:319	4018081	8	True				
ANR	4018163	CallExpression	av_freep ( & h -> non_zero_count )		4018081	0					
ANR	4018164	Callee	av_freep		4018081	0					
ANR	4018165	Identifier	av_freep		4018081	0					
ANR	4018166	ArgumentList	& h -> non_zero_count		4018081	1					
ANR	4018167	Argument	& h -> non_zero_count		4018081	0					
ANR	4018168	UnaryOperationExpression	& h -> non_zero_count		4018081	0					
ANR	4018169	UnaryOperator	&		4018081	0					
ANR	4018170	PtrMemberAccess	h -> non_zero_count		4018081	1					
ANR	4018171	Identifier	h		4018081	0					
ANR	4018172	Identifier	non_zero_count		4018081	1					
ANR	4018173	ExpressionStatement	av_freep ( & h -> slice_table_base )	21:4:326:356	4018081	9	True				
ANR	4018174	CallExpression	av_freep ( & h -> slice_table_base )		4018081	0					
ANR	4018175	Callee	av_freep		4018081	0					
ANR	4018176	Identifier	av_freep		4018081	0					
ANR	4018177	ArgumentList	& h -> slice_table_base		4018081	1					
ANR	4018178	Argument	& h -> slice_table_base		4018081	0					
ANR	4018179	UnaryOperationExpression	& h -> slice_table_base		4018081	0					
ANR	4018180	UnaryOperator	&		4018081	0					
ANR	4018181	PtrMemberAccess	h -> slice_table_base		4018081	1					
ANR	4018182	Identifier	h		4018081	0					
ANR	4018183	Identifier	slice_table_base		4018081	1					
ANR	4018184	ExpressionStatement	h -> slice_table = NULL	23:4:363:383	4018081	10	True				
ANR	4018185	AssignmentExpression	h -> slice_table = NULL		4018081	0		=			
ANR	4018186	PtrMemberAccess	h -> slice_table		4018081	0					
ANR	4018187	Identifier	h		4018081	0					
ANR	4018188	Identifier	slice_table		4018081	1					
ANR	4018189	Identifier	NULL		4018081	1					
ANR	4018190	ExpressionStatement	av_freep ( & h -> list_counts )	25:4:390:415	4018081	11	True				
ANR	4018191	CallExpression	av_freep ( & h -> list_counts )		4018081	0					
ANR	4018192	Callee	av_freep		4018081	0					
ANR	4018193	Identifier	av_freep		4018081	0					
ANR	4018194	ArgumentList	& h -> list_counts		4018081	1					
ANR	4018195	Argument	& h -> list_counts		4018081	0					
ANR	4018196	UnaryOperationExpression	& h -> list_counts		4018081	0					
ANR	4018197	UnaryOperator	&		4018081	0					
ANR	4018198	PtrMemberAccess	h -> list_counts		4018081	1					
ANR	4018199	Identifier	h		4018081	0					
ANR	4018200	Identifier	list_counts		4018081	1					
ANR	4018201	ExpressionStatement	av_freep ( & h -> mb2b_xy )	29:4:424:445	4018081	12	True				
ANR	4018202	CallExpression	av_freep ( & h -> mb2b_xy )		4018081	0					
ANR	4018203	Callee	av_freep		4018081	0					
ANR	4018204	Identifier	av_freep		4018081	0					
ANR	4018205	ArgumentList	& h -> mb2b_xy		4018081	1					
ANR	4018206	Argument	& h -> mb2b_xy		4018081	0					
ANR	4018207	UnaryOperationExpression	& h -> mb2b_xy		4018081	0					
ANR	4018208	UnaryOperator	&		4018081	0					
ANR	4018209	PtrMemberAccess	h -> mb2b_xy		4018081	1					
ANR	4018210	Identifier	h		4018081	0					
ANR	4018211	Identifier	mb2b_xy		4018081	1					
ANR	4018212	ExpressionStatement	av_freep ( & h -> mb2br_xy )	31:4:452:474	4018081	13	True				
ANR	4018213	CallExpression	av_freep ( & h -> mb2br_xy )		4018081	0					
ANR	4018214	Callee	av_freep		4018081	0					
ANR	4018215	Identifier	av_freep		4018081	0					
ANR	4018216	ArgumentList	& h -> mb2br_xy		4018081	1					
ANR	4018217	Argument	& h -> mb2br_xy		4018081	0					
ANR	4018218	UnaryOperationExpression	& h -> mb2br_xy		4018081	0					
ANR	4018219	UnaryOperator	&		4018081	0					
ANR	4018220	PtrMemberAccess	h -> mb2br_xy		4018081	1					
ANR	4018221	Identifier	h		4018081	0					
ANR	4018222	Identifier	mb2br_xy		4018081	1					
ANR	4018223	ForStatement	for ( i = 0 ; i < MAX_THREADS ; i ++ )		4018081	14					
ANR	4018224	ForInit	i = 0 ;	35:8:487:492	4018081	0	True				
ANR	4018225	AssignmentExpression	i = 0		4018081	0		=			
ANR	4018226	Identifier	i		4018081	0					
ANR	4018227	PrimaryExpression	0		4018081	1					
ANR	4018228	Condition	i < MAX_THREADS	35:15:494:508	4018081	1	True				
ANR	4018229	RelationalExpression	i < MAX_THREADS		4018081	0		<			
ANR	4018230	Identifier	i		4018081	0					
ANR	4018231	Identifier	MAX_THREADS		4018081	1					
