command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	4031345	File	/home/p4ultr4n/workplace/ReVeal/raw_code/fw_cfg_add_callback_01_1.c								
ANR	4031346	Function	fw_cfg_add_callback	1:0:0:572							
ANR	4031347	FunctionDef	"fw_cfg_add_callback (FWCfgState * s , uint16_t key , FWCfgCallback callback , void * callback_opaque , uint8_t * data , size_t len)"		4031346	0					
ANR	4031348	CompoundStatement		5:0:153:572	4031346	0					
ANR	4031349	IdentifierDeclStatement	int arch = ! ! ( key & FW_CFG_ARCH_LOCAL ) ;	7:4:160:198	4031346	0	True				
ANR	4031350	IdentifierDecl	arch = ! ! ( key & FW_CFG_ARCH_LOCAL )		4031346	0					
ANR	4031351	IdentifierDeclType	int		4031346	0					
ANR	4031352	Identifier	arch		4031346	1					
ANR	4031353	AssignmentExpression	arch = ! ! ( key & FW_CFG_ARCH_LOCAL )		4031346	2		=			
ANR	4031354	Identifier	arch		4031346	0					
ANR	4031355	UnaryOperationExpression	! ! ( key & FW_CFG_ARCH_LOCAL )		4031346	1					
ANR	4031356	UnaryOperator	!		4031346	0					
ANR	4031357	UnaryOperationExpression	! ( key & FW_CFG_ARCH_LOCAL )		4031346	1					
ANR	4031358	UnaryOperator	!		4031346	0					
ANR	4031359	BitAndExpression	key & FW_CFG_ARCH_LOCAL		4031346	1		&			
ANR	4031360	Identifier	key		4031346	0					
ANR	4031361	Identifier	FW_CFG_ARCH_LOCAL		4031346	1					
ANR	4031362	IfStatement	if ( ! ( key & FW_CFG_WRITE_CHANNEL ) )		4031346	1					
ANR	4031363	Condition	! ( key & FW_CFG_WRITE_CHANNEL )	11:8:211:239	4031346	0	True				
ANR	4031364	UnaryOperationExpression	! ( key & FW_CFG_WRITE_CHANNEL )		4031346	0					
ANR	4031365	UnaryOperator	!		4031346	0					
ANR	4031366	BitAndExpression	key & FW_CFG_WRITE_CHANNEL		4031346	1		&			
ANR	4031367	Identifier	key		4031346	0					
ANR	4031368	Identifier	FW_CFG_WRITE_CHANNEL		4031346	1					
ANR	4031369	ReturnStatement	return 0 ;	13:8:251:259	4031346	1	True				
ANR	4031370	PrimaryExpression	0		4031346	0					
ANR	4031371	ExpressionStatement	key &= FW_CFG_ENTRY_MASK	17:4:268:292	4031346	2	True				
ANR	4031372	AssignmentExpression	key &= FW_CFG_ENTRY_MASK		4031346	0		&=			
ANR	4031373	Identifier	key		4031346	0					
ANR	4031374	Identifier	FW_CFG_ENTRY_MASK		4031346	1					
ANR	4031375	IfStatement	if ( key >= FW_CFG_MAX_ENTRY || len > 65535 )		4031346	3					
ANR	4031376	Condition	key >= FW_CFG_MAX_ENTRY || len > 65535	21:8:305:342	4031346	0	True				
ANR	4031377	OrExpression	key >= FW_CFG_MAX_ENTRY || len > 65535		4031346	0		||			
ANR	4031378	RelationalExpression	key >= FW_CFG_MAX_ENTRY		4031346	0		>=			
ANR	4031379	Identifier	key		4031346	0					
ANR	4031380	Identifier	FW_CFG_MAX_ENTRY		4031346	1					
ANR	4031381	RelationalExpression	len > 65535		4031346	1		>			
ANR	4031382	Identifier	len		4031346	0					
ANR	4031383	PrimaryExpression	65535		4031346	1					
