command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	4083752	File	/home/p4ultr4n/workplace/ReVeal/raw_code/gen_addq_lo_0.c								
ANR	4083753	Function	gen_addq_lo	1:0:0:310							
ANR	4083754	FunctionDef	"gen_addq_lo (DisasContext * s , TCGv val , int rlow)"		4083753	0					
ANR	4083755	CompoundStatement		3:0:62:310	4083753	0					
ANR	4083756	IdentifierDeclStatement	TCGv tmp ;	5:4:69:77	4083753	0	True				
ANR	4083757	IdentifierDecl	tmp		4083753	0					
ANR	4083758	IdentifierDeclType	TCGv		4083753	0					
ANR	4083759	Identifier	tmp		4083753	1					
ANR	4083760	IdentifierDeclStatement	TCGv tmp2 ;	7:4:84:93	4083753	1	True				
ANR	4083761	IdentifierDecl	tmp2		4083753	0					
ANR	4083762	IdentifierDeclType	TCGv		4083753	0					
ANR	4083763	Identifier	tmp2		4083753	1					
ANR	4083764	ExpressionStatement	tmp = tcg_temp_new ( TCG_TYPE_I64 )	13:4:148:180	4083753	2	True				
ANR	4083765	AssignmentExpression	tmp = tcg_temp_new ( TCG_TYPE_I64 )		4083753	0		=			
ANR	4083766	Identifier	tmp		4083753	0					
ANR	4083767	CallExpression	tcg_temp_new ( TCG_TYPE_I64 )		4083753	1					
ANR	4083768	Callee	tcg_temp_new		4083753	0					
ANR	4083769	Identifier	tcg_temp_new		4083753	0					
ANR	4083770	ArgumentList	TCG_TYPE_I64		4083753	1					
ANR	4083771	Argument	TCG_TYPE_I64		4083753	0					
ANR	4083772	Identifier	TCG_TYPE_I64		4083753	0					
ANR	4083773	ExpressionStatement	"tmp2 = load_reg ( s , rlow )"	15:4:187:211	4083753	3	True				
ANR	4083774	AssignmentExpression	"tmp2 = load_reg ( s , rlow )"		4083753	0		=			
ANR	4083775	Identifier	tmp2		4083753	0					
ANR	4083776	CallExpression	"load_reg ( s , rlow )"		4083753	1					
ANR	4083777	Callee	load_reg		4083753	0					
ANR	4083778	Identifier	load_reg		4083753	0					
ANR	4083779	ArgumentList	s		4083753	1					
ANR	4083780	Argument	s		4083753	0					
ANR	4083781	Identifier	s		4083753	0					
ANR	4083782	Argument	rlow		4083753	1					
ANR	4083783	Identifier	rlow		4083753	0					
ANR	4083784	ExpressionStatement	"tcg_gen_extu_i32_i64 ( tmp , tmp2 )"	17:4:218:249	4083753	4	True				
ANR	4083785	CallExpression	"tcg_gen_extu_i32_i64 ( tmp , tmp2 )"		4083753	0					
ANR	4083786	Callee	tcg_gen_extu_i32_i64		4083753	0					
ANR	4083787	Identifier	tcg_gen_extu_i32_i64		4083753	0					
ANR	4083788	ArgumentList	tmp		4083753	1					
ANR	4083789	Argument	tmp		4083753	0					
ANR	4083790	Identifier	tmp		4083753	0					
ANR	4083791	Argument	tmp2		4083753	1					
ANR	4083792	Identifier	tmp2		4083753	0					
ANR	4083793	ExpressionStatement	dead_tmp ( tmp2 )	19:4:256:270	4083753	5	True				
ANR	4083794	CallExpression	dead_tmp ( tmp2 )		4083753	0					
ANR	4083795	Callee	dead_tmp		4083753	0					
ANR	4083796	Identifier	dead_tmp		4083753	0					
ANR	4083797	ArgumentList	tmp2		4083753	1					
ANR	4083798	Argument	tmp2		4083753	0					
ANR	4083799	Identifier	tmp2		4083753	0					
ANR	4083800	ExpressionStatement	"tcg_gen_add_i64 ( val , val , tmp )"	21:4:277:307	4083753	6	True				
ANR	4083801	CallExpression	"tcg_gen_add_i64 ( val , val , tmp )"		4083753	0					
ANR	4083802	Callee	tcg_gen_add_i64		4083753	0					
ANR	4083803	Identifier	tcg_gen_add_i64		4083753	0					
ANR	4083804	ArgumentList	val		4083753	1					
ANR	4083805	Argument	val		4083753	0					
ANR	4083806	Identifier	val		4083753	0					
ANR	4083807	Argument	val		4083753	1					
ANR	4083808	Identifier	val		4083753	0					
ANR	4083809	Argument	tmp		4083753	2					
ANR	4083810	Identifier	tmp		4083753	0					
ANR	4083811	ReturnType	static void		4083753	1					
ANR	4083812	Identifier	gen_addq_lo		4083753	2					
ANR	4083813	ParameterList	"DisasContext * s , TCGv val , int rlow"		4083753	3					
ANR	4083814	Parameter	DisasContext * s	1:24:24:38	4083753	0	True				
ANR	4083815	ParameterType	DisasContext *		4083753	0					
ANR	4083816	Identifier	s		4083753	1					
ANR	4083817	Parameter	TCGv val	1:41:41:48	4083753	1	True				
ANR	4083818	ParameterType	TCGv		4083753	0					
ANR	4083819	Identifier	val		4083753	1					
ANR	4083820	Parameter	int rlow	1:51:51:58	4083753	2	True				
ANR	4083821	ParameterType	int		4083753	0					
ANR	4083822	Identifier	rlow		4083753	1					
ANR	4083823	CFGEntryNode	ENTRY		4083753		True				
ANR	4083824	CFGExitNode	EXIT		4083753		True				
ANR	4083825	Symbol	val		4083753						
ANR	4083826	Symbol	s		4083753						
ANR	4083827	Symbol	tmp		4083753						
ANR	4083828	Symbol	rlow		4083753						
ANR	4083829	Symbol	tcg_temp_new		4083753						
ANR	4083830	Symbol	TCG_TYPE_I64		4083753						
ANR	4083831	Symbol	tmp2		4083753						
ANR	4083832	Symbol	load_reg		4083753						
