command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	4086378	File	/home/p4ultr4n/workplace/ReVeal/raw_code/gen_arith_01_0.c								
ANR	4086379	Function	gen_arith	1:0:0:6215							
ANR	4086380	FunctionDef	"gen_arith (DisasContext * ctx , uint32_t opc , int rd , int rs , int rt)"		4086379	0					
ANR	4086381	CompoundStatement		5:0:103:6215	4086379	0					
ANR	4086382	IdentifierDeclStatement	"const char * opn = ""arith"" ;"	7:4:110:135	4086379	0	True				
ANR	4086383	IdentifierDecl	"* opn = ""arith"""		4086379	0					
ANR	4086384	IdentifierDeclType	const char *		4086379	0					
ANR	4086385	Identifier	opn		4086379	1					
ANR	4086386	AssignmentExpression	"* opn = ""arith"""		4086379	2		=			
ANR	4086387	Identifier	opn		4086379	0					
ANR	4086388	PrimaryExpression	"""arith"""		4086379	1					
ANR	4086389	IfStatement	if ( rd == 0 && opc != OPC_ADD && opc != OPC_SUB && opc != OPC_DADD && opc != OPC_DSUB )		4086379	1					
ANR	4086390	Condition	rd == 0 && opc != OPC_ADD && opc != OPC_SUB && opc != OPC_DADD && opc != OPC_DSUB	11:8:148:236	4086379	0	True				
ANR	4086391	AndExpression	rd == 0 && opc != OPC_ADD && opc != OPC_SUB && opc != OPC_DADD && opc != OPC_DSUB		4086379	0		&&			
ANR	4086392	EqualityExpression	rd == 0		4086379	0		==			
ANR	4086393	Identifier	rd		4086379	0					
ANR	4086394	PrimaryExpression	0		4086379	1					
ANR	4086395	AndExpression	opc != OPC_ADD && opc != OPC_SUB && opc != OPC_DADD && opc != OPC_DSUB		4086379	1		&&			
ANR	4086396	EqualityExpression	opc != OPC_ADD		4086379	0		!=			
ANR	4086397	Identifier	opc		4086379	0					
ANR	4086398	Identifier	OPC_ADD		4086379	1					
ANR	4086399	AndExpression	opc != OPC_SUB && opc != OPC_DADD && opc != OPC_DSUB		4086379	1		&&			
ANR	4086400	EqualityExpression	opc != OPC_SUB		4086379	0		!=			
ANR	4086401	Identifier	opc		4086379	0					
ANR	4086402	Identifier	OPC_SUB		4086379	1					
ANR	4086403	AndExpression	opc != OPC_DADD && opc != OPC_DSUB		4086379	1		&&			
ANR	4086404	EqualityExpression	opc != OPC_DADD		4086379	0		!=			
ANR	4086405	Identifier	opc		4086379	0					
ANR	4086406	Identifier	OPC_DADD		4086379	1					
ANR	4086407	EqualityExpression	opc != OPC_DSUB		4086379	1		!=			
ANR	4086408	Identifier	opc		4086379	0					
ANR	4086409	Identifier	OPC_DSUB		4086379	1					
ANR	4086410	CompoundStatement		9:46:135:135	4086379	1					
ANR	4086411	ExpressionStatement	"MIPS_DEBUG ( ""NOP"" )"	19:8:383:400	4086379	0	True				
ANR	4086412	CallExpression	"MIPS_DEBUG ( ""NOP"" )"		4086379	0					
ANR	4086413	Callee	MIPS_DEBUG		4086379	0					
ANR	4086414	Identifier	MIPS_DEBUG		4086379	0					
ANR	4086415	ArgumentList	"""NOP"""		4086379	1					
ANR	4086416	Argument	"""NOP"""		4086379	0					
ANR	4086417	PrimaryExpression	"""NOP"""		4086379	0					
