command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	4234244	File	/home/p4ultr4n/workplace/ReVeal/raw_code/gen_mtc0_0.c								
ANR	4234245	Function	gen_mtc0	1:0:0:18483							
ANR	4234246	FunctionDef	"gen_mtc0 (DisasContext * ctx , TCGv arg , int reg , int sel)"		4234245	0					
ANR	4234247	CompoundStatement		3:0:69:18483	4234245	0					
ANR	4234248	IdentifierDeclStatement	"const char * rn = ""invalid"" ;"	5:4:76:102	4234245	0	True				
ANR	4234249	IdentifierDecl	"* rn = ""invalid"""		4234245	0					
ANR	4234250	IdentifierDeclType	const char *		4234245	0					
ANR	4234251	Identifier	rn		4234245	1					
ANR	4234252	AssignmentExpression	"* rn = ""invalid"""		4234245	2		=			
ANR	4234253	Identifier	rn		4234245	0					
ANR	4234254	PrimaryExpression	"""invalid"""		4234245	1					
ANR	4234255	IfStatement	if ( sel != 0 )		4234245	1					
ANR	4234256	Condition	sel != 0	9:8:115:122	4234245	0	True				
ANR	4234257	EqualityExpression	sel != 0		4234245	0		!=			
ANR	4234258	Identifier	sel		4234245	0					
ANR	4234259	PrimaryExpression	0		4234245	1					
ANR	4234260	ExpressionStatement	"check_insn ( ctx , ISA_MIPS32 )"	11:8:134:161	4234245	1	True				
ANR	4234261	CallExpression	"check_insn ( ctx , ISA_MIPS32 )"		4234245	0					
ANR	4234262	Callee	check_insn		4234245	0					
ANR	4234263	Identifier	check_insn		4234245	0					
ANR	4234264	ArgumentList	ctx		4234245	1					
ANR	4234265	Argument	ctx		4234245	0					
ANR	4234266	Identifier	ctx		4234245	0					
ANR	4234267	Argument	ISA_MIPS32		4234245	1					
ANR	4234268	Identifier	ISA_MIPS32		4234245	0					
ANR	4234269	IfStatement	if ( use_icount )		4234245	2					
ANR	4234270	Condition	use_icount	15:8:174:183	4234245	0	True				
ANR	4234271	Identifier	use_icount		4234245	0					
ANR	4234272	ExpressionStatement	gen_io_start ( )	17:8:195:209	4234245	1	True				
ANR	4234273	CallExpression	gen_io_start ( )		4234245	0					
ANR	4234274	Callee	gen_io_start		4234245	0					
ANR	4234275	Identifier	gen_io_start		4234245	0					
ANR	4234276	ArgumentList			4234245	1					
ANR	4234277	SwitchStatement	switch ( reg )		4234245	3					
ANR	4234278	Condition	reg	21:12:226:228	4234245	0	True				
ANR	4234279	Identifier	reg		4234245	0					
ANR	4234280	CompoundStatement		19:17:161:161	4234245	1					
ANR	4234281	Label	case 0 :	23:4:238:244	4234245	0	True				
ANR	4234282	SwitchStatement	switch ( sel )		4234245	1					
ANR	4234283	Condition	sel	25:16:263:265	4234245	0	True				
ANR	4234284	Identifier	sel		4234245	0					
ANR	4234285	CompoundStatement		23:21:198:198	4234245	1					
ANR	4234286	Label	case 0 :	27:8:279:285	4234245	0	True				
ANR	4234287	ExpressionStatement	"gen_helper_mtc0_index ( cpu_env , arg )"	29:12:300:335	4234245	1	True				
ANR	4234288	CallExpression	"gen_helper_mtc0_index ( cpu_env , arg )"		4234245	0					
ANR	4234289	Callee	gen_helper_mtc0_index		4234245	0					
ANR	4234290	Identifier	gen_helper_mtc0_index		4234245	0					
ANR	4234291	ArgumentList	cpu_env		4234245	1					
ANR	4234292	Argument	cpu_env		4234245	0					
ANR	4234293	Identifier	cpu_env		4234245	0					
ANR	4234294	Argument	arg		4234245	1					
ANR	4234295	Identifier	arg		4234245	0					
ANR	4234296	ExpressionStatement	"rn = ""Index"""	31:12:350:362	4234245	2	True				
ANR	4234297	AssignmentExpression	"rn = ""Index"""		4234245	0		=			
ANR	4234298	Identifier	rn		4234245	0					
ANR	4234299	PrimaryExpression	"""Index"""		4234245	1					
ANR	4234300	BreakStatement	break ;	33:12:377:382	4234245	3	True				
ANR	4234301	Label	case 1 :	35:8:393:399	4234245	4	True				
ANR	4234302	ExpressionStatement	CP0_CHECK ( ctx -> insn_flags & ASE_MT )	37:12:414:449	4234245	5	True				
ANR	4234303	CallExpression	CP0_CHECK ( ctx -> insn_flags & ASE_MT )		4234245	0					
ANR	4234304	Callee	CP0_CHECK		4234245	0					
ANR	4234305	Identifier	CP0_CHECK		4234245	0					
ANR	4234306	ArgumentList	ctx -> insn_flags & ASE_MT		4234245	1					
ANR	4234307	Argument	ctx -> insn_flags & ASE_MT		4234245	0					
ANR	4234308	BitAndExpression	ctx -> insn_flags & ASE_MT		4234245	0		&			
ANR	4234309	PtrMemberAccess	ctx -> insn_flags		4234245	0					
ANR	4234310	Identifier	ctx		4234245	0					
ANR	4234311	Identifier	insn_flags		4234245	1					
ANR	4234312	Identifier	ASE_MT		4234245	1					
ANR	4234313	ExpressionStatement	"gen_helper_mtc0_mvpcontrol ( cpu_env , arg )"	39:12:464:504	4234245	6	True				
ANR	4234314	CallExpression	"gen_helper_mtc0_mvpcontrol ( cpu_env , arg )"		4234245	0					
ANR	4234315	Callee	gen_helper_mtc0_mvpcontrol		4234245	0					
ANR	4234316	Identifier	gen_helper_mtc0_mvpcontrol		4234245	0					
ANR	4234317	ArgumentList	cpu_env		4234245	1					
ANR	4234318	Argument	cpu_env		4234245	0					
ANR	4234319	Identifier	cpu_env		4234245	0					
ANR	4234320	Argument	arg		4234245	1					
ANR	4234321	Identifier	arg		4234245	0					
ANR	4234322	ExpressionStatement	"rn = ""MVPControl"""	41:12:519:536	4234245	7	True				
ANR	4234323	AssignmentExpression	"rn = ""MVPControl"""		4234245	0		=			
ANR	4234324	Identifier	rn		4234245	0					
ANR	4234325	PrimaryExpression	"""MVPControl"""		4234245	1					
ANR	4234326	BreakStatement	break ;	43:12:551:556	4234245	8	True				
ANR	4234327	Label	case 2 :	45:8:567:573	4234245	9	True				
ANR	4234328	ExpressionStatement	CP0_CHECK ( ctx -> insn_flags & ASE_MT )	47:12:588:623	4234245	10	True				
ANR	4234329	CallExpression	CP0_CHECK ( ctx -> insn_flags & ASE_MT )		4234245	0					
ANR	4234330	Callee	CP0_CHECK		4234245	0					
ANR	4234331	Identifier	CP0_CHECK		4234245	0					
ANR	4234332	ArgumentList	ctx -> insn_flags & ASE_MT		4234245	1					
ANR	4234333	Argument	ctx -> insn_flags & ASE_MT		4234245	0					
ANR	4234334	BitAndExpression	ctx -> insn_flags & ASE_MT		4234245	0		&			
ANR	4234335	PtrMemberAccess	ctx -> insn_flags		4234245	0					
ANR	4234336	Identifier	ctx		4234245	0					
ANR	4234337	Identifier	insn_flags		4234245	1					
ANR	4234338	Identifier	ASE_MT		4234245	1					
ANR	4234339	ExpressionStatement	"rn = ""MVPConf0"""	51:12:665:680	4234245	11	True				
ANR	4234340	AssignmentExpression	"rn = ""MVPConf0"""		4234245	0		=			
ANR	4234341	Identifier	rn		4234245	0					
ANR	4234342	PrimaryExpression	"""MVPConf0"""		4234245	1					
ANR	4234343	BreakStatement	break ;	53:12:695:700	4234245	12	True				
ANR	4234344	Label	case 3 :	55:8:711:717	4234245	13	True				
ANR	4234345	ExpressionStatement	CP0_CHECK ( ctx -> insn_flags & ASE_MT )	57:12:732:767	4234245	14	True				
ANR	4234346	CallExpression	CP0_CHECK ( ctx -> insn_flags & ASE_MT )		4234245	0					
ANR	4234347	Callee	CP0_CHECK		4234245	0					
ANR	4234348	Identifier	CP0_CHECK		4234245	0					
ANR	4234349	ArgumentList	ctx -> insn_flags & ASE_MT		4234245	1					
ANR	4234350	Argument	ctx -> insn_flags & ASE_MT		4234245	0					
