start	end	type	var
4246173	4246174	IS_AST_PARENT	
4246173	4246175	IS_AST_PARENT	
4246176	4246177	IS_AST_PARENT	
4246179	4246180	IS_AST_PARENT	
4246178	4246179	IS_AST_PARENT	
4246178	4246181	IS_AST_PARENT	
4246176	4246178	IS_AST_PARENT	
4246173	4246176	IS_AST_PARENT	
4246172	4246173	IS_AST_PARENT	
4246171	4246172	IS_AST_PARENT	
4246183	4246184	IS_AST_PARENT	
4246183	4246185	IS_AST_PARENT	
4246186	4246187	IS_AST_PARENT	
4246189	4246190	IS_AST_PARENT	
4246188	4246189	IS_AST_PARENT	
4246188	4246191	IS_AST_PARENT	
4246186	4246188	IS_AST_PARENT	
4246183	4246186	IS_AST_PARENT	
4246182	4246183	IS_AST_PARENT	
4246171	4246182	IS_AST_PARENT	
4246194	4246195	IS_AST_PARENT	
4246193	4246194	IS_AST_PARENT	
4246197	4246198	IS_AST_PARENT	
4246196	4246197	IS_AST_PARENT	
4246200	4246201	IS_AST_PARENT	
4246203	4246204	IS_AST_PARENT	
4246202	4246203	IS_AST_PARENT	
4246207	4246208	IS_AST_PARENT	
4246207	4246209	IS_AST_PARENT	
4246206	4246207	IS_AST_PARENT	
4246205	4246206	IS_AST_PARENT	
4246202	4246205	IS_AST_PARENT	
4246200	4246202	IS_AST_PARENT	
4246199	4246200	IS_AST_PARENT	
4246196	4246199	IS_AST_PARENT	
4246210	4246211	IS_AST_PARENT	
4246196	4246210	IS_AST_PARENT	
4246212	4246213	IS_AST_PARENT	
4246196	4246212	IS_AST_PARENT	
4246193	4246196	IS_AST_PARENT	
4246192	4246193	IS_AST_PARENT	
4246171	4246192	IS_AST_PARENT	
4246216	4246217	IS_AST_PARENT	
4246215	4246216	IS_AST_PARENT	
4246220	4246221	IS_AST_PARENT	
4246223	4246224	IS_AST_PARENT	
4246222	4246223	IS_AST_PARENT	
4246227	4246228	IS_AST_PARENT	
4246227	4246229	IS_AST_PARENT	
4246226	4246227	IS_AST_PARENT	
4246225	4246226	IS_AST_PARENT	
4246222	4246225	IS_AST_PARENT	
4246220	4246222	IS_AST_PARENT	
4246219	4246220	IS_AST_PARENT	
4246218	4246219	IS_AST_PARENT	
4246231	4246232	IS_AST_PARENT	
4246234	4246235	IS_AST_PARENT	
4246233	4246234	IS_AST_PARENT	
4246238	4246239	IS_AST_PARENT	
4246238	4246240	IS_AST_PARENT	
4246237	4246238	IS_AST_PARENT	
4246236	4246237	IS_AST_PARENT	
4246233	4246236	IS_AST_PARENT	
4246231	4246233	IS_AST_PARENT	
4246230	4246231	IS_AST_PARENT	
4246218	4246230	IS_AST_PARENT	
4246215	4246218	IS_AST_PARENT	
4246214	4246215	IS_AST_PARENT	
4246171	4246214	IS_AST_PARENT	
4246243	4246244	IS_AST_PARENT	
4246242	4246243	IS_AST_PARENT	
4246246	4246247	IS_AST_PARENT	
4246245	4246246	IS_AST_PARENT	
4246242	4246245	IS_AST_PARENT	
4246241	4246242	IS_AST_PARENT	
4246171	4246241	IS_AST_PARENT	
4246250	4246251	IS_AST_PARENT	
4246249	4246250	IS_AST_PARENT	
4246253	4246254	IS_AST_PARENT	
4246252	4246253	IS_AST_PARENT	
4246249	4246252	IS_AST_PARENT	
4246248	4246249	IS_AST_PARENT	
