start	end	type	var
4372170	4372171	IS_AST_PARENT	
4372170	4372172	IS_AST_PARENT	
4372173	4372174	IS_AST_PARENT	
4372175	4372176	IS_AST_PARENT	
4372175	4372177	IS_AST_PARENT	
4372173	4372175	IS_AST_PARENT	
4372170	4372173	IS_AST_PARENT	
4372169	4372170	IS_AST_PARENT	
4372168	4372169	IS_AST_PARENT	
4372179	4372180	IS_AST_PARENT	
4372179	4372181	IS_AST_PARENT	
4372178	4372179	IS_AST_PARENT	
4372168	4372178	IS_AST_PARENT	
4372183	4372184	IS_AST_PARENT	
4372183	4372185	IS_AST_PARENT	
4372182	4372183	IS_AST_PARENT	
4372168	4372182	IS_AST_PARENT	
4372187	4372188	IS_AST_PARENT	
4372187	4372189	IS_AST_PARENT	
4372186	4372187	IS_AST_PARENT	
4372168	4372186	IS_AST_PARENT	
4372191	4372192	IS_AST_PARENT	
4372191	4372193	IS_AST_PARENT	
4372190	4372191	IS_AST_PARENT	
4372168	4372190	IS_AST_PARENT	
4372195	4372196	IS_AST_PARENT	
4372195	4372197	IS_AST_PARENT	
4372194	4372195	IS_AST_PARENT	
4372198	4372199	IS_AST_PARENT	
4372198	4372200	IS_AST_PARENT	
4372194	4372198	IS_AST_PARENT	
4372201	4372202	IS_AST_PARENT	
4372201	4372203	IS_AST_PARENT	
4372204	4372205	IS_AST_PARENT	
4372204	4372206	IS_AST_PARENT	
4372201	4372204	IS_AST_PARENT	
4372194	4372201	IS_AST_PARENT	
4372168	4372194	IS_AST_PARENT	
4372210	4372211	IS_AST_PARENT	
4372210	4372212	IS_AST_PARENT	
4372209	4372210	IS_AST_PARENT	
4372209	4372213	IS_AST_PARENT	
4372208	4372209	IS_AST_PARENT	
4372207	4372208	IS_AST_PARENT	
4372214	4372215	IS_AST_PARENT	
4372207	4372214	IS_AST_PARENT	
4372168	4372207	IS_AST_PARENT	
4372219	4372220	IS_AST_PARENT	
4372219	4372221	IS_AST_PARENT	
4372222	4372223	IS_AST_PARENT	
4372224	4372225	IS_AST_PARENT	
4372222	4372224	IS_AST_PARENT	
4372219	4372222	IS_AST_PARENT	
4372218	4372219	IS_AST_PARENT	
4372217	4372218	IS_AST_PARENT	
4372229	4372230	IS_AST_PARENT	
4372232	4372233	IS_AST_PARENT	
4372231	4372232	IS_AST_PARENT	
4372236	4372237	IS_AST_PARENT	
4372236	4372238	IS_AST_PARENT	
4372235	4372236	IS_AST_PARENT	
4372234	4372235	IS_AST_PARENT	
4372240	4372241	IS_AST_PARENT	
4372240	4372242	IS_AST_PARENT	
4372239	4372240	IS_AST_PARENT	
4372234	4372239	IS_AST_PARENT	
4372244	4372245	IS_AST_PARENT	
4372244	4372246	IS_AST_PARENT	
4372243	4372244	IS_AST_PARENT	
4372234	4372243	IS_AST_PARENT	
4372249	4372250	IS_AST_PARENT	
4372249	4372251	IS_AST_PARENT	
4372248	4372249	IS_AST_PARENT	
4372248	4372252	IS_AST_PARENT	
4372247	4372248	IS_AST_PARENT	
4372234	4372247	IS_AST_PARENT	
4372231	4372234	IS_AST_PARENT	
4372229	4372231	IS_AST_PARENT	
4372228	4372229	IS_AST_PARENT	
4372228	4372253	IS_AST_PARENT	
4372227	4372228	IS_AST_PARENT	
4372226	4372227	IS_AST_PARENT	
4372257	4372258	IS_AST_PARENT	
4372257	4372259	IS_AST_PARENT	
4372256	4372257	IS_AST_PARENT	
4372255	4372256	IS_AST_PARENT	
4372263	4372264	IS_AST_PARENT	
4372262	4372263	IS_AST_PARENT	
4372266	4372267	IS_AST_PARENT	
4372265	4372266	IS_AST_PARENT	
4372262	4372265	IS_AST_PARENT	
4372261	4372262	IS_AST_PARENT	
4372260	4372261	IS_AST_PARENT	
4372255	4372260	IS_AST_PARENT	
4372272	4372273	IS_AST_PARENT	
4372271	4372272	IS_AST_PARENT	
4372275	4372276	IS_AST_PARENT	
4372274	4372275	IS_AST_PARENT	
4372271	4372274	IS_AST_PARENT	
4372270	4372271	IS_AST_PARENT	
4372269	4372270	IS_AST_PARENT	
