command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	4495846	File	/home/p4ultr4n/workplace/ReVeal/raw_code/h263_decode_init_1.c								
ANR	4495847	Function	h263_decode_init	1:0:0:1822							
ANR	4495848	FunctionDef	h263_decode_init (AVCodecContext * avctx)		4495847	0					
ANR	4495849	CompoundStatement		3:0:52:1822	4495847	0					
ANR	4495850	IdentifierDeclStatement	MpegEncContext * s = avctx -> priv_data ;	5:4:59:95	4495847	0	True				
ANR	4495851	IdentifierDecl	* s = avctx -> priv_data		4495847	0					
ANR	4495852	IdentifierDeclType	MpegEncContext *		4495847	0					
ANR	4495853	Identifier	s		4495847	1					
ANR	4495854	AssignmentExpression	* s = avctx -> priv_data		4495847	2		=			
ANR	4495855	Identifier	s		4495847	0					
ANR	4495856	PtrMemberAccess	avctx -> priv_data		4495847	1					
ANR	4495857	Identifier	avctx		4495847	0					
ANR	4495858	Identifier	priv_data		4495847	1					
ANR	4495859	IdentifierDeclStatement	int i ;	7:4:102:107	4495847	1	True				
ANR	4495860	IdentifierDecl	i		4495847	0					
ANR	4495861	IdentifierDeclType	int		4495847	0					
ANR	4495862	Identifier	i		4495847	1					
ANR	4495863	ExpressionStatement	s -> avctx = avctx	11:4:116:132	4495847	2	True				
ANR	4495864	AssignmentExpression	s -> avctx = avctx		4495847	0		=			
ANR	4495865	PtrMemberAccess	s -> avctx		4495847	0					
ANR	4495866	Identifier	s		4495847	0					
ANR	4495867	Identifier	avctx		4495847	1					
ANR	4495868	Identifier	avctx		4495847	1					
ANR	4495869	ExpressionStatement	s -> out_format = FMT_H263	13:4:139:163	4495847	3	True				
ANR	4495870	AssignmentExpression	s -> out_format = FMT_H263		4495847	0		=			
ANR	4495871	PtrMemberAccess	s -> out_format		4495847	0					
ANR	4495872	Identifier	s		4495847	0					
ANR	4495873	Identifier	out_format		4495847	1					
ANR	4495874	Identifier	FMT_H263		4495847	1					
ANR	4495875	ExpressionStatement	s -> width = avctx -> width	17:4:172:195	4495847	4	True				
ANR	4495876	AssignmentExpression	s -> width = avctx -> width		4495847	0		=			
ANR	4495877	PtrMemberAccess	s -> width		4495847	0					
ANR	4495878	Identifier	s		4495847	0					
ANR	4495879	Identifier	width		4495847	1					
ANR	4495880	PtrMemberAccess	avctx -> width		4495847	1					
ANR	4495881	Identifier	avctx		4495847	0					
ANR	4495882	Identifier	width		4495847	1					
ANR	4495883	ExpressionStatement	s -> height = avctx -> height	19:4:202:227	4495847	5	True				
ANR	4495884	AssignmentExpression	s -> height = avctx -> height		4495847	0		=			
ANR	4495885	PtrMemberAccess	s -> height		4495847	0					
ANR	4495886	Identifier	s		4495847	0					
ANR	4495887	Identifier	height		4495847	1					
ANR	4495888	PtrMemberAccess	avctx -> height		4495847	1					
ANR	4495889	Identifier	avctx		4495847	0					
ANR	4495890	Identifier	height		4495847	1					
ANR	4495891	SwitchStatement	switch ( avctx -> codec -> id )		4495847	6					
ANR	4495892	Condition	avctx -> codec -> id	25:11:271:286	4495847	0	True				
ANR	4495893	PtrMemberAccess	avctx -> codec -> id		4495847	0					
ANR	4495894	PtrMemberAccess	avctx -> codec		4495847	0					
ANR	4495895	Identifier	avctx		4495847	0					
ANR	4495896	Identifier	codec		4495847	1					
ANR	4495897	Identifier	id		4495847	1					
ANR	4495898	CompoundStatement		23:29:236:236	4495847	1					
ANR	4495899	Label	case CODEC_ID_H263 :	27:4:296:314	4495847	0	True				
ANR	4495900	Identifier	CODEC_ID_H263		4495847	0					
ANR	4495901	ExpressionStatement	s -> gob_number = 0	29:8:325:342	4495847	1	True				
ANR	4495902	AssignmentExpression	s -> gob_number = 0		4495847	0		=			
ANR	4495903	PtrMemberAccess	s -> gob_number		4495847	0					
ANR	4495904	Identifier	s		4495847	0					
ANR	4495905	Identifier	gob_number		4495847	1					
ANR	4495906	PrimaryExpression	0		4495847	1					
ANR	4495907	ExpressionStatement	s -> first_gob_line = 0	31:8:353:374	4495847	2	True				
ANR	4495908	AssignmentExpression	s -> first_gob_line = 0		4495847	0		=			
ANR	4495909	PtrMemberAccess	s -> first_gob_line		4495847	0					
ANR	4495910	Identifier	s		4495847	0					
ANR	4495911	Identifier	first_gob_line		4495847	1					
ANR	4495912	PrimaryExpression	0		4495847	1					
ANR	4495913	BreakStatement	break ;	33:8:385:390	4495847	3	True				
ANR	4495914	Label	case CODEC_ID_MPEG4 :	35:4:397:416	4495847	4	True				
ANR	4495915	Identifier	CODEC_ID_MPEG4		4495847	0					
ANR	4495916	ExpressionStatement	s -> time_increment_bits = 4	37:8:427:453	4495847	5	True				
ANR	4495917	AssignmentExpression	s -> time_increment_bits = 4		4495847	0		=			
ANR	4495918	PtrMemberAccess	s -> time_increment_bits		4495847	0					
ANR	4495919	Identifier	s		4495847	0					
ANR	4495920	Identifier	time_increment_bits		4495847	1					
ANR	4495921	PrimaryExpression	4		4495847	1					
ANR	4495922	ExpressionStatement	s -> h263_pred = 1	39:8:503:519	4495847	6	True				
ANR	4495923	AssignmentExpression	s -> h263_pred = 1		4495847	0		=			
ANR	4495924	PtrMemberAccess	s -> h263_pred		4495847	0					
ANR	4495925	Identifier	s		4495847	0					
ANR	4495926	Identifier	h263_pred		4495847	1					
ANR	4495927	PrimaryExpression	1		4495847	1					
ANR	4495928	ExpressionStatement	s -> has_b_frames = 1	41:8:530:549	4495847	7	True				
ANR	4495929	AssignmentExpression	s -> has_b_frames = 1		4495847	0		=			
ANR	4495930	PtrMemberAccess	s -> has_b_frames		4495847	0					
ANR	4495931	Identifier	s		4495847	0					
ANR	4495932	Identifier	has_b_frames		4495847	1					
ANR	4495933	PrimaryExpression	1		4495847	1					
ANR	4495934	BreakStatement	break ;	43:8:630:635	4495847	8	True				
ANR	4495935	Label	case CODEC_ID_MSMPEG4V1 :	45:4:642:665	4495847	9	True				
ANR	4495936	Identifier	CODEC_ID_MSMPEG4V1		4495847	0					
ANR	4495937	ExpressionStatement	s -> h263_msmpeg4 = 1	47:8:676:695	4495847	10	True				
ANR	4495938	AssignmentExpression	s -> h263_msmpeg4 = 1		4495847	0		=			
ANR	4495939	PtrMemberAccess	s -> h263_msmpeg4		4495847	0					
ANR	4495940	Identifier	s		4495847	0					
ANR	4495941	Identifier	h263_msmpeg4		4495847	1					
ANR	4495942	PrimaryExpression	1		4495847	1					
ANR	4495943	ExpressionStatement	s -> h263_pred = 1	49:8:706:722	4495847	11	True				
ANR	4495944	AssignmentExpression	s -> h263_pred = 1		4495847	0		=			
ANR	4495945	PtrMemberAccess	s -> h263_pred		4495847	0					
ANR	4495946	Identifier	s		4495847	0					
ANR	4495947	Identifier	h263_pred		4495847	1					
ANR	4495948	PrimaryExpression	1		4495847	1					
ANR	4495949	ExpressionStatement	s -> msmpeg4_version = 1	51:8:733:753	4495847	12	True				
ANR	4495950	AssignmentExpression	s -> msmpeg4_version = 1		4495847	0		=			
ANR	4495951	PtrMemberAccess	s -> msmpeg4_version		4495847	0					
ANR	4495952	Identifier	s		4495847	0					
ANR	4495953	Identifier	msmpeg4_version		4495847	1					
ANR	4495954	PrimaryExpression	1		4495847	1					
ANR	4495955	BreakStatement	break ;	53:8:764:769	4495847	13	True				
ANR	4495956	Label	case CODEC_ID_MSMPEG4V2 :	55:4:776:799	4495847	14	True				
ANR	4495957	Identifier	CODEC_ID_MSMPEG4V2		4495847	0					
ANR	4495958	ExpressionStatement	s -> h263_msmpeg4 = 1	57:8:810:829	4495847	15	True				
ANR	4495959	AssignmentExpression	s -> h263_msmpeg4 = 1		4495847	0		=			
ANR	4495960	PtrMemberAccess	s -> h263_msmpeg4		4495847	0					
ANR	4495961	Identifier	s		4495847	0					
ANR	4495962	Identifier	h263_msmpeg4		4495847	1					
ANR	4495963	PrimaryExpression	1		4495847	1					
ANR	4495964	ExpressionStatement	s -> h263_pred = 1	59:8:840:856	4495847	16	True				
ANR	4495965	AssignmentExpression	s -> h263_pred = 1		4495847	0		=			
ANR	4495966	PtrMemberAccess	s -> h263_pred		4495847	0					
ANR	4495967	Identifier	s		4495847	0					
ANR	4495968	Identifier	h263_pred		4495847	1					
ANR	4495969	PrimaryExpression	1		4495847	1					
ANR	4495970	ExpressionStatement	s -> msmpeg4_version = 2	61:8:867:887	4495847	17	True				
ANR	4495971	AssignmentExpression	s -> msmpeg4_version = 2		4495847	0		=			
ANR	4495972	PtrMemberAccess	s -> msmpeg4_version		4495847	0					
ANR	4495973	Identifier	s		4495847	0					
ANR	4495974	Identifier	msmpeg4_version		4495847	1					
ANR	4495975	PrimaryExpression	2		4495847	1					
ANR	4495976	BreakStatement	break ;	63:8:898:903	4495847	18	True				
ANR	4495977	Label	case CODEC_ID_MSMPEG4V3 :	65:4:910:933	4495847	19	True				
ANR	4495978	Identifier	CODEC_ID_MSMPEG4V3		4495847	0					
ANR	4495979	ExpressionStatement	s -> h263_msmpeg4 = 1	67:8:944:963	4495847	20	True				
ANR	4495980	AssignmentExpression	s -> h263_msmpeg4 = 1		4495847	0		=			
ANR	4495981	PtrMemberAccess	s -> h263_msmpeg4		4495847	0					
ANR	4495982	Identifier	s		4495847	0					
ANR	4495983	Identifier	h263_msmpeg4		4495847	1					
ANR	4495984	PrimaryExpression	1		4495847	1					
ANR	4495985	ExpressionStatement	s -> h263_pred = 1	69:8:974:990	4495847	21	True				
