start	end	type	var
4620664	4620665	IS_AST_PARENT	
4620664	4620666	IS_AST_PARENT	
4620663	4620664	IS_AST_PARENT	
4620662	4620663	IS_AST_PARENT	
4620671	4620672	IS_AST_PARENT	
4620670	4620671	IS_AST_PARENT	
4620674	4620675	IS_AST_PARENT	
4620673	4620674	IS_AST_PARENT	
4620676	4620677	IS_AST_PARENT	
4620673	4620676	IS_AST_PARENT	
4620679	4620680	IS_AST_PARENT	
4620679	4620681	IS_AST_PARENT	
4620678	4620679	IS_AST_PARENT	
4620673	4620678	IS_AST_PARENT	
4620670	4620673	IS_AST_PARENT	
4620669	4620670	IS_AST_PARENT	
4620669	4620682	IS_AST_PARENT	
4620668	4620669	IS_AST_PARENT	
4620667	4620668	IS_AST_PARENT	
4620686	4620687	IS_AST_PARENT	
4620685	4620686	IS_AST_PARENT	
4620689	4620690	IS_AST_PARENT	
4620688	4620689	IS_AST_PARENT	
4620691	4620692	IS_AST_PARENT	
4620688	4620691	IS_AST_PARENT	
4620693	4620694	IS_AST_PARENT	
4620688	4620693	IS_AST_PARENT	
4620685	4620688	IS_AST_PARENT	
4620684	4620685	IS_AST_PARENT	
4620683	4620684	IS_AST_PARENT	
4620667	4620683	IS_AST_PARENT	
4620662	4620667	IS_AST_PARENT	
4620695	4620696	IS_AST_PARENT	
4620662	4620695	IS_AST_PARENT	
4620661	4620662	IS_AST_PARENT	
4620661	4620697	IS_AST_PARENT	
4620661	4620698	IS_AST_PARENT	
4620700	4620701	IS_AST_PARENT	
4620700	4620702	IS_AST_PARENT	
4620699	4620700	IS_AST_PARENT	
4620703	4620704	IS_AST_PARENT	
4620703	4620705	IS_AST_PARENT	
4620699	4620703	IS_AST_PARENT	
4620661	4620699	IS_AST_PARENT	
4620706	4620700	FLOWS_TO	
4620700	4620703	FLOWS_TO	
4620703	4620663	FLOWS_TO	
4620663	4620668	FLOWS_TO	
4620668	4620684	FLOWS_TO	
4620668	4620695	FLOWS_TO	
4620684	4620695	FLOWS_TO	
4620695	4620707	FLOWS_TO	
4620703	4620708	DEF	
4620668	4620708	USE	
4620676	4620708	USE	
4620684	4620709	USE	
4620691	4620709	USE	
4620663	4620710	DEF	
4620664	4620710	DEF	
4620695	4620710	USE	
4620668	4620711	USE	
4620700	4620712	DEF	
4620668	4620712	USE	
4620674	4620712	USE	
4620684	4620712	USE	
4620689	4620712	USE	
4620668	4620713	USE	
4620678	4620713	USE	
4620684	4620714	USE	
4620693	4620714	USE	
4620703	4620668	REACHES	rb
4620663	4620695	REACHES	rt
4620700	4620668	REACHES	env
4620700	4620684	REACHES	env
4620706	4620700	CONTROLS	
4620706	4620703	CONTROLS	
4620706	4620663	CONTROLS	
4620706	4620668	CONTROLS	
4620706	4620695	CONTROLS	
4620668	4620684	CONTROLS	
4620706	4620700	DOM	
4620700	4620703	DOM	
4620706	4620706	DOM	
4620703	4620663	DOM	
4620663	4620668	DOM	
4620668	4620684	DOM	
4620668	4620695	DOM	
4620695	4620707	DOM	
4620663	4620703	POST_DOM	
4620703	4620700	POST_DOM	
4620700	4620706	POST_DOM	
4620668	4620663	POST_DOM	
4620707	4620695	POST_DOM	
4620695	4620668	POST_DOM	
4620695	4620684	POST_DOM	
4620707	4620707	POST_DOM	
4620660	4620661	IS_FUNCTION_OF_AST	
4620660	4620706	IS_FUNCTION_OF_CFG	
4620659	4620660	IS_FILE_OF	
