start	end	type	var
4749360	4749361	IS_AST_PARENT	
4749360	4749362	IS_AST_PARENT	
4749363	4749364	IS_AST_PARENT	
4749363	4749365	IS_AST_PARENT	
4749360	4749363	IS_AST_PARENT	
4749359	4749360	IS_AST_PARENT	
4749358	4749359	IS_AST_PARENT	
4749367	4749368	IS_AST_PARENT	
4749367	4749369	IS_AST_PARENT	
4749370	4749371	IS_AST_PARENT	
4749370	4749372	IS_AST_PARENT	
4749367	4749370	IS_AST_PARENT	
4749366	4749367	IS_AST_PARENT	
4749373	4749374	IS_AST_PARENT	
4749373	4749375	IS_AST_PARENT	
4749376	4749377	IS_AST_PARENT	
4749376	4749378	IS_AST_PARENT	
4749373	4749376	IS_AST_PARENT	
4749366	4749373	IS_AST_PARENT	
4749379	4749380	IS_AST_PARENT	
4749379	4749381	IS_AST_PARENT	
4749382	4749383	IS_AST_PARENT	
4749382	4749384	IS_AST_PARENT	
4749379	4749382	IS_AST_PARENT	
4749366	4749379	IS_AST_PARENT	
4749358	4749366	IS_AST_PARENT	
4749386	4749387	IS_AST_PARENT	
4749386	4749388	IS_AST_PARENT	
4749385	4749386	IS_AST_PARENT	
4749358	4749385	IS_AST_PARENT	
4749390	4749391	IS_AST_PARENT	
4749390	4749392	IS_AST_PARENT	
4749389	4749390	IS_AST_PARENT	
4749393	4749394	IS_AST_PARENT	
4749393	4749395	IS_AST_PARENT	
4749389	4749393	IS_AST_PARENT	
4749358	4749389	IS_AST_PARENT	
4749397	4749398	IS_AST_PARENT	
4749397	4749399	IS_AST_PARENT	
4749400	4749401	IS_AST_PARENT	
4749400	4749402	IS_AST_PARENT	
4749397	4749400	IS_AST_PARENT	
4749396	4749397	IS_AST_PARENT	
4749358	4749396	IS_AST_PARENT	
4749404	4749405	IS_AST_PARENT	
4749404	4749406	IS_AST_PARENT	
4749403	4749404	IS_AST_PARENT	
4749358	4749403	IS_AST_PARENT	
4749408	4749409	IS_AST_PARENT	
4749408	4749410	IS_AST_PARENT	
4749407	4749408	IS_AST_PARENT	
4749411	4749412	IS_AST_PARENT	
4749411	4749413	IS_AST_PARENT	
4749407	4749411	IS_AST_PARENT	
4749414	4749415	IS_AST_PARENT	
4749414	4749416	IS_AST_PARENT	
4749407	4749414	IS_AST_PARENT	
4749358	4749407	IS_AST_PARENT	
4749418	4749419	IS_AST_PARENT	
4749418	4749420	IS_AST_PARENT	
4749417	4749418	IS_AST_PARENT	
4749358	4749417	IS_AST_PARENT	
4749422	4749423	IS_AST_PARENT	
4749425	4749426	IS_AST_PARENT	
4749424	4749425	IS_AST_PARENT	
4749428	4749429	IS_AST_PARENT	
4749427	4749428	IS_AST_PARENT	
4749430	4749431	IS_AST_PARENT	
4749427	4749430	IS_AST_PARENT	
4749424	4749427	IS_AST_PARENT	
4749422	4749424	IS_AST_PARENT	
4749421	4749422	IS_AST_PARENT	
4749358	4749421	IS_AST_PARENT	
4749433	4749434	IS_AST_PARENT	
4749435	4749436	IS_AST_PARENT	
4749435	4749437	IS_AST_PARENT	
4749433	4749435	IS_AST_PARENT	
4749432	4749433	IS_AST_PARENT	
4749358	4749432	IS_AST_PARENT	
4749439	4749440	IS_AST_PARENT	
4749442	4749443	IS_AST_PARENT	
4749441	4749442	IS_AST_PARENT	
4749445	4749446	IS_AST_PARENT	
4749444	4749445	IS_AST_PARENT	
4749447	4749448	IS_AST_PARENT	
4749444	4749447	IS_AST_PARENT	
4749441	4749444	IS_AST_PARENT	
4749439	4749441	IS_AST_PARENT	
4749438	4749439	IS_AST_PARENT	
4749358	4749438	IS_AST_PARENT	
4749451	4749452	IS_AST_PARENT	
4749451	4749453	IS_AST_PARENT	
4749450	4749451	IS_AST_PARENT	
4749449	4749450	IS_AST_PARENT	
4749456	4749457	IS_AST_PARENT	
4749459	4749460	IS_AST_PARENT	
4749458	4749459	IS_AST_PARENT	
4749462	4749463	IS_AST_PARENT	
4749461	4749462	IS_AST_PARENT	
4749458	4749461	IS_AST_PARENT	
4749456	4749458	IS_AST_PARENT	
4749455	4749456	IS_AST_PARENT	
4749454	4749455	IS_AST_PARENT	
4749464	4749465	IS_AST_PARENT	
4749454	4749464	IS_AST_PARENT	
4749449	4749454	IS_AST_PARENT	
4749358	4749449	IS_AST_PARENT	
4749467	4749468	IS_AST_PARENT	
4749470	4749471	IS_AST_PARENT	
4749469	4749470	IS_AST_PARENT	
4749473	4749474	IS_AST_PARENT	
4749472	4749473	IS_AST_PARENT	
4749469	4749472	IS_AST_PARENT	
4749467	4749469	IS_AST_PARENT	
4749466	4749467	IS_AST_PARENT	
4749358	4749466	IS_AST_PARENT	
4749477	4749478	IS_AST_PARENT	
4749477	4749479	IS_AST_PARENT	
4749476	4749477	IS_AST_PARENT	
4749475	4749476	IS_AST_PARENT	
4749482	4749483	IS_AST_PARENT	
4749482	4749484	IS_AST_PARENT	
4749481	4749482	IS_AST_PARENT	
4749480	4749481	IS_AST_PARENT	
4749485	4749486	IS_AST_PARENT	
4749480	4749485	IS_AST_PARENT	
4749475	4749480	IS_AST_PARENT	
4749358	4749475	IS_AST_PARENT	
4749490	4749491	IS_AST_PARENT	
4749490	4749492	IS_AST_PARENT	
4749489	4749490	IS_AST_PARENT	
4749489	4749493	IS_AST_PARENT	
4749488	4749489	IS_AST_PARENT	
4749487	4749488	IS_AST_PARENT	
