command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	4789280	File	/home/p4ultr4n/workplace/ReVeal/raw_code/ide_bus_reset_0.c								
ANR	4789281	Function	ide_bus_reset	1:0:0:478							
ANR	4789282	FunctionDef	ide_bus_reset (IDEBus * bus)		4789281	0					
ANR	4789283	CompoundStatement		3:0:33:478	4789281	0					
ANR	4789284	ExpressionStatement	bus -> unit = 0	5:4:40:53	4789281	0	True				
ANR	4789285	AssignmentExpression	bus -> unit = 0		4789281	0		=			
ANR	4789286	PtrMemberAccess	bus -> unit		4789281	0					
ANR	4789287	Identifier	bus		4789281	0					
ANR	4789288	Identifier	unit		4789281	1					
ANR	4789289	PrimaryExpression	0		4789281	1					
ANR	4789290	ExpressionStatement	bus -> cmd = 0	7:4:60:72	4789281	1	True				
ANR	4789291	AssignmentExpression	bus -> cmd = 0		4789281	0		=			
ANR	4789292	PtrMemberAccess	bus -> cmd		4789281	0					
ANR	4789293	Identifier	bus		4789281	0					
ANR	4789294	Identifier	cmd		4789281	1					
ANR	4789295	PrimaryExpression	0		4789281	1					
ANR	4789296	ExpressionStatement	ide_reset ( & bus -> ifs [ 0 ] )	9:4:79:102	4789281	2	True				
ANR	4789297	CallExpression	ide_reset ( & bus -> ifs [ 0 ] )		4789281	0					
ANR	4789298	Callee	ide_reset		4789281	0					
ANR	4789299	Identifier	ide_reset		4789281	0					
ANR	4789300	ArgumentList	& bus -> ifs [ 0 ]		4789281	1					
ANR	4789301	Argument	& bus -> ifs [ 0 ]		4789281	0					
ANR	4789302	UnaryOperationExpression	& bus -> ifs [ 0 ]		4789281	0					
ANR	4789303	UnaryOperator	&		4789281	0					
ANR	4789304	ArrayIndexing	bus -> ifs [ 0 ]		4789281	1					
ANR	4789305	PtrMemberAccess	bus -> ifs		4789281	0					
ANR	4789306	Identifier	bus		4789281	0					
ANR	4789307	Identifier	ifs		4789281	1					
ANR	4789308	PrimaryExpression	0		4789281	1					
ANR	4789309	ExpressionStatement	ide_reset ( & bus -> ifs [ 1 ] )	11:4:109:132	4789281	3	True				
ANR	4789310	CallExpression	ide_reset ( & bus -> ifs [ 1 ] )		4789281	0					
ANR	4789311	Callee	ide_reset		4789281	0					
ANR	4789312	Identifier	ide_reset		4789281	0					
ANR	4789313	ArgumentList	& bus -> ifs [ 1 ]		4789281	1					
ANR	4789314	Argument	& bus -> ifs [ 1 ]		4789281	0					
ANR	4789315	UnaryOperationExpression	& bus -> ifs [ 1 ]		4789281	0					
ANR	4789316	UnaryOperator	&		4789281	0					
ANR	4789317	ArrayIndexing	bus -> ifs [ 1 ]		4789281	1					
ANR	4789318	PtrMemberAccess	bus -> ifs		4789281	0					
ANR	4789319	Identifier	bus		4789281	0					
ANR	4789320	Identifier	ifs		4789281	1					
ANR	4789321	PrimaryExpression	1		4789281	1					
ANR	4789322	ExpressionStatement	ide_clear_hob ( bus )	13:4:139:157	4789281	4	True				
ANR	4789323	CallExpression	ide_clear_hob ( bus )		4789281	0					
ANR	4789324	Callee	ide_clear_hob		4789281	0					
ANR	4789325	Identifier	ide_clear_hob		4789281	0					
ANR	4789326	ArgumentList	bus		4789281	1					
ANR	4789327	Argument	bus		4789281	0					
ANR	4789328	Identifier	bus		4789281	0					
ANR	4789329	IfStatement	if ( bus -> dma -> aiocb )		4789281	5					
ANR	4789330	Condition	bus -> dma -> aiocb	19:8:199:213	4789281	0	True				
ANR	4789331	PtrMemberAccess	bus -> dma -> aiocb		4789281	0					
ANR	4789332	PtrMemberAccess	bus -> dma		4789281	0					
ANR	4789333	Identifier	bus		4789281	0					
ANR	4789334	Identifier	dma		4789281	1					
ANR	4789335	Identifier	aiocb		4789281	1					
ANR	4789336	CompoundStatement		17:25:182:182	4789281	1					
ANR	4789337	ExpressionStatement	"printf ( ""aio_cancel\\n"" )"	23:8:245:267	4789281	0	True				
ANR	4789338	CallExpression	"printf ( ""aio_cancel\\n"" )"		4789281	0					
ANR	4789339	Callee	printf		4789281	0					
ANR	4789340	Identifier	printf		4789281	0					
ANR	4789341	ArgumentList	"""aio_cancel\\n"""		4789281	1					
ANR	4789342	Argument	"""aio_cancel\\n"""		4789281	0					
ANR	4789343	PrimaryExpression	"""aio_cancel\\n"""		4789281	0					
ANR	4789344	ExpressionStatement	bdrv_aio_cancel ( bus -> dma -> aiocb )	27:8:286:318	4789281	1	True				
ANR	4789345	CallExpression	bdrv_aio_cancel ( bus -> dma -> aiocb )		4789281	0					
ANR	4789346	Callee	bdrv_aio_cancel		4789281	0					
ANR	4789347	Identifier	bdrv_aio_cancel		4789281	0					
ANR	4789348	ArgumentList	bus -> dma -> aiocb		4789281	1					
ANR	4789349	Argument	bus -> dma -> aiocb		4789281	0					
ANR	4789350	PtrMemberAccess	bus -> dma -> aiocb		4789281	0					
ANR	4789351	PtrMemberAccess	bus -> dma		4789281	0					
ANR	4789352	Identifier	bus		4789281	0					
ANR	4789353	Identifier	dma		4789281	1					
ANR	4789354	Identifier	aiocb		4789281	1					
ANR	4789355	ExpressionStatement	bus -> dma -> aiocb = NULL	29:8:329:351	4789281	2	True				
ANR	4789356	AssignmentExpression	bus -> dma -> aiocb = NULL		4789281	0		=			
ANR	4789357	PtrMemberAccess	bus -> dma -> aiocb		4789281	0					
ANR	4789358	PtrMemberAccess	bus -> dma		4789281	0					
ANR	4789359	Identifier	bus		4789281	0					
ANR	4789360	Identifier	dma		4789281	1					
ANR	4789361	Identifier	aiocb		4789281	1					
ANR	4789362	Identifier	NULL		4789281	1					
ANR	4789363	IfStatement	if ( bus -> dma -> ops -> reset )		4789281	6					
ANR	4789364	Condition	bus -> dma -> ops -> reset	37:8:405:424	4789281	0	True				
ANR	4789365	PtrMemberAccess	bus -> dma -> ops -> reset		4789281	0					
ANR	4789366	PtrMemberAccess	bus -> dma -> ops		4789281	0					
ANR	4789367	PtrMemberAccess	bus -> dma		4789281	0					
ANR	4789368	Identifier	bus		4789281	0					
ANR	4789369	Identifier	dma		4789281	1					
ANR	4789370	Identifier	ops		4789281	1					
ANR	4789371	Identifier	reset		4789281	1					
ANR	4789372	CompoundStatement		35:30:393:393	4789281	1					
ANR	4789373	ExpressionStatement	bus -> dma -> ops -> reset ( bus -> dma )	39:8:438:468	4789281	0	True				
ANR	4789374	CallExpression	bus -> dma -> ops -> reset ( bus -> dma )		4789281	0					
ANR	4789375	Callee	bus -> dma -> ops -> reset		4789281	0					
