command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	4819302	File	/home/p4ultr4n/workplace/ReVeal/raw_code/imc_decode_frame_1.c								
ANR	4819303	Function	imc_decode_frame	1:0:0:1314							
ANR	4819304	FunctionDef	"imc_decode_frame (AVCodecContext * avctx , void * data , int * got_frame_ptr , AVPacket * avpkt)"		4819303	0					
ANR	4819305	CompoundStatement		5:0:130:1314	4819303	0					
ANR	4819306	IdentifierDeclStatement	AVFrame * frame = data ;	7:4:137:162	4819303	0	True				
ANR	4819307	IdentifierDecl	* frame = data		4819303	0					
ANR	4819308	IdentifierDeclType	AVFrame *		4819303	0					
ANR	4819309	Identifier	frame		4819303	1					
ANR	4819310	AssignmentExpression	* frame = data		4819303	2		=			
ANR	4819311	Identifier	data		4819303	0					
ANR	4819312	Identifier	data		4819303	1					
ANR	4819313	IdentifierDeclStatement	const uint8_t * buf = avpkt -> data ;	9:4:169:201	4819303	1	True				
ANR	4819314	IdentifierDecl	* buf = avpkt -> data		4819303	0					
ANR	4819315	IdentifierDeclType	const uint8_t *		4819303	0					
ANR	4819316	Identifier	buf		4819303	1					
ANR	4819317	AssignmentExpression	* buf = avpkt -> data		4819303	2		=			
ANR	4819318	Identifier	buf		4819303	0					
ANR	4819319	PtrMemberAccess	avpkt -> data		4819303	1					
ANR	4819320	Identifier	avpkt		4819303	0					
ANR	4819321	Identifier	data		4819303	1					
ANR	4819322	IdentifierDeclStatement	int buf_size = avpkt -> size ;	11:4:208:234	4819303	2	True				
ANR	4819323	IdentifierDecl	buf_size = avpkt -> size		4819303	0					
ANR	4819324	IdentifierDeclType	int		4819303	0					
ANR	4819325	Identifier	buf_size		4819303	1					
ANR	4819326	AssignmentExpression	buf_size = avpkt -> size		4819303	2		=			
ANR	4819327	Identifier	buf_size		4819303	0					
ANR	4819328	PtrMemberAccess	avpkt -> size		4819303	1					
ANR	4819329	Identifier	avpkt		4819303	0					
ANR	4819330	Identifier	size		4819303	1					
ANR	4819331	IdentifierDeclStatement	"int ret , i ;"	13:4:241:251	4819303	3	True				
ANR	4819332	IdentifierDecl	ret		4819303	0					
ANR	4819333	IdentifierDeclType	int		4819303	0					
ANR	4819334	Identifier	ret		4819303	1					
ANR	4819335	IdentifierDecl	i		4819303	1					
ANR	4819336	IdentifierDeclType	int		4819303	0					
ANR	4819337	Identifier	i		4819303	1					
