start	end	type	var
4824758	4824759	IS_AST_PARENT	
4824758	4824760	IS_AST_PARENT	
4824757	4824758	IS_AST_PARENT	
4824761	4824762	IS_AST_PARENT	
4824761	4824763	IS_AST_PARENT	
4824764	4824765	IS_AST_PARENT	
4824764	4824766	IS_AST_PARENT	
4824761	4824764	IS_AST_PARENT	
4824757	4824761	IS_AST_PARENT	
4824756	4824757	IS_AST_PARENT	
4824768	4824769	IS_AST_PARENT	
4824768	4824770	IS_AST_PARENT	
4824771	4824772	IS_AST_PARENT	
4824771	4824773	IS_AST_PARENT	
4824768	4824771	IS_AST_PARENT	
4824767	4824768	IS_AST_PARENT	
4824756	4824767	IS_AST_PARENT	
4824775	4824776	IS_AST_PARENT	
4824775	4824777	IS_AST_PARENT	
4824778	4824779	IS_AST_PARENT	
4824778	4824780	IS_AST_PARENT	
4824775	4824778	IS_AST_PARENT	
4824774	4824775	IS_AST_PARENT	
4824756	4824774	IS_AST_PARENT	
4824782	4824783	IS_AST_PARENT	
4824782	4824784	IS_AST_PARENT	
4824785	4824786	IS_AST_PARENT	
4824785	4824787	IS_AST_PARENT	
4824782	4824785	IS_AST_PARENT	
4824781	4824782	IS_AST_PARENT	
4824756	4824781	IS_AST_PARENT	
4824789	4824790	IS_AST_PARENT	
4824789	4824791	IS_AST_PARENT	
4824792	4824793	IS_AST_PARENT	
4824792	4824794	IS_AST_PARENT	
4824789	4824792	IS_AST_PARENT	
4824788	4824789	IS_AST_PARENT	
4824795	4824796	IS_AST_PARENT	
4824795	4824797	IS_AST_PARENT	
4824788	4824795	IS_AST_PARENT	
4824798	4824799	IS_AST_PARENT	
4824798	4824800	IS_AST_PARENT	
4824788	4824798	IS_AST_PARENT	
4824756	4824788	IS_AST_PARENT	
4824802	4824803	IS_AST_PARENT	
4824802	4824804	IS_AST_PARENT	
4824801	4824802	IS_AST_PARENT	
4824756	4824801	IS_AST_PARENT	
4824806	4824807	IS_AST_PARENT	
4824806	4824808	IS_AST_PARENT	
4824809	4824810	IS_AST_PARENT	
4824809	4824811	IS_AST_PARENT	
4824806	4824809	IS_AST_PARENT	
4824805	4824806	IS_AST_PARENT	
4824812	4824813	IS_AST_PARENT	
4824812	4824814	IS_AST_PARENT	
4824815	4824816	IS_AST_PARENT	
4824815	4824817	IS_AST_PARENT	
4824812	4824815	IS_AST_PARENT	
